Name,Games,Rank
Jack Taylor,19,
Jim Wilson,19,
Doyle Alexander,18,286
Tim Belcher,18,
Ed Brandt,18,
Ernie Broglio,18,
Joe Coleman,18,
Dave Davenport,18,
John Denny,18,
George Earnshaw,18,
Ken Forsch,18,
Ned Garver,18,
Mudcat Grant,18,
Ken Heintzelman,18,
Otto Hess,18,
Joe Horlen,18,
Mark Langston,18,
Charlie Leibrandt,18,
Danny MacFayden,18,
Jumbo McGinnis,18,
Bill Monbouquette,18,
Jim O'Toole,18,
Joe Oeschger,18,
Eddie Rommel,18,
Dutch Ruether,18,
Rick Sutcliffe,18,
Johnny Allen,17,310
Doc Ayers,17,
George Bell,17,
Joe Benz,17,
Nelson Briles,17,
Kevin Brown,17,
Don Cardwell,17,
Hal Carlson,17,
Bill Dietrich,17,
Bill Duggleby,17,
Scott Erickson,17,
Wes Ferrell,17,
Denny Galehouse,17,
Steve Gromek,17,
Bill Hands,17,
Steve Hargan,17,
Billy Hoeft,17,
Larry Jansen,17,
Sam Jones,17,
Pedro Martinez,17,
Harry McIntire,17,
George McQuillan,17,
Case Patten,17,
Jack Pfiester,17,
Juan Pizarro,17,
Rick Rhoden,17,
Preacher Roe,17,
Babe Ruth,17,
Dick Ruthven,17,
Jim Shaw,17,
Allen Sothoron,17,
Paul Splittorff,17,
Adonis Terry,17,
Whit Wyatt,17,
Nick Altrock,16,344
Jim Bagby,16,
Stan Bahnsen,16,
Floyd Bannister,16,
Steve Blass,16,
Mike Boddicker,16,
Hank Borowy,16,
Guy Bush,16,
Tex Carleton,16,
Ice Box Chamberlain,16,
Alvin Crowder,16,
Pete Donohue,16,
Jimmy Dygert,16,
Dave Foutz,16,
Fred Goldsmith,16,
Sam Gray,16,
Mark Gubicza,16,
Larry Gura,16,
Earl Hamilton,16,
Joey Jay,16,
Johnny Lush,16,
Doc Medich,16,
Willie Mitchell,16,
Mike Moore,16,
Bob Ojeda,16,
Frank Owen,16,
Roy Patterson,16,
George Pipgras,16,
Bob Rush,16,
Bret Saberhagen,16,
Johnny Sain,16,
Johnny Schmitz,16,
Al Smith,16,
Bob Smith,16,
Sherry Smith,16,
Zane Smith,16,
John Smoltz,16,
George Suggs,16,
John Tudor,16,
Frank Viola,16,
Earl Whitehill,16,
Ewell Blackwell,15,385
George Brunet,15,
John Buzhardt,15,
Chris Carpenter,15,
Rip Collins,15,
Al Demaree,15,
Chuck Finley,15,
Russ Ford,15,
Rube Foster,15,
Ruben Gomez,15,
Ross Grimsley,15,
Bob Harmon,15,
Guy Hecker,15,
Danny Jackson,15,
Al Javery,15,
Clayton Kershaw,15,
Dave Koslo,15,
Jim Lonborg,15,
Pat Malone,15,
Al Mamaux,15,
Walt Masterson,15,
Vinegar Bend Mizell,15,
Cy Morgan,15,
Fred Norman,15,
Blue Moon Odom,15,
Gene Packard,15,
Jim Rooker,15,
Doc Scanlan,15,
Tom Seaton,15,
Bobby Shantz,15,
Bill Stoneman,15,
Frank Sullivan,15,
Tommy Thomas,15,
Mike Torrez,15,
Rube Walberg,15,
Bill Walker,15,
Carl Weilman,15,
Bill Wight,15,
Elden Auker,14,423
Mark Baldwin,14,
Bill Bernhard,14,
George Blaeholder,14,
Cy Blanton,14,
Max Butcher,14,
Dan Casey,14,
Watty Clark,14,
John Curtis,14,
Pat Dobson,14,
Red Ehret,14,
Dock Ellis,14,
Carl Erskine,14,
Lou Fette,14,
Art Fromme,14,
Fred Glade,14,
Vean Gregg,14,
Kevin Gross,14,
Don Gullett,14,
Harry Gumbert,14,
Bump Hadley,14,
Bill Hallahan,14,
Art Houtteman,14,
Al Jackson,14,
Jack Kramer,14,
Ray Kremer,14,
Cliff Lee,14,
Thornton Lee,14,
Denny Lemaster,14,
Sadie McMahon,14,
Frank Miller,14,
Gary Nolan,14,
Marty Pattin,14,
Ben Sanders,14,
Scott Sanderson,14,
Jack Sanford,14,
Bob Shaw,14,
Ed Siever,14,
Jack Stivetts,14,
Walt Terrell,14,
Jim Bagby,13,463
Larry Benton,13,
Tom Brewer,13,
Hal Brown,13,
John Candelaria,13,
Tony Cloninger,13,
Bartolo Colon,13,
Gene Conley,13,
Harry Coveleski,13,
Ron Darling,13,
Charlie Ferguson,13,
Ned Garvin,13,
Dave Goltz,13,
Mickey Haefner,13,
Ed Halicki,13,
Ray Herbert,13,
Charlie Hough,13,
Tim Hudson,13,
Fred Hutchinson,13,
Si Johnson,13,
Brickyard Kennedy,13,
Jimmy Key,13,
Frank Killen,13,
Elmer Knetzer,13,
Jack McDowell,13,
Lynn McGlothen,13,
Larry McWilliams,13,
Cliff Melton,13,
Russ Meyer,13,
Bob Moose,13,
Johnny Morrison,13,
Carl Morton,13,
Red Munger,13,
Billy O'Dell,13,
Bob Purkey,13,
Pedro Ramos,13,
Billy Rhines,13,
Elmer Riddle,13,
Ed Seward,13,
Dupee Shaw,13,
Mario Soto,13,
Elam Vangilder,13,
Bill Voiselle,13,
George Wiedman,13,
Earl Wilson,13,
Kevin Appier,12,508
Pedro Astacio,12,
Ray Benge,12,
Bud Black,12,
