Name,Games,Rank
Daniel Bard,66,271
Al Benton,66,
Doug Corbett,66,
Luke Gregerson,66,
Bob Howry,66,
Ian Kennedy,66,
Johnny Klippstein,66,
Derrick Turnbow,65,278
Félix Bautista,64,279
Clint Brown,64,
Paul Lindblad,64,
Tom Morgan,64,
Don Stanhouse,64,
Don Elston,63,284
Joe Heving,63,
Bob Lee,63,
Gary Lucas,63,
Al McBean,63,
Andrew Miller,63,
Bruce Ruffin,63,
Kerry Wood,63,
Jon Rauch,62,292
Ed Roebuck,62,
Kelvin Herrera,61,294
Charlie Hough,61,
Brandon Kintzler,61,
Gerry Staley,61,
Hal Woodeshick,61,
Jack Baldschun,60,299
Doug Bird,60,
Al Brazle,60,
Jason Motte,60,
Dale Murray,60,
Bobby Ayala,59,304
Sam Dyson,59,
Kelvim Escobar,59,
Terry Fox,59,
Darren Holmes,59,
Tom Murphy,59,
Scott Barlow,58,310
Dick Drago,58,
Woodie Fryman,58,
Marv Grissom,58,
Bill Landrum,58,
Billy McCool,58,
Andrés Muñoz,58,
Ray Narleski,58,
Robert Suarez,58,
Rick Camp,57,319
Ryne Duren,57,
Kyle Farnsworth,57,
Danny Frisella,57,
Jack Quinn,57,
Don Robinson,57,
Salomon Torres,57,
Wilbur Wood,57,
Paul Assenmacher,56,327
Frank DiPino,56,
Tom Ferrick,56,
Michael Gonzalez,56,
Dustin Hermanson,56,
Mark Littell,56,
Sid Monge,56,
George Sherrill,56,
Hugh Casey,55,335
Moe Drabowsky,55,
Mike Fornieles,55,
Lefty Grove,55,
Curt Leskanic,55,
Pedro Ramos,55,
Gregory Soto,55,
Dick Tidrow,55,
Scott Williamson,55,
Greg Harris,54,344
Lerrin LaGrow,54,
Edwin Nunez,54,
Juan Acevedo,53,347
Joaquin Benoit,53,
Mudcat Grant,53,
Greg McMichael,53,
Mike DeJean,52,351
Steve Foucault,52,
Waite Hoyt,52,
Jeremy Jeffress,52,
Bob McClure,52,
Scott Radinsky,52,
Enrique Romo,52,
Vicente Romo,52,
Ken Tatum,52,
C.J. Wilson,52,
Gary Bell,51,361
Ken Forsch,51,
Matt Lindstrom,51,
Bob Miller,51,
Emilio Pagán,51,
Chris Ray,51,
Pete Richert,51,
Johnny Sain,51,
Esteban Yan,51,
Bobby Bolin,50,370
Don Mossi,50,
Edward Mujica,50,
Dave Schmidt,50,
Dan Spillner,50,
Arodys Vizcaino,50,
Ace Adams,49,376
Larry Andersen,49,
Joe Boever,49,
Mordecai Brown,49,
Jerry DiPoto,49,
Rich Loiselle,49,
Pete Mikkelsen,49,
Wilcy Moore,49,
Allie Reynolds,49,
Mace Brown,48,385
Scott Garrelts,48,
Harry Gumbert,48,
Kerry Ligtenberg,48,
Billy O'Dell,48,
Steve Olin,48,
Bobby Shantz,48,
Matt Barnes,47,392
Bud Norris,47,
Rocky Biddle,46,394
Ramon Hernandez,46,
Dennis Higgins,46,
Ray Moore,46,
Adam Ottavino,46,
Evan Phillips,46,
Shawn Tolleson,46,
Ted Wilks,46,
José Alvarado,45,402
Ernie Camacho,45,
Bill Castro,45,
Chuck Crim,45,
Joe Grahe,45,
Hal Reniff,45,
Sammy Stewart,45,
Luis Arroyo,44,409
Harry Dorish,44,
Giovanny Gallegos,44,
Dutch Leonard,44,
Frank Smith,44,
Mike Trombley,44,
Shane Greene,43,415
Daniel Hudson,43,
Syl Johnson,43,
Hansel Robles,43,
Minnie Rojas,43,
Dan Wheeler,43,
Stan Williams,43,
Terry Adams,42,422
Mike Garman,42,
Tom Gorman,42,
Steve Hamilton,42,
Mason Miller,42,
Steve Mingori,42,
Seunghwan Oh,42,
Allen Russell,42,
Miguel Batista,41,430
Jerry Johnson,41,
Steve Karsay,41,
Jose Leclerc,41,
Hooks Dauss,40,434
Jeanmar Gomez,40,
Brandon Morrow,40,
Brett Myers,40,
Orlando Pena,40,
Shane Rawley,40,
Charlie Root,40,
Bob Smith,40,
George Zuverink,40,
George Caster,39,443
Ken Dayley,39,
Seranthony Domínguez,39,
Jim Hughes,39,
Steve Kline,39,
Pete Ladd,39,
Lance McCullers,39,
Dan Miceli,39,
Akinori Otsuka,39,
Jeff Robinson,39,
Sergio Santos,39,
Fred Scherman,39,
Rod Scurry,39,
Jordan Walden,39,
Jeremy Accardo,38,457
Dick Coffman,38,
Rick Honeycutt,38,
Trevor Megill,38,
Horacio Pina,38,
Jack Russell,38,
Victor Cruz,37,463
Hersh Freeman,37,
Bob Grim,37,
Bobby Parnell,37,
Chris Reitsma,37,
Lou Trivino,37,
Red Ames,36,469
Dellin Betances,36,
Shawn Chacon,36,
Jason Frasor,36,
Damaso Marte,36,
Brandon Maurer,36,
Joey McLaughlin,36,
A.J. Minter,36,
Slim Sallee,36,
Salome Barojas,35,478
Diego Castillo,35,
Russ Christopher,35,
Jason Foley,35,
CeciIio Guante,35,
Xavier Hernandez,35,
Dennis Lamp,35,
Eric Plunk,35,
Barney Schultz,35,
Tom Timmermann,35,
Dizzy Trout,35,
Chief Bender,34,489
Brad Brach,34,
Guy Bush,34,
Tom Buskey,34,
Manuel Corpas,34,
Matt Herges,34,
Roy Lee Jackson,34,
Walter Johnson,34,
Blake Parker,34,
Tyler Walker,34,
Ed Walsh,34,
Jim Willoughby,34,
Hooks Wiltse,34,
Hank Aguirre,33,502
Curt Davis,33,
Javy Guerra,33,
Shigetoshi Hasegawa,33,
Jordan Hicks,33,
Billy Hoeft,33,
Chief Hogsett,33,
Tom House,33,
Carl Hubbell,33,
Ed Klieman,33,
Gordon Maltzberger,33,
Trevor May,33,
Dale Mohorcic,33,
Jeff Nelson,33,
Herb Pennock,33,
Arthur Rhodes,33,
Doug Sisk,33,
Turk Wendell,33,
Grover Alexander,32,520
Juan Berenguer,32,
Archie Bradley,32,
Garland Braxton,32,
Danny Darwin,32,
Luis DeLeon,32,
Mark Eichhorn,32,
Dylan Floro,32,
Art Fowler,32,
Joe Gibbon,32,
Tom Hall,32,
Billy Loes,32,
Jorge López,32,
Satchel Paige,32,
Billy Pierce,32,
Al Reyes,32,
Eduardo Rodriguez,32,
Bob Shaw,32,
Pedro Strop,32,
Rube Walberg,32,
Tony Watson,32,
Jeff Zimmerman,32,
