Name,Triples,Rank
Hans Lobert,82,265
Fred Merkle,82,266
Johnny Mostil,82,267
Ray Chapman,81,268
Abner Dalrymple,81,269
Mickey Doolin,81,270
Stan Hack,81,271
Bill Hallman,81,272
Freddie Lindstrom,81,273
Bill Virdon,81,274
Ivey Wingo,81,275
Roberto Alomar,80,276
Pop Corkhill,80,277
Kid Gleason,80,278
Charlie Jamieson,80,279
Don Kessinger,80,280
Bill Lange,80,281
John Morrill,80,282
Pee Wee Reese,80,283
Dick Allen,79,284
Frank Chance,79,285
Ray Durham,79,286
Jack Graney,79,287
Ned Hanlon,79,288
Frank LaPorte,79,289
Deacon McGuire,79,290
Tony Perez,79,291
Jim Rice,79,292
Frank Shugart,79,293
Carlos Beltran,78,294
Patsy Dougherty,78,295
Jim Fregosi,78,296
Chick Gandil,78,297
Alfredo Griffin,78,298
Red Schoendienst,78,299
Cecil Travis,78,300
Dave Bancroft,77,301
Barry Bonds,77,302
Art Fletcher,77,303
Ken Griffey,77,304
Al Oliver,77,305
Dode Paskert,77,306
Fred Tenney,77,307
Terry Turner,77,308
Omar Vizquel,77,309
Ken Williams,77,310
Jimmy Austin,76,311
Jerry Denny,76,312
Larry Herndon,76,313
High Pockets Kelly,76,314
Barry Larkin,76,315
Tom McCreery,76,316
Rube Oldring,76,317
Ryne Sandberg,76,318
Gee Walker,76,319
Glenn Wright,76,320
Chief Zimmer,76,321
Carson Bigbee,75,322
Kitty Bransfield,75,323
Patsy Donovan,75,324
Pete Fox,75,325
Buck Herzog,75,326
Jimmy Johnston,75,327
Fielder Jones,75,328
Al Kaline,75,329
Mike Kreevich,75,330
Pepper Martin,75,331
Dave Parker,75,332
Roger Peckinpaugh,75,333
Billy Rogell,75,334
Bob Bescher,74,335
Donie Bush,74,336
Delino DeShields,74,337
Augie Galan,74,338
Johnny Hopp,74,339
Chuck Klein,74,340
Freddy Parent,74,341
Bobby Thomson,74,342
Cy Williams,74,343
Johnny Bates,73,344
Dwight Evans,73,345
Brett Gardner,73,346
Emmet Heidrick,73,347
Tommy Henrich,73,348
Braggo Roth,73,349
Ezra Sutton,73,350
Elmer Valo,73,351
Deacon White,73,352
Ping Bodie,72,353
George Burns,72,354
Alvin Dark,72,355
Bill Dickey,72,356
Max Flack,72,357
Tommy Griffith,72,358
Rollie Hemsley,72,359
Charlie Keller,72,360
Mickey Mantle,72,361
Dave Martinez,72,362
Eddie Mathews,72,363
Jose Offerman,72,364
