Name,Stolen Bases,Rank
Jim McTamany,255,230
Ginger Beaumont,254,231
Al Bumbry,254,232
Von Hayes,253,233
Frank Isbell,253,234
Alex Rios,253,235
Gary Sheffield,253,236
Jake Daubert,251,237
Pat Kelly,250,238
Harold Reynolds,250,239
Bug Holliday,248,240
Garry Maddox,248,241
George Moriarty,248,242
Cap Anson,247,243
Topsy Hartsel,247,244
Darren Lewis,247,245
Del Pratt,247,246
Gene Richards,247,247
Tony Fernandez,246,248
Stan Javier,246,249
Billy Sunday,246,250
John Reilly,245,251
Andy Van Slyke,245,252
Jimmy Austin,244,253
Roger Connor,244,254
Roy Thomas,244,255
Ron Gant,243,256
Ian Kinsler,243,257
Dave Roberts,243,258
Garry Templeton,242,259
Alan Wiggins,242,260
Hank Aaron,240,261
Emmett Seery,240,262
Jonathan Villar,239,263
Enos Cabell,238,264
Toby Harrah,238,265
Ducky Holmes,236,266
Alan Trammell,236,267
Home Run Baker,235,268
Ed Daily,235,269
Roberto Kelly,235,270
Germany Smith,235,271
Richie Ashburn,234,272
Benny Kauff,234,273
Sammy Sosa,234,274
Tony Taylor,234,275
Ray Chapman,233,276
Frank Schulte,233,277
Roy White,233,278
Pee Wee Reese,232,279
Elmer Smith,232,280
Joe Carter,231,281
Royce Clayton,231,282
Howard Johnson,231,283
Shane Victorino,231,284
Larry Walker,230,285
Raul Mondesi,229,286
Sam Thompson,229,287
Gene DeMontreville,228,288
Reggie Jackson,228,289
Rudy Law,228,290
Jack Smith,228,291
George Tebeau,228,292
Sandy Alomar,227,293
Cesar Tovar,226,294
Shano Collins,225,295
Phil Garner,225,296
Danny Richardson,225,297
Jimmy Wynn,225,298
Duff Cooley,224,299
Carney Lansford,224,300
Denny Lyons,224,301
Gee Walker,223,302
Dave Winfield,223,303
Rollie Zeider,223,304
Dan Gladden,222,305
Cy Seymour,222,306
Darryl Strawberry,221,307
Jack Crooks,220,308
Andrew McCutchen,220,309
Jack O'Connor,219,310
Bob Dernier,218,311
Billy Hatcher,218,312
Whit Merrifield,218,313
Corey Patterson,218,314
Terry Puhl,217,315
Christian Yelich,217,316
Ryan Braun,216,317
Orlando Cabrera,216,318
Sammy Strang,216,319
Fred Snodgrass,215,320
Billy Werber,215,321
Randy Winn,215,322
Milt Thompson,214,323
Mike Trout,214,324
Roger Cedeno,213,325
Mike Donlin,213,326
Kid Elberfeld,213,327
Joe Judge,213,328
Roger Bresnahan,212,329
Chad Curtis,212,330
Shawon Dunston,212,331
Ben Revere,211,332
Jean Segura,211,333
Bill Doran,209,334
Brandon Phillips,209,335
Solly Hofman,208,336
Jerry Remy,208,337
Bill Bruton,207,338
Charlie Hemphill,207,339
Davy Jones,207,340
Lou Bierbauer,206,341
Harry Lord,206,342
Dusty Miller,206,343
Ed Andrews,205,344
Minnie Minoso,205,345
Roger Peckinpaugh,205,346
Hardy Richardson,205,347
Rodney Scott,205,348
Zack Wheat,205,349
Frank Robinson,204,350
Damaso Garcia,203,351
Jim Gilliam,203,352
Sam Wise,203,353
Jeff Bagwell,202,354
Joe Jackson,202,355
Mike Mitchell,202,356
George Brett,201,357
Germany Schaefer,201,358
Harry Steinfeldt,201,359
Bobby Wallace,201,360
Don Buford,200,361
Jose Canseco,200,362
Max Flack,200,363
Ken Griffey,200,364
Bill Hallman,200,365
Ronald Acuña Jr.,198,366
Francisco Lindor,198,367
Julio Lugo,198,368
Pete Rose,198,369
Cliff Carroll,197,370
Lee Mazzilli,197,371
Rube Oldring,197,372
Blondie Purcell,197,373
Jackie Robinson,197,374
Gregg Jefferies,196,375
Brian McRae,196,376
Wilbert Robinson,196,377
Shannon Stewart,196,378
Bump Wills,196,379
David Wright,196,380
Eddie Foster,195,381
Torii Hunter,195,382
Willy Taveras,195,383
Bobby Veach,195,384
Mookie Betts,194,385
Jimmy Collins,194,386
Ivan DeJesus,194,387
Bill Greenwood,194,388
Fritz Maisel,194,389
Ollie Pickering,194,390
Danny Murphy,193,391
Bobby Tolan,193,392
Danny Green,192,393
Alfredo Griffin,192,394
Candy LaChance,192,395
Doc Casey,191,396
Cliff Heathcote,191,397
Jim O'Rourke,191,398
George Browne,190,399
Lorenzo Cain,190,400
Dave Fultz,189,401
Jason Kendall,189,402
Braggo Roth,189,403
Jerry Royster,189,404
Chick Stahl,189,405
Tom Herr,188,406
Johnny Bates,187,407
