Name,Hit by Pitch,Rank
Ed Konetchy,73,260
Casey Blake,72,261
Bert Daniels,72,262
Ray Durham,72,263
Billy Gilbert,72,264
Adam Kennedy,72,265
Francisco Lindor,72,266
Evan Longoria,72,267
Claude Ritchey,72,268
Jackie Robinson,72,269
Ossie Bluege,71,270
Tony Gonzalez,71,271
José Iglesias,71,272
Jonathan India,71,273
Mark Loretta,71,274
Bobby Lowe,71,275
Rougned Odor,71,276
Hanley Ramirez,71,277
Reggie Sanders,71,278
Roy Thomas,71,279
Ernie Banks,70,280
C.J. Cron,70,281
Mike Epstein,70,282
Derrek Lee,70,283
Heinie Manush,70,284
Johnny Mostil,70,285
Dan Uggla,70,286
Brad Ausmus,69,287
Bret Boone,69,288
Robinson Chirinos,69,289
Michael Conforto,69,290
Shea Hillenbrand,69,291
Chris Iannetta,69,292
Willie McCovey,69,293
Mike Napoli,69,294
Jim Thome,69,295
Asdrubal Cabrera,68,296
Gary Carter,68,297
Brandon Inge,68,298
Bill Madlock,68,299
Jeff Cirillo,67,300
Brett Gardner,67,301
Curtis Granderson,67,302
Richard Hidalgo,67,303
Martín Maldonado,67,304
Jurickson Profar,67,305
Tim Salmon,67,306
Grady Sizemore,67,307
Lance Berkman,66,308
Jackie Bradley Jr.,66,309
Roger Bresnahan,66,310
Buck Freeman,66,311
Dave Hollins,66,312
Javy Lopez,66,313
Rick Reichardt,66,314
Cal Ripken Jr.,66,315
Robby Thompson,66,316
Phil Bradley,65,317
Jim Leyritz,65,318
Jean Segura,65,319
Fred Snodgrass,65,320
Bobby Tolan,65,321
Alex Bregman,64,322
Miguel Cairo,64,323
Bert Campaneris,64,324
Tony Fernandez,64,325
Ducky Holmes,64,326
Carney Lansford,64,327
Ramón Laureano,64,328
Connie Mack,64,329
George McBride,64,330
Mel Ott,64,331
Anthony Rendon,64,332
Jim Rice,64,333
J.T. Snow,64,334
Jayson Werth,64,335
Mike Bordick,63,336
Cupid Childs,63,337
Jermaine Dye,63,338
Yan Gomes,63,339
Toby Harrah,63,340
Chief Meyers,63,341
Felix Millan,63,342
Kyle Seager,63,343
Al Smith,63,344
Fred Tenney,63,345
Sam Thompson,63,346
Dave Valle,63,347
Sean Casey,62,348
Ron Cey,62,349
Jack Glasscock,62,350
Juan Gonzalez,62,351
Solly Hemus,62,352
Jason Heyward,62,353
Sean Rodriguez,62,354
Chief Roseman,62,355
Willie Wilson,62,356
Kevin Young,62,357
Derek Bell,61,358
Jack Clements,61,359
Lucas Duda,61,360
Kirk Gibson,61,361
Chase Headley,61,362
Howie Kendrick,61,363
Jonathan Schoop,61,364
Will Smith,61,365
Jason Varitek,61,366
Clint Barmes,60,367
Ellis Burks,60,368
Vinny Castilla,60,369
Jeff Francoeur,60,370
Charlie Irwin,60,371
Mike Moustakas,60,372
Charlie O'Brien,60,373
Pop Smith,60,374
Mike Zunino,60,375
Jack Boyle,59,376
Will Clark,59,377
Brandon Crawford,59,378
Harry Davis,59,379
Avisaíl García,59,380
Nomar Garciaparra,59,381
Ryan Howard,59,382
Joe Jackson,59,383
Jim Landis,59,384
Tino Martinez,59,385
Nate McLouth,59,386
Tony Oliva,59,387
Ray Schalk,59,388
Sammy Sosa,59,389
Fernando Tatis,59,390
Bobby Veach,59,391
Chris Davis,58,392
Paul DeJong,58,393
Josh Donaldson,58,394
Andre Ethier,58,395
Duke Farrell,58,396
Charlie Hickman,58,397
Willie Horton,58,398
Paul Lo Duca,58,399
Lloyd Moseby,58,400
Xavier Nady,58,401
Ivan Rodriguez,58,402
Buck Weaver,58,403
Felipe Alou,57,404
Elvis Andrus,57,405
Javier Báez,57,406
Jay Bell,57,407
Willi Castro,57,408
Shano Collins,57,409
Wil Cordero,57,410
Alcides Escobar,57,411
Scott Fletcher,57,412
Todd Helton,57,413
Herman Long,57,414
Roy McMillan,57,415
Brian McRae,57,416
Pat Meares,57,417
Kevin Pillar,57,418
George Shoch,57,419
Kelly Shoppach,57,420
Matt Stairs,57,421
Jake Stenzel,57,422
Jason Bay,56,423
Jay Buhner,56,424
Cesar Cedeno,56,425
Kyle Farmer,56,426
Woodie Held,56,427
Corey Koskie,56,428
Mickey Morandini,56,429
Dave Parker,56,430
Kirby Puckett,56,431
Mark Reynolds,56,432
Sam Rice,56,433
Olmedo Saenz,56,434
Frank Schulte,56,435
Nick Swisher,56,436
Albert Belle,55,437
Xander Bogaerts,55,438
Doc Casey,55,439
Francisco Cervelli,55,440
Glenn Davis,55,441
J.D. Drew,55,442
Yunel Escobar,55,443
Adam Frazier,55,444
Ryan Garko,55,445
Goose Goslin,55,446
Billy Hatcher,55,447
Aaron Hill,55,448
Al Kaline,55,449
Candy LaChance,55,450
Barry Larkin,55,451
John Mayberry,55,452
Daniel Nava,55,453
Joe Randa,55,454
Ellie Rodriguez,55,455
Ramon Santiago,55,456
Ichiro Suzuki,55,457
Neil Walker,55,458
Matt Williams,55,459
Gordon Beckham,54,460
Angel Berroa,54,461
Brady Clark,54,462
Craig Counsell,54,463
Alvin Dark,54,464
Jake Daubert,54,465
Patsy Dougherty,54,466
Juan Encarnacion,54,467
Red Killefer,54,468
Miguel Montero,54,469
Matt Olson,54,470
Dean Palmer,54,471
Vada Pinson,54,472
Mike Redmond,54,473
Bill Skowron,54,474
Farmer Weaver,54,475
Ty Wigginton,54,476
John Anderson,53,477
Harrison Bader,53,478
Bobby Bonds,53,479
Nick Castellanos,53,480
Matt Chapman,53,481
Einar Diaz,53,482
Ryan Doumit,53,483
Larry Doyle,53,484
Dwight Evans,53,485
Steve Finley,53,486
Ira Flagstead,53,487
Mike Hargrove,53,488
Lou Johnson,53,489
Dave Kingman,53,490
Victor Martinez,53,491
Stan Musial,53,492
Frank O'Rourke,53,493
George Pinkney,53,494
Brooks Robinson,53,495
Edd Roush,53,496
Gary Sánchez,53,497
George Scott,53,498
Giancarlo Stanton,53,499
John Valentin,53,500
Randy Winn,53,501
Brian Anderson,52,502
Erick Aybar,52,503
Yogi Berra,52,504
Bill Coughlin,52,505
Jake Cronenworth,52,506
Tom Daly,52,507
Mark DeRosa,52,508
Curt Flood,52,509
George Foster,52,510
Jim Gantner,52,511
Bill Gleason,52,512
Didi Gregorius,52,513
Bill Hallman,52,514
Corey Hart,52,515
Mike Lowell,52,516
Johnny Mize,52,517
Dylan Moore,52,518
Sean Murphy,52,519
Bill Nicholson,52,520
Austin Riley,52,521
Richie Sexson,52,522
Carlos Beltran,51,523
John Buck,51,524
Willie Davis,51,525
Dexter Fowler,51,526
Brian Giles,51,527
Paul Goldschmidt,51,528
Joe Judge,51,529
Billy Jurges,51,530
Shane Mack,51,531
Nick Markakis,51,532
Freddy Parent,51,533
Luke Raley,51,534
Roy Sievers,51,535
Frank Thomas,51,536
Luis Urías,51,537
Preston Wilson,51,538
Joe Yeager,51,539
Ronald Acuña Jr.,50,540
Roberto Alomar,50,541
Home Run Baker,50,542
Mookie Betts,50,543
Fred Carroll,50,544
