Name,GIDP,Rank
Gee Walker,165,260
Dick Allen,164,261
Deron Johnson,164,262
Andy Pafko,164,263
Vada Pinson,164,264
Boog Powell,164,265
Roy Sievers,164,266
Hubie Brooks,163,267
Jason Giambi,163,268
Roy McMillan,163,269
Buster Posey,163,270
Andrelton Simmons,163,271
Ed Brinkman,162,272
Del Crandall,162,273
Willie Montanez,162,274
Tony Fernandez,161,275
Keith Hernandez,161,276
Ian Kinsler,161,277
Jim Piersall,161,278
Danny Cater,160,279
Walker Cooper,160,280
Brian Giles,160,281
Thurman Munson,160,282
Bobby Abreu,159,283
Jim Sundberg,159,284
Bobby Thomson,159,285
Carlos Baerga,158,286
Dusty Baker,158,287
Prince Fielder,158,288
Amos Otis,158,289
Pete Suder,158,290
Mark Teixeira,158,291
Ron Fairly,157,292
Bobby Grich,157,293
Elston Howard,157,294
Aubrey Huff,157,295
Mark Loretta,157,296
Willie McGee,157,297
Ken Reitz,157,298
Bruce Bochte,156,299
Xander Bogaerts,156,300
Sean Casey,156,301
J.J. Hardy,156,302
Gregg Jefferies,156,303
James Loney,156,304
Mike Schmidt,156,305
Alan Trammell,156,306
Frank White,156,307
Lou Boudreau,155,308
Toby Harrah,155,309
Charlie Hayes,155,310
Rudy York,155,311
Travis Fryman,154,312
Mike Hargrove,154,313
Dustin Pedroia,154,314
Giancarlo Stanton,154,315
Juan Uribe,154,316
Jeff Cirillo,153,317
Raul Ibanez,153,318
Larry Walker,153,319
Ken Caminiti,152,320
Carlos Delgado,152,321
Steve Finley,152,322
Gary Ward,152,323
David Wright,152,324
Ray Durham,151,325
Ramon Hernandez,151,326
Bob Kennedy,151,327
Mark Kotsay,151,328
Hunter Pence,151,329
Craig Biggio,150,330
Cecil Cooper,150,331
Scott Rolen,150,332
Reggie Smith,150,333
Jerry Adair,149,334
Tony Armas,149,335
Sal Bando,149,336
Fred Lynn,149,337
Anthony Rizzo,149,338
Pablo Sandoval,149,339
Dmitri Young,149,340
Jeff Burroughs,148,341
Willie Jones,148,342
Marcell Ozuna,148,343
Kurt Suzuki,148,344
Jose Cardenal,147,345
Greg Luzinski,147,346
Mark McGwire,147,347
Yogi Berra,146,348
Tom Brunansky,146,349
Leo Durocher,146,350
Jeffrey Leonard,146,351
Felix Millan,146,352
Steve Sax,146,353
Troy Tulowitzki,146,354
Juan Beniquez,145,355
Mike Bordick,145,356
Lyle Overbay,145,357
Vic Power,145,358
Justin Turner,145,359
Jose Vidro,145,360
Lance Berkman,144,361
Ken Keltner,144,362
Manny Sanguillen,144,363
Richie Sexson,144,364
Jesus Alou,143,365
Roy Campanella,143,366
Alex Johnson,143,367
Ted Kluszewski,143,368
Harvey Kuenn,143,369
Jean Segura,143,370
Willie Stargell,143,371
Manny Trillo,143,372
Bill Tuttle,143,373
Vic Wertz,143,374
Lou Whitaker,143,375
Rondell White,143,376
Ben Chapman,142,377
Carlos Correa,142,378
Doug Rader,142,379
Tim Raines,142,380
Mike Sweeney,142,381
Justin Upton,142,382
Al Cowens,141,383
Ron Hansen,141,384
Rich Aurilia,140,385
Keith Moreland,140,386
Claudell Washington,140,387
Norm Cash,139,388
Hod Ford,139,389
Dave Kingman,139,390
Andrew McCutchen,139,391
Tony Oliva,139,392
Alexei Ramirez,139,393
Joe Randa,139,394
Ryne Sandberg,139,395
Enos Slaughter,139,396
Rick Burleson,138,397
Bill Freehan,138,398
Troy Glaus,138,399
Alex Gonzalez,138,400
Orlando Hudson,138,401
Brook Jacoby,138,402
Ed Kranepool,138,403
Paul Lo Duca,138,404
Wilson Ramos,138,405
Ted Sizemore,138,406
Richie Zisk,138,407
Nick Castellanos,137,408
Sam Chapman,137,409
Joe Girardi,137,410
Hanley Ramirez,137,411
Clete Boyer,136,412
Mike Greenwell,136,413
Bryce Harper,136,414
Hector Lopez,136,415
Jonathan Lucroy,136,416
Jerry Priddy,136,417
Jimmy Rollins,136,418
Rey Sanchez,136,419
Felipe Alou,135,420
Josh Donaldson,135,421
Jim Gantner,135,422
Hal Lanier,135,423
J.T. Snow,135,424
Mo Vaughn,135,425
Eric Young,135,426
Enos Cabell,134,427
Alvin Dark,134,428
Frank Demaree,134,429
David Freese,134,430
Chris Gomez,134,431
Aaron Hill,134,432
Mark McLemore,134,433
Ken McMullen,134,434
Ronnie Belliard,133,435
Ray Boone,133,436
Tony Clark,133,437
Darrell Evans,133,438
Eddie Miller,133,439
Pete O'Brien,133,440
Kevin Seitzer,133,441
Mickey Stanley,133,442
Eddie Yost,133,443
Sandy Alomar Jr.,132,444
Josh Bell,132,445
Joe Carter,132,446
Ron Coomer,132,447
Ian Desmond,132,448
Don Kessinger,132,449
Bob Aspromonte,131,450
Rick Dempsey,131,451
Phil Garner,131,452
Jerry Grote,131,453
David Segui,131,454
Nick Swisher,131,455
Michael Brantley,130,456
Eric Chavez,130,457
Joe DiMaggio,130,458
Sam Mele,130,459
Glenn Wilson,130,460
Luke Appling,129,461
Nomar Garciaparra,129,462
Gus Mancuso,129,463
Joe Rudi,129,464
Andre Thornton,129,465
Sammy White,129,466
Preston Wilson,129,467
Rich Dauer,128,468
Willie Davis,128,469
Dan Driessen,128,470
Damion Easley,128,471
Alex Gonzalez,128,472
Adam LaRoche,128,473
Jim Northrup,128,474
Bill Robinson,128,475
Gus Triandos,128,476
Jason Varitek,128,477
Earl Battey,127,478
Rico Petrocelli,127,479
Tony Phillips,127,480
Jonathan Schoop,127,481
Everett Scott,127,482
Al Smith,127,483
Paul Waner,127,484
Paul Blair,126,485
Jeff Francoeur,126,486
Yasmani Grandal,126,487
Tommy Helms,126,488
Davey Johnson,126,489
Ralph Kiner,126,490
Davey Lopes,126,491
Johnny Ray,126,492
Alan Ashby,125,493
Jim Fregosi,125,494
Frankie Gustine,125,495
Jose Hernandez,125,496
Larry Herndon,125,497
Billy Johnson,125,498
Terry Kennedy,125,499
Ryan Klesko,125,500
Johnny Logan,125,501
Jorge Orta,125,502
Dave Cash,124,503
Pedro Feliz,124,504
Tony Gonzalez,124,505
Jerry Morales,124,506
Bobby Murcer,124,507
Daniel Murphy,124,508
Joe Pepitone,124,509
Jim Spencer,124,510
Eugenio SuÃ¡rez,124,511
Ben Zobrist,124,512
John Bateman,123,513
David Bell,123,514
Derek Bell,123,515
Jay Buhner,123,516
Donn Clendenon,123,517
Mark Koenig,123,518
Eddie Mathews,123,519
Bob Meusel,123,520
Justin Morneau,123,521
Roy White,123,522
Jim Edmonds,122,523
Darrin Fletcher,122,524
Pedro Guerrero,122,525
Jim Ray Hart,122,526
Ken Henderson,122,527
Shea Hillenbrand,122,528
Don Hoak,122,529
Mike Moustakas,122,530
Ben Oglivie,122,531
Mickey Owen,122,532
Alfonso Soriano,122,533
Ty Wigginton,122,534
Bobby Avila,121,535
Larry Bowa,121,536
Smoky Burgess,121,537
Brandon Crawford,121,538
Tony Cuccinello,121,539
Babe Dahlgren,121,540
Dan Ford,121,541
Billy Goodman,121,542
Johnny Groth,121,543
Mike Heath,121,544
Don Money,121,545
Wally Moon,121,546
Al Rosen,121,547
Reggie Sanders,121,548
Roy Smalley,121,549
Christian Yelich,121,550
Luis Castillo,120,551
Marty Marion,120,552
Cecil Travis,120,553
Pat Burrell,119,554
Jose Cruz,119,555
Tim Foli,119,556
Carlos Guillen,119,557
Mike Kreevich,119,558
Brent Mayne,119,559
Butch Wynegar,119,560
Rick Cerone,118,561
Brian Jordan,118,562
Peanuts Lowrey,118,563
Tommy Pham,118,564
Jody Reed,118,565
Andy Seminick,118,566
Dick Stuart,118,567
Birdie Tebbetts,118,568
Randy Velarde,118,569
Jimmy Bloodworth,117,570
Deivi Cruz,117,571
Ferris Fain,117,572
Curt Flood,117,573
Scott Hatteberg,117,574
Adam Lind,117,575
Hank Majeski,117,576
Starling Marte,117,577
Kevin Millar,117,578
Mark Reynolds,117,579
Jimmy Wynn,117,580
Juan Encarnacion,116,581
Hoot Evers,116,582
Bernard Gilkey,116,583
Ryan Howard,116,584
Jacque Jones,116,585
Chuck Knoblauch,116,586
Mike Lansing,116,587
Cass Michaels,116,588
Ron Oester,116,589
Juan Rivera,116,590
George Springer,116,591
Bob Allison,115,592
Marlon Byrd,115,593
Don Slaught,115,594
Shannon Stewart,115,595
Glenn Beckert,114,596
Frank Bolling,114,597
Lou Brock,114,598
Mike Cameron,114,599
Ozzie Guillen,114,600
Steve Kemp,114,601
Mike Lieberthal,114,602
Mike Napoli,114,603
Aaron Rowand,114,604
Bo Diaz,113,605
Alcides Escobar,113,606
Chase Headley,113,607
Jim Hegan,113,608
Geoff Jenkins,113,609
Roberto Kelly,113,610
Matt Lawton,113,611
Mickey Mantle,113,612
Gerardo Parra,113,613
Rafael Ramirez,113,614
Jackie Robinson,113,615
Marco Scutaro,113,616
Pat Tabler,113,617
Jason Thompson,113,618
Earl Torgeson,113,619
Kevin Bass,112,620
Eric Davis,112,621
Vladimir Guerrero Jr.,112,622
Ricky Gutierrez,112,623
Lenny Harris,112,624
Rogers Hornsby,112,625
Charles Johnson,112,626
Carlos May,112,627
Melvin Mora,112,628
Phil Nevin,112,629
Ken Oberkfell,112,630
Rennie Stennett,112,631
Alex Bregman,111,632
Wilmer Flores,111,633
Greg Gagne,111,634
Bob Horner,111,635
Jose Lopez,111,636
Miguel Rojas,111,637
Elmer Valo,111,638
Edgardo Alfonzo,110,639
Wil Cordero,110,640
Marty Cordova,110,641
Alex Gordon,110,642
Ron Hassey,110,643
Don Kolloway,110,644
Justin Smoak,110,645
Danny Tartabull,110,646
Gene Woodling,110,647
Tony Batista,109,648
Gus Bell,109,649
Lorenzo Cain,109,650
Chico Carrasquel,109,651
Scott Fletcher,109,652
Kenny Lofton,109,653
Willard Marshall,109,654
Damian Miller,109,655
Tris Speaker,109,656
Matt Stairs,109,657
Don Wert,109,658
Dan Wilson,109,659
Delmon Young,109,660
Ken Berry,108,661
Yan Gomes,108,662
Steve Henderson,108,663
Randy Jackson,108,664
Cleon Jones,108,665
Aaron Judge,108,666
Austin Kearns,108,667
John Mayberry,108,668
Jerry Mumphrey,108,669
Troy O'Leary,108,670
Jay Payton,108,671
Mike Stanley,108,672
Erick Aybar,107,673
Javier BÃ¡ez,107,674
Casey Blake,107,675
Bobby Bonds,107,676
Steve Buechele,107,677
Dom DiMaggio,107,678
Tito Fuentes,107,679
Brian Harper,107,680
Phil Masi,107,681
Phil Rizzuto,107,682
Hank Sauer,107,683
Kyle Seager,107,684
Bert Campaneris,106,685
Jody Davis,106,686
Maikel Franco,106,687
Randal Grichuk,106,688
Ken Griffey,106,689
Odell Hale,106,690
Mickey Hatcher,106,691
Adam Kennedy,106,692
Casey McGehee,106,693
Miguel Montero,106,694
Greg Myers,106,695
Carlos Ruiz,106,696
Mike Scioscia,106,697
Ed Sprague,106,698
Mark Trumbo,106,699
Gus Zernial,106,700
Michael Barrett,105,701
Gary DiSarcina,105,702
AvisaÃ­l GarcÃ­a,105,703
Richie Hebner,105,704
Joe Morgan,105,705
Hal Morris,105,706
Lloyd Moseby,105,707
Bill Mueller,105,708
Rance Mulliniks,105,709
Dave Valle,105,710
Jose Vizcaino,105,711
Kevin Young,105,712
Alberto Callaspo,104,713
Jim Davenport,104,714
Andre Ethier,104,715
Jason Heyward,104,716
Francisco Lindor,104,717
Rick Manning,104,718
Charlie Moore,104,719
Bob Nieman,104,720
Jim Presley,104,721
J.T. Realmuto,104,722
Phil Cavarretta,103,723
Tito Francona,103,724
Ben Grieve,103,725
Lance Johnson,103,726
Del Rice,103,727
Daryl Spencer,103,728
Joe Stripp,103,729
Earl Williams,103,730
Bobby Wine,103,731
Dick Bartell,102,732
Ivan Calderon,102,733
Jorge Cantu,102,734
Chad Curtis,102,735
Yuli Gurriel,102,736
Stan Javier,102,737
Lamar Johnson,102,738
Jose Lind,102,739
Darrell Porter,102,740
Jorge Soler,102,741
Todd Walker,102,742
Matt Wieters,102,743
Matty Alou,101,744
Yuniesky Betancourt,101,745
Jay Bruce,101,746
Shin-Soo Choo,101,747
Brandon Inge,101,748
David Justice,101,749
Hideki Matsui,101,750
Dan Meyer,101,751
Bob Oliver,101,752
Wally Pipp,101,753
Greg Vaughn,101,754
Jesse Barfield,100,755
Will Clark,100,756
Spud Davis,100,757
Von Hayes,100,758
Tom Herr,100,759
Mike Hershberger,100,760
Ron Hunt,100,761
Julian Javier,100,762
Buddy Lewis,100,763
Kevin McReynolds,100,764
Jose Offerman,100,765
Matt Olson,100,766
Marty Perez,100,767
Bobby Richardson,100,768
Eddie Robinson,100,769
Yorvit Torrealba,100,770
Tommie Agee,99,771
Jeromy Burnitz,99,772
Doc Cramer,99,773
Warren Cromartie,99,774
C.J. Cron,99,775
Khris Davis,99,776
Delino DeShields,99,777
Dick Green,99,778
Jim Hickman,99,779
Garry Maddox,99,780
Tim McCarver,99,781
Denis Menke,99,782
Johnny Mize,99,783
Manny Mota,99,784
Bill Terry,99,785
Gio Urshela,99,786
Jayson Werth,99,787
Don Zimmer,99,788
Johnny Callison,98,789
Shawon Dunston,98,790
Ron Gant,98,791
Dan Gladden,98,792
Dave Magadan,98,793
Candy Maldonado,98,794
Mike Matheny,98,795
Milt May,98,796
Tim Salmon,98,797
Marcus Semien,98,798
Juan Soto,98,799
B.J. Upton,98,800
Christian VÃ¡zquez,98,801
Wally Westlake,98,802
Devon White,98,803
Randy Winn,98,804
Dale Alexander,97,805
Pete Alonso,97,806
Ollie Brown,97,807
Alvin Davis,97,808
Larry Doby,97,809
John Flaherty,97,810
Elbie Fletcher,97,811
Pat Kelly,97,812
Jeff King,97,813
Jerry Lumpe,97,814
Mitch Moreland,97,815
Don Mueller,97,816
Buddy Rosar,97,817
Neil Walker,97,818
Ernie Whitt,97,819
Dick Williams,97,820
Tim Anderson,96,821
Willson Contreras,96,822
David DeJesus,96,823
Lou Finney,96,824
Frankie Hayes,96,825
Tommy Holmes,96,826
Casey Kotchman,96,827
Sixto Lezcano,96,828
Billy Martin,96,829
Spike Owen,96,830
Fernando Tatis,96,831
Gene Alley,95,832
Hank Bauer,95,833
Larry Brown,95,834
Adam Dunn,95,835
Doug Flynn,95,836
Todd Frazier,95,837
Ken Harrelson,95,838
Larry Hisle,95,839
Dean Palmer,95,840
Yonder Alonso,94,841
Garrett Atkins,94,842
Pat Borders,94,843
Harry Danning,94,844
JosÃ© Iglesias,94,845
Mark Lemke,94,846
Jed Lowrie,94,847
Dal Maxvill,94,848
Pat Meares,94,849
Bill Melton,94,850
Mickey Morandini,94,851
Anthony Rendon,94,852
Andy Van Slyke,94,853
Pinky Whitney,94,854
Larry Biittner,93,855
Johnny Damon,93,856
Mark DeRosa,93,857
Mariano Duncan,93,858
Carlos GonzÃ¡lez,93,859
Gabby Hartnett,93,860
Gil McDougald,93,861
George McQuinn,93,862
Raul Mondesi,93,863
Xavier Nady,93,864
Joe Oliver,93,865
Rey Ordonez,93,866
Neifi Perez,93,867
Wally Post,93,868
Lee Stevens,93,869
Chase Utley,93,870
Danny Valencia,93,871
Steve Yeager,93,872
Rafael Devers,92,873
Joe Dugan,92,874
Woodie Held,92,875
Randy Hundley,92,876
John Kruk,92,877
Vance Law,92,878
Travis Lee,92,879
Dwayne Murphy,92,880
Tom Paciorek,92,881
Freddie Patek,92,882
Rick Reichardt,92,883
Connie Ryan,92,884
Hal Smith,92,885
Ichiro Suzuki,92,886
Jim Tabor,92,887
Zoilo Versalles,92,888
Maury Wills,92,889
Orlando Arcia,91,890
Milton Bradley,91,891
Ed Charles,91,892
Travis d'Arnaud,91,893
Joe DeMaestri,91,894
Marwin Gonzalez,91,895
Rusty Greer,91,896
Chuck Hinton,91,897
Bobby Knoop,91,898
Johnny Lindell,91,899
Dave May,91,900
Gerald Perry,91,901
Juan Pierre,91,902
Luis Polonia,91,903
Amed Rosario,91,904
Bobby Tolan,91,905
Hal Trosky,91,906
John Valentin,91,907
Ken Boswell,90,908
Michael Conforto,90,909
Coco Crisp,90,910
Jim Gilliam,90,911
Greg Gross,90,912
Jon Jay,90,913
Terrence Long,90,914
Wil Myers,90,915
Rip Repulski,90,916
Jerry Royster,90,917
Corey Seager,90,918
Eric Soderholm,90,919
Burgess Whitehead,90,920
Willie Wilson,90,921
Mike Aviles,89,922
Gordon Beckham,89,923
Gino Cimoli,89,924
Brian Dozier,89,925
Mark Ellis,89,926
Ty France,89,927
Glenallen Hill,89,928
Omar Infante,89,929
MartÃ­n Maldonado,89,930
Orlando Merced,89,931
Don Mincher,89,932
Kevin Mitchell,89,933
Trevor Plouffe,89,934
Brian Schneider,89,935
John Wathan,89,936
Rube Bressler,88,937
David Eckstein,88,938
Felix Fermin,88,939
Chico Fernandez,88,940
Adeiny HechavarrÃ­a,88,941
Richard Hidalgo,88,942
John Mabry,88,943
Jack Wilson,88,944
Willie Aikens,87,945
Joe Azcue,87,946
Hank Blalock,87,947
Alec Bohm,87,948
Darin Erstad,87,949
Cristian Guzman,87,950
Tommy Harper,87,951
Corey Hart,87,952
Cesar Izturis,87,953
Chris Johnson,87,954
Ruppert Jones,87,955
Jeff Keppinger,87,956
Trey Mancini,87,957
Cameron Maybin,87,958
Clyde McCullough,87,959
Brian McRae,87,960
John Milner,87,961
Ryan Theriot,87,962
Josh Willingham,87,963
Gregg Zaun,87,964
Geoff Blum,86,965
John Buck,86,966
Joe Ferguson,86,967
Alfredo Griffin,86,968
Kelly Gruber,86,969
Travis Hafner,86,970
Eric Hinske,86,971
Roy Howell,86,972
Cliff Johnson,86,973
Lee Lacy,86,974
Cookie Lavagetto,86,975
Danny Litwhiler,86,976
Ketel Marte,86,977
Denard Span,86,978
Mickey Tettleton,86,979
Mike Easler,85,980
Cliff Floyd,85,981
Cito Gaston,85,982
Pete Incaviglia,85,983
Charlie Neal,85,984
Gary Sutherland,85,985
Tim Teufel,85,986
Lee Thomas,85,987
Scott Brosius,84,988
Dave Chalk,84,989
Mark Christman,84,990
Mike Devereaux,84,991
J.D. Drew,84,992
Andy Etchebarren,84,993
Rafael Furcal,84,994
Dave Martinez,84,995
Gorman Thomas,84,996
Al Todd,84,997
Bill Virdon,84,998
Richie Ashburn,83,999
Alex Avila,83,1000
Mark Belanger,83,1001
Barry Bonnell,83,1002
Jim Busby,83,1003
Billy Cox,83,1004
Elias DÃ­az,83,1005
Yandy DÃ­az,83,1006
Bob Dillinger,83,1007
Carl Everett,83,1008
Freddy Galvis,83,1009
Billy Gardner,83,1010
Dave Henderson,83,1011
Bobby Higginson,83,1012
Glenn Hubbard,83,1013
Chris Iannetta,83,1014
Eddie Joost,83,1015
Fred Kendall,83,1016
James McCann,83,1017
Mike Morse,83,1018
Russ Nixon,83,1019
Wes Parker,83,1020
Mike Redmond,83,1021
Jerry Remy,83,1022
