Name,Sacrifice Flies,Rank
Willie Horton,59,260
Ian Kinsler,59,261
Brian McCann,59,262
Dustin Pedroia,59,263
Cookie Rojas,59,264
Mike Sweeney,59,265
Justin Upton,59,266
Vernon Wells,59,267
Elvis Andrus,58,268
Jose Bautista,58,269
Jay Bell,58,270
Andres Galarraga,58,271
Derek Jeter,58,272
Ed Kranepool,58,273
Adam LaRoche,58,274
Jeffrey Leonard,58,275
Eddie Mathews,58,276
Thurman Munson,58,277
Lance Parrish,58,278
A.J. Pierzynski,58,279
Kirby Puckett,58,280
Mike Trout,58,281
Sal Bando,57,282
Rube Bressler,57,283
Asdrubal Cabrera,57,284
Tim Foli,57,285
Ron Gant,57,286
Howard Johnson,57,287
Brian Jordan,57,288
Minnie Minoso,57,289
Tony Oliva,57,290
Rico Petrocelli,57,291
Anthony Rendon,57,292
Juan Uribe,57,293
José Abreu,56,294
Felipe Alou,56,295
Chris Chambliss,56,296
Kirk Gibson,56,297
Paul Goldschmidt,56,298
Chuck Knoblauch,56,299
Jerry Morales,56,300
Larry Parrish,56,301
José Ramírez,56,302
Johnny Ray,56,303
Edgardo Alfonzo,55,304
Norm Cash,55,305
Eric Chavez,55,306
Alvin Davis,55,307
Ken Griffey,55,308
Josh Hamilton,55,309
Ryan Howard,55,310
Adam Jones,55,311
Ryan Klesko,55,312
Derrek Lee,55,313
Frank Malzone,55,314
Roy Sievers,55,315
Randy Winn,55,316
Lance Berkman,54,317
Mike Bordick,54,318
Jay Buhner,54,319
Pat Burrell,54,320
Matt Carpenter,54,321
Rico Carty,54,322
Jeff Francoeur,54,323
David Justice,54,324
Chet Lemon,54,325
Roy Smalley,54,326
Alfonso Soriano,54,327
Jason Thompson,54,328
Greg Vaughn,54,329
Dick Allen,53,330
Gus Bell,53,331
Mookie Betts,53,332
Clete Boyer,53,333
Al Cowens,53,334
Jim Fregosi,53,335
Shawn Green,53,336
Tom Herr,53,337
Omar Infante,53,338
Ray Lankford,53,339
John Mayberry,53,340
Don Money,53,341
Stan Musial,53,342
Salvador Perez,53,343
Buster Posey,53,344
Johnny Roseboro,53,345
Darryl Strawberry,53,346
Gorman Thomas,53,347
Tony Armas,52,348
Bob Bailey,52,349
Jim Gantner,52,350
Dick Groat,52,351
Bobby Higginson,52,352
Elston Howard,52,353
Gregg Jefferies,52,354
Jackie Jensen,52,355
Harvey Kuenn,52,356
Mark McLemore,52,357
Mike Stanley,52,358
Nick Swisher,52,359
Jason Bay,51,360
Paul Blair,51,361
Bruce Bochte,51,362
Brett Butler,51,363
Coco Crisp,51,364
Darrin Fletcher,51,365
Jonny Gomes,51,366
Alfredo Griffin,51,367
Mel Hall,51,368
Aaron Hill,51,369
Kevin Millar,51,370
Dean Palmer,51,371
Placido Polanco,51,372
Martin Prado,51,373
Doug Rader,51,374
Joe Rudi,51,375
Bill Russell,51,376
Pablo Sandoval,51,377
Claudell Washington,51,378
Jose Altuve,50,379
Brady Anderson,50,380
David Bell,50,381
Marlon Byrd,50,382
Nick Castellanos,50,383
Eric Davis,50,384
Bobby Grich,50,385
Charlie Hayes,50,386
Von Hayes,50,387
Gil Hodges,50,388
Bob Horner,50,389
Dave Magadan,50,390
Mike Moustakas,50,391
Jimmy Rollins,50,392
Joe Torre,50,393
Jayson Werth,50,394
Chad Curtis,49,395
Bucky Dent,49,396
Shawon Dunston,49,397
Curtis Granderson,49,398
Ramon Hernandez,49,399
Melvin Mora,49,400
Ken Reitz,49,401
Brian Roberts,49,402
Bill Robinson,49,403
Manny Trillo,49,404
Jose Valentin,49,405
Leo Cardenas,48,406
Carl Crawford,48,407
Cliff Floyd,48,408
Nellie Fox,48,409
Bill Freehan,48,410
Bernard Gilkey,48,411
Steve Kemp,48,412
Adam Kennedy,48,413
Jason Kipnis,48,414
Davey Lopes,48,415
Bill Mueller,48,416
Daniel Murphy,48,417
Jim Piersall,48,418
Vic Power,48,419
Norm Siebern,48,420
Ichiro Suzuki,48,421
Joey Votto,48,422
Rich Aurilia,47,423
Tony Batista,47,424
Casey Blake,47,425
Michael Brantley,47,426
Starlin Castro,47,427
Donn Clendenon,47,428
Brandon Inge,47,429
DJ LeMahieu,47,430
Mickey Mantle,47,431
Terry Moore,47,432
Jorge Posada,47,433
Mickey Tettleton,47,434
Devon White,47,435
Kevin Young,47,436
Derek Bell,46,437
Lou Brock,46,438
Jay Bruce,46,439
Rick Burleson,46,440
Josh Donaldson,46,441
Cecil Fielder,46,442
Jose Guillen,46,443
Yuli Gurriel,46,444
Sixto Lezcano,46,445
Jed Lowrie,46,446
Hideki Matsui,46,447
Willie McGee,46,448
Neifi Perez,46,449
Josh Reddick,46,450
Lonnie Smith,46,451
Terry Steinbach,46,452
Garry Templeton,46,453
Todd Walker,46,454
Luis Alicea,45,455
Mark Belanger,45,456
Carlos Correa,45,457
Troy Glaus,45,458
Matt Holliday,45,459
Mark Kotsay,45,460
Ken Landreaux,45,461
Javy Lopez,45,462
Whit Merrifield,45,463
Lloyd Moseby,45,464
Dwayne Murphy,45,465
Trot Nixon,45,466
Mike Piazza,45,467
Mark Reynolds,45,468
Anthony Rizzo,45,469
David Segui,45,470
Bill Skowron,45,471
Mo Vaughn,45,472
Bill White,45,473
Yogi Berra,44,474
Ryan Braun,44,475
J.D. Drew,44,476
Stephen Drew,44,477
Andre Ethier,44,478
Rusty Greer,44,479
Carlos Guillen,44,480
Paul Lo Duca,44,481
Hector Lopez,44,482
Manny Sanguillen,44,483
Will Smith,44,484
Chris Speier,44,485
Danny Tartabull,44,486
Jose Vidro,44,487
Neil Walker,44,488
Eric Young,44,489
Larry Bowa,43,490
Jeromy Burnitz,43,491
Johnny Callison,43,492
Rick Cerone,43,493
Damion Easley,43,494
Johnny Edwards,43,495
Darin Erstad,43,496
Wilmer Flores,43,497
Tito Fuentes,43,498
Yan Gomes,43,499
Alex Gonzalez,43,500
Alex Gordon,43,501
Didi Gregorius,43,502
Brian Harper,43,503
Richard Hidalgo,43,504
Frank Howard,43,505
Davey Johnson,43,506
Matt Joyce,43,507
John Kruk,43,508
Mike Lieberthal,43,509
Rick Manning,43,510
Roger Maris,43,511
Bill Melton,43,512
Freddie Patek,43,513
Reggie Sanders,43,514
Al Smith,43,515
Troy Tulowitzki,43,516
Del Unser,43,517
Jason Varitek,43,518
Vic Wertz,43,519
Glenn Wilson,43,520
Kevin Youkilis,43,521
Delmon Young,43,522
Billy Butler,42,523
Miguel Cairo,42,524
Del Crandall,42,525
Rick Dempsey,42,526
Delino DeShields,42,527
Jim Eisenreich,42,528
Eduardo Escobar,42,529
Carl Everett,42,530
Brett Gardner,42,531
Mark Grudzielanek,42,532
Tommy Helms,42,533
Larry Hisle,42,534
Orlando Hudson,42,535
Brook Jacoby,42,536
Kevin Mitchell,42,537
Ken Oberkfell,42,538
Carlos Pena,42,539
Alexei Ramirez,42,540
Juan Samuel,42,541
Kyle Seager,42,542
Jim Spencer,42,543
Dan Uggla,42,544
John Valentin,42,545
Walt Weiss,42,546
Rondell White,42,547
Alan Ashby,41,548
Cody Bellinger,41,549
Andrew Benintendi,41,550
Jeff Blauser,41,551
Alex Bregman,41,552
Scott Brosius,41,553
Darren Daulton,41,554
Juan Encarnacion,41,555
Tito Francona,41,556
Carlos González,41,557
Mike Greenwell,41,558
Ron Hansen,41,559
Dave Henderson,41,560
Cleon Jones,41,561
Roberto Kelly,41,562
Candy Maldonado,41,563
Jerry Mumphrey,41,564
Frank O'Rourke,41,565
Kevin Seitzer,41,566
Scott Spiezio,41,567
B.J. Upton,41,568
Matt Wieters,41,569
Richie Zisk,41,570
Ed Brinkman,40,571
Kole Calhoun,40,572
Shin-Soo Choo,40,573
Tony Clark,40,574
Adam Dunn,40,575
Mike Easler,40,576
Chone Figgins,40,577
Tony Gonzalez,40,578
Eric Hosmer,40,579
Don Kessinger,40,580
Jonathan Lucroy,40,581
Julio Lugo,40,582
Wes Parker,40,583
Gary Redus,40,584
Matt Stairs,40,585
Charlie Blackmon,39,586
Geoff Blum,39,587
Tom Brookens,39,588
Smoky Burgess,39,589
Jorge Cantu,39,590
Sean Casey,39,591
Glenn Davis,39,592
Jody Davis,39,593
Ian Desmond,39,594
David Eckstein,39,595
Mark Ellis,39,596
Pedro Feliz,39,597
Greg Gross,39,598
Wes Helms,39,599
Glenn Hubbard,39,600
Terry Kennedy,39,601
Ed Kirkpatrick,39,602
Adam Lind,39,603
Dale Long,39,604
Mike Macfarlane,39,605
Carlos May,39,606
Bake McBride,39,607
Roy McMillan,39,608
Mitch Moreland,39,609
Hal Morris,39,610
Jim Morrison,39,611
Tom Paciorek,39,612
Gerardo Parra,39,613
Hunter Pence,39,614
Giancarlo Stanton,39,615
Tony Taylor,39,616
Gene Tenace,39,617
Bobby Tolan,39,618
Bill Virdon,39,619
Dan Wilson,39,620
Jesús Aguilar,38,621
Josh Bell,38,622
