Name,Percent,Raw,Rank
Johnny Rawlings,7.4,7.3945,167
Alvin Dark,7.4,7.3971,168
Granny Hamner,7.4,7.3985,169
Whitey Witt,7.4,7.4083,170
Dan Meyer,7.4,7.4183,171
Frank Baumholtz,7.4,7.4202,172
Baby Doll Jacobson,7.4,7.4451,173
Placido Polanco,7.5,7.4577,174
Marv Owen,7.5,7.4828,175
Horace Clarke,7.5,7.5213,176
Duane Kuiper,7.5,7.5466,177
Eric Young,7.6,7.5503,178
Taylor Douthit,7.6,7.56,179
Paul Lo Duca,7.6,7.5797,180
Andy Pafko,7.6,7.5811,181
Walker Cooper,7.6,7.5925,182
Pinky Whitney,7.6,7.5976,183
Hank Majeski,7.6,7.6001,184
Tim McCarver,7.6,7.6325,185
Ozzie Guillen,7.6,7.6428,186
Spud Davis,7.7,7.6616,187
Joe Kuhel,7.7,7.6653,188
Jack Smith,7.7,7.6787,189
Rennie Stennett,7.7,7.6974,190
Buddy Kerr,7.7,7.7114,191
Bill Madlock,7.7,7.7343,192
Bucky Dent,7.7,7.7349,193
Joe Dugan,7.7,7.7449,194
Cookie Rojas,7.8,7.7508,195
Rollie Hemsley,7.8,7.8264,196
Terry Moore,7.8,7.8298,197
John Stone,7.8,7.8327,198
Mike Greenwell,7.9,7.8737,199
Jim Bottomley,7.9,7.9106,200
Mark Grace,8.0,7.9603,201
Wally Pipp,8.0,7.9693,202
Ted Simmons,8.0,7.9954,203
Frank Malzone,8.0,7.9956,204
Ossie Bluege,8.0,7.9969,205
Chuck Klein,8.0,8.0327,206
Tony Cuccinello,8.0,8.0369,207
Nemo Leibold,8.0,8.0394,208
Billy Rogell,8.1,8.0792,209
Jim Gantner,8.1,8.095,210
Wade Boggs,8.1,8.1155,211
Johnny Mize,8.1,8.1329,212
Pete Rose,8.1,8.1335,213
Earl Averill,8.2,8.1536,214
Gary DiSarcina,8.2,8.1731,215
Dick Bartell,8.2,8.2186,216
Damaso Garcia,8.2,8.2269,217
David Eckstein,8.3,8.292,218
Mike Tresh,8.3,8.2991,219
Doug Flynn,8.3,8.3052,220
Rogers Hornsby,8.3,8.3078,221
Tommy Henrich,8.3,8.3207,222
Al Oliver,8.4,8.3545,223
Pete Fox,8.4,8.357,224
Gus Suhr,8.4,8.3655,225
Jerry Lumpe,8.4,8.3673,226
Mickey Rivers,8.4,8.3674,227
Marty McManus,8.4,8.3784,228
Eddie Robinson,8.4,8.3839,229
Bob Boone,8.4,8.392,230
Al Simmons,8.4,8.4142,231
Steve Sax,8.4,8.415,232
Willie Randolph,8.4,8.4186,233
Ross Youngs,8.4,8.4288,234
Ken Keltner,8.4,8.4462,235
Bob Elliott,8.5,8.4582,236
Sherm Lollar,8.5,8.4657,237
Manny Mota,8.5,8.4678,238
Bob Swift,8.5,8.4727,239
Billy Jurges,8.5,8.4759,240
Fred Schulte,8.5,8.4762,241
Odell Hale,8.5,8.5112,242
Hal Trosky,8.5,8.5255,243
Bobby Doerr,8.6,8.5718,244
Gene Woodling,8.6,8.5735,245
Ben Chapman,8.6,8.5829,246
Floyd Robinson,8.6,8.5871,247
Lenny Harris,8.6,8.5882,248
Buddy Bell,8.6,8.627,249
Bobby Avila,8.6,8.6364,250
Johnny Groth,8.6,8.6397,251
Eddie Stanky,8.7,8.6957,252
Mike Hershberger,8.7,8.7066,253
Ralph Garr,8.7,8.7118,254
Eddie Miller,8.7,8.7128,255
Roy Johnson,8.7,8.7176,256
Harold Reynolds,8.7,8.7202,257
Don Blasingame,8.7,8.7236,258
Dave Philley,8.8,8.7516,259
George Brett,8.8,8.7738,260
Sam West,8.8,8.7833,261
Lenny Green,8.8,8.7957,262
Phil Cavarretta,8.9,8.854,263
Gee Walker,8.9,8.8613,264
Johnny Hopp,8.9,8.8732,265
Minnie Minoso,8.9,8.8767,266
Pinky Higgins,8.9,8.8909,267
Red Kress,8.9,8.9051,268
Jody Reed,8.9,8.9372,269
Pete Suder,9.0,8.9676,270
Phil Masi,9.0,8.9677,271
Joey Cora,9.0,8.9716,272
Leo Durocher,9.0,8.972,273
Jason Kendall,9.0,8.9944,274
Johnny Logan,9.0,9.0008,275
Maury Wills,9.0,9.0142,276
Jerry Remy,9.1,9.0685,277
Craig Reynolds,9.1,9.0909,278
Al Lopez,9.1,9.094,279
Bill Mazeroski,9.1,9.1038,280
Larry Biittner,9.1,9.1082,281
Bill Russell,9.1,9.1145,282
Danny Cater,9.1,9.1215,283
Rusty Staub,9.1,9.1358,284
Ted Williams,9.2,9.2006,285
Lou Piniella,9.2,9.2211,286
Joe Cronin,9.2,9.236,287
Rick Burleson,9.3,9.282,288
Travis Jackson,9.3,9.2836,289
Willie Jones,9.3,9.286,290
Brooks Robinson,9.3,9.2923,291
Cass Michaels,9.3,9.297,292
Jack Rothrock,9.3,9.3134,293
Frankie Gustine,9.3,9.3191,294
Ron Northey,9.4,9.3632,295
Joe Orsulak,9.4,9.3641,296
Myril Hoag,9.5,9.4693,297
Mel Ott,9.5,9.4755,298
Del Crandall,9.5,9.4906,299
Lonny Frey,9.5,9.516,300
Bubba Phillips,9.6,9.579,301
Curt Flood,9.6,9.58,302
Bob Kennedy,9.6,9.5805,303
Felipe Alou,9.6,9.6198,304
Doc Lavan,9.7,9.6633,305
Ival Goodman,9.7,9.6741,306
Bill Tuttle,9.7,9.747,307
Marty Marion,9.8,9.753,308
Milt May,9.8,9.7752,309
Bengie Molina,9.8,9.788,310
Alfredo Griffin,9.8,9.7935,311
Glenn Wright,9.8,9.8001,312
Neifi Perez,9.8,9.8108,313
Danny O'Connell,9.8,9.8141,314
Gus Bell,9.8,9.8178,315
Pete Runnels,9.8,9.8384,316
Les Mann,9.8,9.8388,317
Orlando Palmeiro,9.9,9.8501,318
Orlando Cabrera,9.9,9.8571,319
Ripper Collins,9.9,9.8573,320
Babe Herman,9.9,9.8697,321
Lou Gehrig,9.9,9.8738,322
Butch Wynegar,9.9,9.8845,323
Mike Hargrove,9.9,9.885,324
Jim Piersall,9.9,9.8981,325
Cesar Izturis,9.9,9.908,326
Tony Fernandez,9.9,9.9103,327
Del Ennis,9.9,9.9118,328
Babe Dahlgren,9.9,9.9135,329
Nomar Garciaparra,9.9,9.9177,330
Don Kessinger,9.9,9.9203,331
Bob O'Farrell,9.9,9.9488,332
Sam Mele,10.0,9.9505,333
Jim Tabor,10.0,9.9525,334
Mickey Vernon,10.0,9.953,335
Eddie Kasko,10.0,9.9549,336
Catfish Metkovich,10.0,10.0139,337
Frank Bolling,10.0,10.0324,338
Carney Lansford,10.0,10.0447,339
Chico Carrasquel,10.1,10.056,340
Max Bishop,10.1,10.0579,341
Jose Lind,10.1,10.0626,342
Tito Fuentes,10.1,10.0791,343
Al Kaline,10.1,10.083,344
Ray Boone,10.1,10.0893,345
Dom DiMaggio,10.1,10.1241,346
Sandy Alomar,10.1,10.1261,347
Rabbit Warstler,10.1,10.1272,348
Elbie Fletcher,10.1,10.1455,349
B.J. Surhoff,10.2,10.1598,350
Lyn Lary,10.2,10.2107,351
Grady Hatton,10.2,10.2235,352
Darrin Fletcher,10.2,10.2255,353
Tony Oliva,10.2,10.2365,354
Eddie Miksis,10.3,10.2522,355
Warren Cromartie,10.3,10.2623,356
Alberto Callaspo,10.3,10.2643,357
Ken Landreaux,10.3,10.2658,358
Omar Vizquel,10.3,10.2683,359
Roy Cullenbine,10.3,10.2862,360
Scott Fletcher,10.3,10.2891,361
Barry Larkin,10.3,10.2936,362
Johnny Wyrostek,10.3,10.3066,363
Chick Hafey,10.3,10.3135,364
Joe Pepitone,10.3,10.3198,365
Jim Busby,10.3,10.3294,366
Al Rosen,10.3,10.3356,367
Pete O'Brien,10.4,10.355,368
Andrelton Simmons,10.4,10.3805,369
Billy Martin,10.4,10.3832,370
Deivi Cruz,10.4,10.4025,371
Mark Loretta,10.4,10.4095,372
Jackie Jensen,10.4,10.4278,373
Tommy Davis,10.4,10.4389,374
Terry Puhl,10.4,10.4428,375
Rey Sanchez,10.5,10.4742,376
Kiki Cuyler,10.5,10.5013,377
Vic Davalillo,10.5,10.5054,378
Bob Aspromonte,10.5,10.5058,379
Wayne Causey,10.5,10.5117,380
Spike Owen,10.5,10.5274,381
Roy McMillan,10.5,10.5302,382
George Grantham,10.5,10.5432,383
Vern Stephens,10.5,10.5433,384
Alan Trammell,10.5,10.5454,385
Mark Lemke,10.6,10.5573,386
Jimmy Dykes,10.6,10.5643,387
Don Gutteridge,10.6,10.5664,388
Tony Kubek,10.6,10.5832,389
Pepper Martin,10.6,10.6388,390
Roy White,10.6,10.6466,391
Willie Davis,10.6,10.6497,392
Carlos Baerga,10.7,10.6637,393
Thurman Munson,10.7,10.6849,394
Roger Metzger,10.7,10.6879,395
Ed Kranepool,10.7,10.688,396
Denny Walling,10.7,10.7301,397
Yuniesky Betancourt,10.7,10.7354,398
Danny Litwhiler,10.8,10.7899,399
Hal McRae,10.8,10.7925,400
Darryl Hamilton,10.8,10.7931,401
Wally Schang,10.8,10.7971,402
Al Zarilla,10.8,10.8062,403
Bill Virdon,10.8,10.8194,404
Gabby Hartnett,10.8,10.8364,405
Ken Reitz,10.8,10.8436,406
Dustin Pedroia,10.8,10.844,407
Ichiro Suzuki,10.9,10.8718,408
Jose Vidro,10.9,10.8742,409
Sammy White,10.9,10.8795,410
Tim Raines,10.9,10.8882,411
Jim Eisenreich,10.9,10.8886,412
Tom Herr,10.9,10.9179,413
Joe Morgan,10.9,10.941,414
Billy Hatcher,11.0,10.9703,415
Joe Cunningham,11.0,10.9756,416
Ron Hassey,11.0,10.9884,417
Sandy Alomar Jr.,11.0,11.0155,418
George McQuinn,11.0,11.0318,419
Lenny Dykstra,11.0,11.0331,420
Rod Carew,11.0,11.036,421
Pee Wee Reese,11.0,11.0449,422
Hoot Evers,11.0,11.0497,423
Rick Cerone,11.1,11.0592,424
Brett Butler,11.1,11.088,425
Bobby Adams,11.1,11.1222,426
Hank Aaron,11.2,11.1857,427
Billy Williams,11.2,11.1872,428
Luis Polonia,11.2,11.219,429
Irv Noren,11.2,11.2215,430
Mickey Stanley,11.2,11.2306,431
Elmer Smith,11.2,11.2363,432
Keith Moreland,11.2,11.2421,433
Woody English,11.3,11.2937,434
Cal Ripken Jr.,11.3,11.2977,435
Rafael Ramirez,11.3,11.3032,436
Endy Chavez,11.3,11.3052,437
Bob Meusel,11.3,11.3059,438
Gene Moore,11.3,11.3181,439
Steve Garvey,11.4,11.3526,440
Sean Casey,11.4,11.3897,441
Edgardo Alfonzo,11.5,11.4578,442
Chuck Knoblauch,11.5,11.4672,443
Paul Molitor,11.5,11.4813,444
Jimmy Bloodworth,11.6,11.5658,445
Wally Joyner,11.6,11.5757,446
High Pockets Kelly,11.6,11.5802,447
Jose Cardenal,11.6,11.5882,448
Enos Cabell,11.6,11.6095,449
Carl Yastrzemski,11.6,11.62,450
Charlie Moore,11.7,11.6539,451
Marco Scutaro,11.7,11.6636,452
Kevin Seitzer,11.7,11.69,453
Bill Doran,11.7,11.6936,454
Mark Kotsay,11.7,11.711,455
