Name,IBB,Rank
Brad Ausmus,69,262
Sal Bando,69,263
John Bateman,69,264
Sean Casey,69,265
Steve Finley,69,266
Andruw Jones,69,267
Matt Kemp,69,268
Don Kessinger,69,269
Hal McRae,69,270
Vada Pinson,69,271
Andre Thornton,69,272
Craig Biggio,68,273
Andre Ethier,68,274
Ray Lankford,68,275
Sherm Lollar,68,276
Ken Oberkfell,68,277
A.J. Pierzynski,68,278
Felipe Alou,67,279
Bob Bailey,67,280
Julio Franco,67,281
Bill Freehan,67,282
Adam LaRoche,67,283
Kevin McReynolds,67,284
Buster Posey,67,285
Ivan Rodriguez,67,286
Andy Seminick,67,287
Alan Ashby,66,288
Tommy Davis,66,289
Barry Larkin,66,290
Manny Machado,66,291
Carlos Santana,66,292
Brian Schneider,66,293
Roy Sievers,66,294
Alfonso Soriano,66,295
Roy White,66,296
Dmitri Young,66,297
Bruce Bochte,65,298
Jeff Burroughs,65,299
Rico Carty,65,300
Rafael Devers,65,301
Milt May,65,302
Eddie Miller,65,303
Hanley Ramirez,65,304
Vinny Castilla,64,305
Joe Ferguson,64,306
Rey Ordonez,64,307
Dave Rader,64,308
Leon Wagner,64,309
Steve Yeager,64,310
Kevin Bass,63,311
Greg Brock,63,312
Jose Canseco,63,313
Tony Gonzalez,63,314
Todd Hundley,63,315
Carlos May,63,316
Wes Parker,63,317
Tris Speaker,63,318
Gene Alley,62,319
Roberto Alomar,62,320
Hubie Brooks,62,321
Oscar Gamble,62,322
Marty Marion,62,323
Lance Parrish,62,324
Carlos Ruiz,62,325
Del Unser,62,326
Chase Utley,62,327
Rickey Henderson,61,328
Jay Johnstone,61,329
Jeff Kent,61,330
James Loney,61,331
Rico Petrocelli,61,332
J.T. Snow,61,333
Mike Sweeney,61,334
Dwight Evans,60,335
Tommy Helms,60,336
Willie Jones,60,337
Carlos Lee,60,338
Garry Maddox,60,339
Ted Sizemore,60,340
Brady Anderson,59,341
Billy Butler,59,342
Eric Davis,59,343
Tito Francona,59,344
Gregg Jefferies,59,345
Dick McAuliffe,59,346
George McQuinn,59,347
Thurman Munson,59,348
Joe Rudi,59,349
Ryne Sandberg,59,350
Matt Stairs,59,351
Jason Varitek,59,352
Jose Bautista,58,353
Rocky Colavito,58,354
Darren Daulton,58,355
Nick Etten,58,356
Doug Flynn,58,357
Willie McGee,58,358
Jose Oquendo,58,359
Aramis Ramirez,58,360
Gene Tenace,58,361
Mike Tresh,58,362
José Abreu,57,363
Cody Bellinger,57,364
Dale Berra,57,365
Don Buford,57,366
Doug DeCinces,57,367
Gary Gaetti,57,368
Mel Hall,57,369
Matt Holliday,57,370
Davey Johnson,57,371
Mike LaValliere,57,372
Roy McMillan,57,373
Lyle Overbay,57,374
Spike Owen,57,375
Adolfo Phillips,57,376
Scott Rolen,57,377
Christian Yelich,57,378
Ryan Braun,56,379
Jordy Mercer,56,380
Miguel Montero,56,381
Wally Moon,56,382
Keith Moreland,56,383
Daniel Murphy,56,384
Jose Reyes,56,385
David Segui,56,386
Mike Tyson,56,387
Joe Adcock,55,388
Tony Clark,55,389
Nate Colbert,55,390
Willie Crawford,55,391
Brian Downing,55,392
Carlos González,55,393
Josh Hamilton,55,394
Ed Herrmann,55,395
Brent Mayne,55,396
Hal Morris,55,397
Pablo Sandoval,55,398
Frank Thomas,55,399
Andy Van Slyke,55,400
Edwin Encarnacion,54,401
Nomar Garciaparra,54,402
Jim Gentile,54,403
Deron Johnson,54,404
Mike Lum,54,405
Mike Matheny,54,406
Paul Sorrento,54,407
Jose Valentin,54,408
Greg Vaughn,54,409
Wes Westrum,54,410
George Bell,53,411
Pat Burrell,53,412
Rich Gedman,53,413
Stan Hack,53,414
Eric Hosmer,53,415
Glenn Hubbard,53,416
Cliff Johnson,53,417
J.C. Martin,53,418
Orlando Merced,53,419
Amos Otis,53,420
Bob Skinner,53,421
Bobby Wine,53,422
Gene Woodling,53,423
