Name,Batting Average,Raw,Rank
Andrew Benintendi,0.268,0.26831,926
Eddie Stanky,0.268,0.26831,927
Johnny Logan,0.268,0.26831,928
Hughie Critz,0.268,0.2683,929
Matt Williams,0.268,0.26829,930
Jimmy Slagle,0.268,0.26821,931
Willie Crawford,0.268,0.26812,932
Mickey Morandini,0.268,0.2681,933
Joe Gordon,0.268,0.26809,934
Dode Paskert,0.268,0.26807,935
George Scott,0.268,0.26799,936
Ken Landreaux,0.268,0.26798,937
Billy Shindle,0.268,0.26793,938
Bobby Wallace,0.268,0.26793,939
Tito Fuentes,0.268,0.26788,940
Delino DeShields,0.268,0.26787,941
Gabe Kapler,0.268,0.26785,942
Kirk Gibson,0.268,0.26785,943
Bobby Bonds,0.268,0.26778,944
George Wood,0.268,0.26768,945
Eric Chavez,0.268,0.26767,946
Eric Karros,0.268,0.26766,947
Snuffy Stirnweiss,0.268,0.26766,948
Eddie Robinson,0.268,0.26763,949
Bill Nicholson,0.268,0.26758,950
Tom Goodwin,0.268,0.26755,951
Ruben Sierra,0.268,0.26753,952
Aaron Ward,0.268,0.26752,953
Jerry Lumpe,0.268,0.26751,954
J.T. Snow,0.268,0.26751,955
Mike Schmidt,0.267,0.26748,956
Johnny Bench,0.267,0.26743,957
Brooks Robinson,0.267,0.26732,958
Shad Barry,0.267,0.26731,959
Harry Steinfeldt,0.267,0.2673,960
Brian Downing,0.267,0.26729,961
Matt Lawton,0.267,0.26727,962
Jim Northrup,0.267,0.26726,963
Neifi Perez,0.267,0.26721,964
Dan Driessen,0.267,0.2672,965
César Hernández,0.267,0.26718,966
Jayson Werth,0.267,0.26714,967
Von Hayes,0.267,0.2671,968
Neil Walker,0.267,0.26707,969
Billy Nash,0.267,0.26706,970
Billy Rogell,0.267,0.26704,971
Wes Parker,0.267,0.26702,972
Reggie Sanders,0.267,0.26694,973
Lee May,0.267,0.26692,974
Bill Virdon,0.267,0.26689,975
Jhonny Peralta,0.267,0.26686,976
Robin Ventura,0.267,0.26685,977
Jim Russell,0.267,0.26676,978
Blondie Purcell,0.267,0.26671,979
Jack Clark,0.267,0.26669,980
Dave Concepcion,0.267,0.26665,981
Jay Johnstone,0.267,0.26664,982
Roy Sievers,0.267,0.26664,983
Mariano Duncan,0.267,0.26662,984
Lenny Green,0.267,0.26658,985
Lou Bierbauer,0.267,0.26656,986
Dale Long,0.267,0.26656,987
Joe Girardi,0.267,0.26654,988
Sam Mele,0.267,0.26651,989
Hank Sauer,0.266,0.26647,990
Sam Chapman,0.266,0.26644,991
Jason Bay,0.266,0.26637,992
Ben Zobrist,0.266,0.26633,993
Ron Fairly,0.266,0.26629,994
Ricky Gutierrez,0.266,0.26624,995
Bill Doran,0.266,0.26622,996
Tony Kubek,0.266,0.26614,997
Nemo Leibold,0.266,0.26614,998
Sam Wise,0.266,0.26608,999
Bobby Grich,0.266,0.26604,1000
