Name,Sacrifice Flies,Rank
Thurman Munson,58,
Lance Parrish,58,
A.J. Pierzynski,58,
Kirby Puckett,58,
Mike Trout,58,
Sal Bando,57,282
Rube Bressler,57,
Asdrubal Cabrera,57,
Tim Foli,57,
Ron Gant,57,
Howard Johnson,57,
Brian Jordan,57,
Minnie Minoso,57,
Tony Oliva,57,
Rico Petrocelli,57,
Anthony Rendon,57,
Juan Uribe,57,
José Abreu,56,294
Felipe Alou,56,
Chris Chambliss,56,
Kirk Gibson,56,
Paul Goldschmidt,56,
Chuck Knoblauch,56,
Jerry Morales,56,
Larry Parrish,56,
José Ramírez,56,
Johnny Ray,56,
Edgardo Alfonzo,55,304
Norm Cash,55,
Eric Chavez,55,
Alvin Davis,55,
Ken Griffey,55,
Josh Hamilton,55,
Ryan Howard,55,
Adam Jones,55,
Ryan Klesko,55,
Derrek Lee,55,
Frank Malzone,55,
Roy Sievers,55,
Randy Winn,55,
Lance Berkman,54,317
Mike Bordick,54,
Jay Buhner,54,
Pat Burrell,54,
Matt Carpenter,54,
Rico Carty,54,
Jeff Francoeur,54,
David Justice,54,
Chet Lemon,54,
Roy Smalley,54,
Alfonso Soriano,54,
Jason Thompson,54,
Greg Vaughn,54,
Dick Allen,53,330
Gus Bell,53,
Mookie Betts,53,
Clete Boyer,53,
Al Cowens,53,
Jim Fregosi,53,
Shawn Green,53,
Tom Herr,53,
Omar Infante,53,
Ray Lankford,53,
John Mayberry,53,
Don Money,53,
Stan Musial,53,
Salvador Perez,53,
Buster Posey,53,
Johnny Roseboro,53,
Darryl Strawberry,53,
Gorman Thomas,53,
Tony Armas,52,348
Bob Bailey,52,
Jim Gantner,52,
Dick Groat,52,
Bobby Higginson,52,
Elston Howard,52,
Gregg Jefferies,52,
Jackie Jensen,52,
Harvey Kuenn,52,
Mark McLemore,52,
Mike Stanley,52,
Nick Swisher,52,
Jason Bay,51,360
Paul Blair,51,
Bruce Bochte,51,
Brett Butler,51,
Coco Crisp,51,
Darrin Fletcher,51,
Jonny Gomes,51,
Alfredo Griffin,51,
Mel Hall,51,
Aaron Hill,51,
Kevin Millar,51,
Dean Palmer,51,
Placido Polanco,51,
Martin Prado,51,
Doug Rader,51,
Joe Rudi,51,
Bill Russell,51,
Pablo Sandoval,51,
Claudell Washington,51,
Jose Altuve,50,379
Brady Anderson,50,
David Bell,50,
Marlon Byrd,50,
Nick Castellanos,50,
Eric Davis,50,
Bobby Grich,50,
Charlie Hayes,50,
Von Hayes,50,
Gil Hodges,50,
Bob Horner,50,
Dave Magadan,50,
Mike Moustakas,50,
Jimmy Rollins,50,
Joe Torre,50,
Jayson Werth,50,
Chad Curtis,49,395
Bucky Dent,49,
Shawon Dunston,49,
Curtis Granderson,49,
Ramon Hernandez,49,
Melvin Mora,49,
Ken Reitz,49,
Brian Roberts,49,
Bill Robinson,49,
Manny Trillo,49,
Jose Valentin,49,
Leo Cardenas,48,406
Carl Crawford,48,
Cliff Floyd,48,
Nellie Fox,48,
Bill Freehan,48,
Bernard Gilkey,48,
Steve Kemp,48,
Adam Kennedy,48,
Jason Kipnis,48,
Davey Lopes,48,
Bill Mueller,48,
Daniel Murphy,48,
Jim Piersall,48,
Vic Power,48,
Norm Siebern,48,
Ichiro Suzuki,48,
Joey Votto,48,
Rich Aurilia,47,423
Tony Batista,47,
Casey Blake,47,
Michael Brantley,47,
Starlin Castro,47,
Donn Clendenon,47,
Brandon Inge,47,
DJ LeMahieu,47,
Mickey Mantle,47,
Terry Moore,47,
Jorge Posada,47,
Mickey Tettleton,47,
Devon White,47,
Kevin Young,47,
Derek Bell,46,437
Lou Brock,46,
Jay Bruce,46,
Rick Burleson,46,
Josh Donaldson,46,
Cecil Fielder,46,
Jose Guillen,46,
Yuli Gurriel,46,
Sixto Lezcano,46,
Jed Lowrie,46,
Hideki Matsui,46,
Willie McGee,46,
Neifi Perez,46,
Josh Reddick,46,
Lonnie Smith,46,
Terry Steinbach,46,
Garry Templeton,46,
Todd Walker,46,
Luis Alicea,45,455
Mark Belanger,45,
Carlos Correa,45,
Troy Glaus,45,
Matt Holliday,45,
Mark Kotsay,45,
Ken Landreaux,45,
Javy Lopez,45,
Whit Merrifield,45,
Lloyd Moseby,45,
Dwayne Murphy,45,
Trot Nixon,45,
Mike Piazza,45,
Mark Reynolds,45,
Anthony Rizzo,45,
David Segui,45,
Bill Skowron,45,
Mo Vaughn,45,
Bill White,45,
Yogi Berra,44,474
Ryan Braun,44,
J.D. Drew,44,
Stephen Drew,44,
Andre Ethier,44,
Rusty Greer,44,
Carlos Guillen,44,
Paul Lo Duca,44,
Hector Lopez,44,
Manny Sanguillen,44,
Will Smith,44,
Chris Speier,44,
Danny Tartabull,44,
Jose Vidro,44,
Neil Walker,44,
Eric Young,44,
Larry Bowa,43,490
Jeromy Burnitz,43,
Johnny Callison,43,
Rick Cerone,43,
Damion Easley,43,
Johnny Edwards,43,
Darin Erstad,43,
Wilmer Flores,43,
Tito Fuentes,43,
Yan Gomes,43,
Alex Gonzalez,43,
Alex Gordon,43,
Didi Gregorius,43,
Brian Harper,43,
Richard Hidalgo,43,
Frank Howard,43,
Davey Johnson,43,
Matt Joyce,43,
John Kruk,43,
Mike Lieberthal,43,
Rick Manning,43,
Roger Maris,43,
Bill Melton,43,
Freddie Patek,43,
Reggie Sanders,43,
Al Smith,43,
Troy Tulowitzki,43,
Del Unser,43,
Jason Varitek,43,
Vic Wertz,43,
Glenn Wilson,43,
Kevin Youkilis,43,
Delmon Young,43,
Billy Butler,42,523
Miguel Cairo,42,
Del Crandall,42,
Rick Dempsey,42,
Delino DeShields,42,
Jim Eisenreich,42,
Eduardo Escobar,42,
Carl Everett,42,
Brett Gardner,42,
Mark Grudzielanek,42,
Tommy Helms,42,
Larry Hisle,42,
Orlando Hudson,42,
Brook Jacoby,42,
Kevin Mitchell,42,
Ken Oberkfell,42,
Carlos Pena,42,
Alexei Ramirez,42,
Juan Samuel,42,
Kyle Seager,42,
Jim Spencer,42,
Dan Uggla,42,
John Valentin,42,
Walt Weiss,42,
Rondell White,42,
Alan Ashby,41,548
Cody Bellinger,41,
Andrew Benintendi,41,
Jeff Blauser,41,
Alex Bregman,41,
Scott Brosius,41,
Darren Daulton,41,
Juan Encarnacion,41,
Tito Francona,41,
Carlos González,41,
Mike Greenwell,41,
Ron Hansen,41,
Dave Henderson,41,
Cleon Jones,41,
Roberto Kelly,41,
Candy Maldonado,41,
Jerry Mumphrey,41,
Frank O'Rourke,41,
Kevin Seitzer,41,
Scott Spiezio,41,
B.J. Upton,41,
Matt Wieters,41,
Richie Zisk,41,
Ed Brinkman,40,571
Kole Calhoun,40,
Shin-Soo Choo,40,
Tony Clark,40,
Adam Dunn,40,
Mike Easler,40,
Chone Figgins,40,
Tony Gonzalez,40,
Eric Hosmer,40,
Don Kessinger,40,
Jonathan Lucroy,40,
Julio Lugo,40,
Wes Parker,40,
Gary Redus,40,
Matt Stairs,40,
Charlie Blackmon,39,586
Geoff Blum,39,
Tom Brookens,39,
Smoky Burgess,39,
Jorge Cantu,39,
Sean Casey,39,
Glenn Davis,39,
Jody Davis,39,
Ian Desmond,39,
David Eckstein,39,
Mark Ellis,39,
Pedro Feliz,39,
Greg Gross,39,
Wes Helms,39,
Glenn Hubbard,39,
Terry Kennedy,39,
Ed Kirkpatrick,39,
Adam Lind,39,
Dale Long,39,
Mike Macfarlane,39,
Carlos May,39,
Bake McBride,39,
Roy McMillan,39,
Mitch Moreland,39,
Hal Morris,39,
Jim Morrison,39,
Tom Paciorek,39,
Gerardo Parra,39,
Hunter Pence,39,
Giancarlo Stanton,39,
Tony Taylor,39,
Gene Tenace,39,
Bobby Tolan,39,
Bill Virdon,39,
Dan Wilson,39,
Jesús Aguilar,38,621
Josh Bell,38,
Frank Bolling,38,
Sid Bream,38,
Enos Cabell,38,
José Cruz,38,
Jim Davenport,38,
Chris Davis,38,
Bill Doran,38,
Del Ennis,38,
Dan Ford,38,
Todd Frazier,38,
Greg Gagne,38,
J.J. Hardy,38,
Ron Hassey,38,
Billy Hatcher,38,
Larry Herndon,38,
Pete Incaviglia,38,
Stan Javier,38,
Jim Lemon,38,
James Loney,38,
Brent Mayne,38,
Ken McMullen,38,
Jose Offerman,38,
Jose Pagan,38,
Tony Pena,38,
Jose Reyes,38,
Marcus Semien,38,
Ted Sizemore,38,
Don Slaught,38,
Shannon Stewart,38,
Jim Sundberg,38,
Jose Vizcaino,38,
Jack Wilson,38,
Brad Ausmus,37,655
Erick Aybar,37,
Ed Bailey,37,
Ronnie Belliard,37,
Joey Cora,37,
Khalil Greene,37,
Tom Haller,37,
Jim Ray Hart,37,
Geoff Jenkins,37,
Willie Jones,37,
Howie Kendrick,37,
Ketel Marte,37,
Dave Martinez,37,
Don Mincher,37,
Raul Mondesi,37,
Gerald Perry,37,
Craig Reynolds,37,
Buck Rodgers,37,
Eddie Rosario,37,
Freddy Sanchez,37,
Steve Sax,37,
Mike Scioscia,37,
Ed Sprague,37,
Dick Stuart,37,
Pat Tabler,37,
Ernie Whitt,37,
