Name,Batting Average,Rank
Andrew McCutchen,.273 (.27307),
Phil Rizzuto,.273 (.27304),772
Jose Offerman,.273 (.27302),773
Chet Lemon,.273 (.27301),774
Ron Hunt,.273 (.27297),775
Todd Hollandsworth,.273 (.27296),776
Ronnie Belliard,.273 (.27294),777
"Sandy Alomar, Jr.",.273 (.27285),778
Scott Hatteberg,.273 (.27283),779
Aaron Rowand,.273 (.27275),780
Travis Hafner,.273 (.27266),781
Peanuts Lowrey,.273 (.27264),782
Bill Bruton,.273 (.27262),783
Rick Burleson,.273 (.27262),
Austin Jackson,.273 (.27262),
Tony Womack,.273 (.27262),
Danny Tartabull,.273 (.27260),787
Larry Hisle,.273 (.27253),788
Roger Cedeno,.273 (.27253),
AJ Pollock,.273 (.27251),790
Adam Lind,.272 (.27245),791
Tito Francona,.272 (.27241),792
Jamey Carroll,.272 (.27241),
John Ward,.272 (.27238),794
Rance Mulliniks,.272 (.27235),795
Jim Piersall,.272 (.27233),796
Kris Bryant,.272 (.27226),797
Raul Ibanez,.272 (.27225),798
Al Smith,.272 (.27217),799
Bobby Higginson,.272 (.27210),800
Bill Dahlen,.272 (.27206),801
Dave Collins,.272 (.27206),
Marquis Grissom,.272 (.27202),803
Buck Weaver,.272 (.27199),804
Ken Caminiti,.272 (.27195),805
Bill Sweeney,.272 (.27194),806
Harlond Clift,.272 (.27190),807
Dwight Evans,.272 (.27190),
Ossie Bluege,.272 (.27189),809
Adam Kennedy,.272 (.27188),810
Bill Hallman,.272 (.27179),811
Omar Vizquel,.272 (.27177),812
Orlando Cabrera,.272 (.27177),
Marcell Ozuna,.272 (.27170),814
Ray Lankford,.272 (.27162),815
Norm Siebern,.272 (.27159),816
Leon Wagner,.272 (.27158),817
Rey Sanchez,.272 (.27155),818
Ray Knight,.271 (.27148),819
Tim McCarver,.271 (.27148),
Garry Templeton,.271 (.27147),821
Norm Cash,.271 (.27144),822
Doug Mientkiewicz,.271 (.27144),
Sixto Lezcano,.271 (.27141),824
Johnny Kling,.271 (.27140),825
Duane Kuiper,.271 (.27138),826
Bid McPhee,.271 (.27138),
Myril Hoag,.271 (.27137),828
Joe Morgan,.271 (.27132),829
Denny Walling,.271 (.27131),830
Billy Werber,.271 (.27130),831
Merv Rettenmund,.271 (.27123),832
Eddie Mathews,.271 (.27117),833
Elbie Fletcher,.271 (.27116),834
Carl Everett,.271 (.27116),
Steve Finley,.271 (.27115),836
Roy White,.271 (.27113),837
Cristian Guzman,.271 (.27109),838
Tom Herr,.271 (.27108),839
Heinie Peitz,.271 (.27105),840
Russ Snyder,.271 (.27100),841
Johnny Wyrostek,.271 (.27099),842
Steve Braun,.271 (.27096),843
Erick Aybar,.271 (.27092),844
Bill Bradley,.271 (.27090),845
Charlie Hemphill,.271 (.27087),846
Mike Lansing,.271 (.27084),847
J.T. Realmuto,.271 (.27079),848
Kid Elberfeld,.271 (.27077),849
Milton Bradley,.271 (.27074),850
Tommy Dowd,.271 (.27073),851
Omar Infante,.271 (.27073),
Don Kolloway,.271 (.27072),853
Tino Martinez,.271 (.27071),854
Terry Steinbach,.271 (.27063),855
Max Bishop,.271 (.27058),856
Corey Hart,.271 (.27058),
Burt Shotton,.271 (.27058),
Bill Spiers,.271 (.27054),859
Glenallen Hill,.271 (.27052),860
Bobby Thomson,.270 (.27042),861
Davy Jones,.270 (.27041),862
Gene Moore,.270 (.27039),863
Rube Oldring,.270 (.27036),864
Johnny Evers,.270 (.27033),865
Alfonso Soriano,.270 (.27032),866
Frank Schulte,.270 (.27032),
Jody Reed,.270 (.27031),868
Kevin Bass,.270 (.27030),869
Josh Harrison,.270 (.27027),870
Kitty Bransfield,.270 (.27025),871
Mike Marshall,.270 (.27025),
Earl Battey,.270 (.27022),873
Jose Guillen,.270 (.27021),874
Alexei Ramirez,.270 (.27016),875
Jose Vizcaino,.270 (.27012),876
Vernon Wells,.270 (.27010),877
Phil Nevin,.270 (.27006),878
Dave Philley,.270 (.27001),879
Birdie Tebbetts,.270 (.26998),880
Al Cowens,.270 (.26997),881
Red Murray,.270 (.26996),882
Dan Gladden,.270 (.26994),883
Brook Jacoby,.270 (.26991),884
Walt Dropo,.270 (.26988),885
Hank Gowdy,.270 (.26984),886
Juan Encarnacion,.270 (.26980),887
Terry Pendleton,.270 (.26977),888
Dan Ford,.270 (.26976),889
Willie McCovey,.270 (.26973),890
Endy Chavez,.270 (.26961),891
Glenn Myatt,.270 (.26960),892
Otis Nixon,.270 (.26960),
Mike Stanley,.270 (.26954),894
Jim Tabor,.270 (.26954),
Chief Wilson,.269 (.26946),896
Shawon Dunston,.269 (.26944),897
Possum Whitted,.269 (.26942),898
Hector Lopez,.269 (.26938),899
Matty McIntyre,.269 (.26933),900
Cookie Lavagetto,.269 (.26931),901
Ian Kinsler,.269 (.26930),902
Pee Wee Reese,.269 (.26930),
Tommy Leach,.269 (.26925),904
Chief Zimmer,.269 (.26925),
Bobby Adams,.269 (.26922),906
Lyn Lary,.269 (.26917),907
Hubie Brooks,.269 (.26917),
Willie Bloomquist,.269 (.26911),909
Rick Miller,.269 (.26910),910
Carlton Fisk,.269 (.26907),911
Stan Javier,.269 (.26907),
Elvis Andrus,.269 (.26904),913
Deivi Cruz,.269 (.26891),914
Solly Hofman,.269 (.26891),
Lenny Harris,.269 (.26886),916
Julio Lugo,.269 (.26881),917
Eric Davis,.269 (.26875),918
Lonny Frey,.269 (.26862),919
Art Devlin,.269 (.26859),920
Darrin Fletcher,.269 (.26858),921
Tommy Helms,.269 (.26856),922
Rich Rollins,.269 (.26854),923
Mark Teixeira,.268 (.26845),924
Mark DeRosa,.268 (.26837),925
Andrew Benintendi,.268 (.26831),926
Eddie Stanky,.268 (.26831),
Johnny Logan,.268 (.26831),
Hughie Critz,.268 (.26830),929
Matt Williams,.268 (.26829),930
Jimmy Slagle,.268 (.26821),931
Willie Crawford,.268 (.26812),932
Mickey Morandini,.268 (.26810),933
Joe Gordon,.268 (.26809),934
Dode Paskert,.268 (.26807),935
George Scott,.268 (.26799),936
Ken Landreaux,.268 (.26798),937
Billy Shindle,.268 (.26793),938
Bobby Wallace,.268 (.26793),
Tito Fuentes,.268 (.26788),940
Delino DeShields,.268 (.26787),941
Gabe Kapler,.268 (.26785),942
Kirk Gibson,.268 (.26785),
Bobby Bonds,.268 (.26778),944
George Wood,.268 (.26768),945
Eric Chavez,.268 (.26767),946
Eric Karros,.268 (.26766),947
Snuffy Stirnweiss,.268 (.26766),
Eddie Robinson,.268 (.26763),949
Bill Nicholson,.268 (.26758),950
Tom Goodwin,.268 (.26755),951
Ruben Sierra,.268 (.26753),952
Aaron Ward,.268 (.26752),953
Jerry Lumpe,.268 (.26751),954
J.T. Snow,.268 (.26751),
Mike Schmidt,.267 (.26748),956
Johnny Bench,.267 (.26743),957
Brooks Robinson,.267 (.26732),958
Shad Barry,.267 (.26731),959
Harry Steinfeldt,.267 (.26730),960
Brian Downing,.267 (.26729),961
Matt Lawton,.267 (.26727),962
Jim Northrup,.267 (.26726),963
Neifi Perez,.267 (.26721),964
Dan Driessen,.267 (.26720),965
César Hernández,.267 (.26718),966
Jayson Werth,.267 (.26714),967
Von Hayes,.267 (.26710),968
Neil Walker,.267 (.26707),969
Billy Nash,.267 (.26706),970
Billy Rogell,.267 (.26704),971
Wes Parker,.267 (.26702),972
Reggie Sanders,.267 (.26694),973
Lee May,.267 (.26692),974
Bill Virdon,.267 (.26689),975
Jhonny Peralta,.267 (.26686),976
Robin Ventura,.267 (.26685),977
Jim Russell,.267 (.26676),978
Blondie Purcell,.267 (.26671),979
Jack Clark,.267 (.26669),980
Dave Concepcion,.267 (.26665),981
Jay Johnstone,.267 (.26664),982
Roy Sievers,.267 (.26664),
Mariano Duncan,.267 (.26662),984
Lenny Green,.267 (.26658),985
Lou Bierbauer,.267 (.26656),986
Dale Long,.267 (.26656),
Joe Girardi,.267 (.26654),988
Sam Mele,.267 (.26651),989
Hank Sauer,.266 (.26647),990
Sam Chapman,.266 (.26644),991
Jason Bay,.266 (.26637),992
Ben Zobrist,.266 (.26633),993
Ron Fairly,.266 (.26629),994
Ricky Gutierrez,.266 (.26624),995
Bill Doran,.266 (.26622),996
Tony Kubek,.266 (.26614),997
Nemo Leibold,.266 (.26614),
Sam Wise,.266 (.26608),999
Bobby Grich,.266 (.26604),1000
