Name,Batting Average,Rank
Frank Demaree,.299 (.29947),177
Carl Furillo,.299 (.29947),
Dustin Pedroia,.299 (.29929),179
Bake McBride,.299 (.29925),180
Rico Carty,.299 (.29914),181
Buck Ewing,.299 (.29908),182
Jack Doyle,.299 (.29906),183
Matt Holliday,.299 (.29904),184
Kenny Lofton,.299 (.29901),185
Frank McCormick,.299 (.29897),186
Sam West,.299 (.29896),187
Harry Rice,.299 (.29893),188
Dante Bichette,.299 (.29870),189
Minnie Minoso,.298 (.29837),190
Cecil Cooper,.298 (.29827),191
Jim Rice,.298 (.29812),192
Mickey Mantle,.298 (.29807),193
Jose Vidro,.298 (.29806),194
Barry Bonds,.298 (.29806),
Pepper Martin,.298 (.29803),196
Julio Franco,.298 (.29803),
Dom DiMaggio,.298 (.29787),198
Ted Kluszewski,.298 (.29786),199
Joe Judge,.298 (.29780),200
Pete Fox,.298 (.29773),201
Jo-Jo Moore,.298 (.29759),202
Michael Brantley,.298 (.29752),203
Joe Torre,.297 (.29743),204
Billy Southworth,.297 (.29732),205
Gabby Hartnett,.297 (.29726),206
Al Kaline,.297 (.29725),207
Buddy Lewis,.297 (.29709),208
Placido Polanco,.297 (.29692),209
Bernie Williams,.297 (.29686),210
Mike Sweeney,.297 (.29684),211
Jeff Bagwell,.297 (.29678),212
Mike Trout,.297 (.29670),213
High Pockets Kelly,.297 (.29668),214
Orlando Cepeda,.297 (.29658),215
Shannon Stewart,.297 (.29656),216
Ivan Rodriguez,.296 (.29650),217
Ken Griffey,.296 (.29644),218
Ryan Braun,.296 (.29644),
Mike Griffin,.296 (.29642),220
Roy Johnson,.296 (.29640),221
Bob Johnson,.296 (.29639),222
Manny Sanguillen,.296 (.29633),223
Albert Pujols,.296 (.29630),224
David Wright,.296 (.29627),225
Frank Chance,.296 (.29625),226
Trea Turner,.296 (.29625),
Ripper Collins,.296 (.29625),
Johnny Hopp,.296 (.29624),229
Daniel Murphy,.296 (.29616),230
Jeff Cirillo,.296 (.29615),231
Keith Hernandez,.296 (.29607),232
Don Mueller,.296 (.29606),233
Doc Cramer,.296 (.29595),234
Duke Snider,.295 (.29549),235
Brian Harper,.295 (.29546),236
Paul Hines,.295 (.29541),237
George Gore,.295 (.29539),238
Charlie Hickman,.295 (.29533),239
Hardy Richardson,.295 (.29531),240
Juan Gonzalez,.295 (.29530),241
Heinie Zimmerman,.295 (.29525),242
Bob Watson,.295 (.29523),243
Lou Boudreau,.295 (.29507),244
Pinky Whitney,.295 (.29506),245
Victor Martinez,.295 (.29505),246
Kevin Seitzer,.295 (.29500),247
John Olerud,.295 (.29492),248
Bob Nieman,.295 (.29490),249
Mickey Rivers,.295 (.29490),
Albert Belle,.295 (.29489),251
Barry Larkin,.295 (.29482),252
Alex Rodriguez,.295 (.29481),253
Smoky Burgess,.295 (.29479),254
Mark Loretta,.295 (.29474),255
Willie McGee,.295 (.29468),256
Juan Pierre,.295 (.29462),257
George Davis,.295 (.29454),258
Jimmy Johnston,.294 (.29448),259
Joey Votto,.294 (.29440),260
Bip Roberts,.294 (.29419),261
Jimmy Collins,.294 (.29419),
Steve Garvey,.294 (.29417),263
Frank Robinson,.294 (.29412),264
Gee Walker,.294 (.29405),265
Joe Stripp,.294 (.29399),266
Duff Cooley,.294 (.29381),267
Aaron Judge,.294 (.29377),268
Fred Tenney,.294 (.29375),269
Tommy Davis,.294 (.29365),270
Tim Raines,.294 (.29362),271
Howie Kendrick,.294 (.29361),272
Glenn Wright,.294 (.29352),273
Buck Freeman,.293 (.29349),274
Lance Berkman,.293 (.29348),275
Mike Easler,.293 (.29317),276
Jeff Heath,.293 (.29309),277
Mo Vaughn,.293 (.29284),278
Kip Selbach,.293 (.29279),279
Charlie Blackmon,.293 (.29278),280
Luis Polonia,.293 (.29277),281
Curt Flood,.293 (.29275),282
Phil Cavarretta,.293 (.29272),283
Garret Anderson,.293 (.29271),284
Lou Brock,.293 (.29259),285
Debs Garms,.293 (.29251),286
Pinky Higgins,.292 (.29250),287
Del Pratt,.292 (.29241),288
Tony Lazzeri,.292 (.29220),289
Cy Williams,.292 (.29218),290
Mule Haas,.292 (.29212),291
Heinie Groh,.292 (.29206),292
Mookie Betts,.292 (.29205),293
Dick Allen,.292 (.29185),294
Gary Sheffield,.292 (.29174),295
Dmitri Young,.292 (.29168),296
Lave Cross,.292 (.29156),297
Thurman Munson,.292 (.29154),298
Joe Cunningham,.291 (.29149),299
Sherry Magee,.291 (.29149),
Tommy McCarthy,.291 (.29146),301
Fred Schulte,.291 (.29138),302
Ellis Burks,.291 (.29134),303
David Segui,.291 (.29131),304
Bobby Abreu,.291 (.29127),305
Darryl Hamilton,.291 (.29124),306
Frank Catalanotto,.291 (.29106),307
Carlos Baerga,.291 (.29105),308
Bill Mueller,.291 (.29103),309
Taylor Douthit,.291 (.29101),310
Hal Chase,.291 (.29095),311
Lance Johnson,.291 (.29095),
Pete Runnels,.291 (.29091),313
Wally Moses,.291 (.29065),314
Brian Giles,.291 (.29064),315
Lou Piniella,.291 (.29061),316
Travis Jackson,.291 (.29050),317
Frank Baumholtz,.290 (.29048),318
Tommy Tucker,.290 (.29048),
Ira Flagstead,.290 (.29041),320
Charlie Grimm,.290 (.29039),321
Jim Eisenreich,.290 (.29036),322
Brett Butler,.290 (.29034),323
John Anderson,.290 (.29033),324
Roy Thomas,.290 (.29022),325
Bruce Campbell,.290 (.29021),326
Luis Castillo,.290 (.29017),327
