Name,Stolen Bases,Rank
Billy Hamilton,326,139
Jim Fogarty,325,140
Johnny Evers,324,141
Miller Huggins,324,
Ed McKean,323,143
Gary Redus,322,144
Jose Altuve,321,145
Dave Concepcion,321,
Red Murray,321,
Darby O'Brien,321,
Luis Polonia,321,
Steve Finley,320,150
Buck Herzog,320,
Tony Gwynn,319,152
Larry Bowa,318,153
Billy Shindle,318,
Jose Cruz,317,155
Hans Lobert,316,156
Brady Anderson,315,157
Jake Beckley,315,
Andre Dawson,314,159
Rafael Furcal,314,
Carlos Beltran,312,161
Claudell Washington,312,
Coco Crisp,309,163
Scott Podsednik,309,
Vada Pinson,305,165
Reggie Sanders,304,166
Bobby Lowe,302,167
Lave Cross,301,168
Frank Taveras,300,169
B.J. Upton,300,
Larry Doyle,298,171
Trea Turner,298,
Mike Cameron,297,173
George Pinkney,296,174
Edgar Renteria,294,175
Dode Paskert,293,176
Burt Shotton,293,
Jake Stenzel,292,178
Eddie Burke,291,179
Rabbit Maranville,291,
Steve Brodie,289,181
Alfonso Soriano,289,
Ben Chapman,287,183
Don Baylor,285,184
Harry Davis,285,
Art Devlin,285,
Lenny Dykstra,285,
Joe Quinn,285,
Brian Roberts,285,
Fred Tenney,285,
Kirk Gibson,284,191
Dan McGann,282,192
Julio Franco,281,193
Hanley Ramirez,281,
Dave Foutz,280,195
Lloyd Moseby,280,
Cub Stricker,278,197
Brett Gardner,274,198
Ray Durham,273,199
Jimmy Slagle,273,
Mark McLemore,272,201
Fred Merkle,272,
Yank Robinson,272,
George Cutshaw,271,204
Willie Randolph,271,
Robin Yount,271,
Cupid Childs,269,207
Carlos Gómez,268,208
Edd Roush,268,
Miguel Dilone,267,210
Chippy McGarr,267,
Mickey Rivers,267,
Jarrod Dyson,266,213
Billy Nash,265,214
Bill Joyce,264,215
Bip Roberts,264,
Oyster Burns,263,217
José Ramírez,263,
Wid Conroy,262,219
Jimmy McAleer,262,
Patsy Dougherty,261,221
Shorty Fuller,260,222
Brian Hunter,260,
Doggie Miller,260,
Pete Browning,258,225
Ray Lankford,258,
Dan Brouthers,256,227
Terry Turner,256,
Ed Konetchy,255,229
Jim McTamany,255,
Ginger Beaumont,254,231
Al Bumbry,254,
Von Hayes,253,233
Frank Isbell,253,
Alex Rios,253,
Gary Sheffield,253,
Jake Daubert,251,237
Pat Kelly,250,238
Harold Reynolds,250,
Bug Holliday,248,240
Garry Maddox,248,
George Moriarty,248,
Cap Anson,247,243
Topsy Hartsel,247,
Darren Lewis,247,
Del Pratt,247,
Gene Richards,247,
Tony Fernandez,246,248
Stan Javier,246,
Billy Sunday,246,
John Reilly,245,251
Andy Van Slyke,245,
Jimmy Austin,244,253
Roger Connor,244,
Roy Thomas,244,
Ron Gant,243,256
Ian Kinsler,243,
Dave Roberts,243,
Garry Templeton,242,259
Alan Wiggins,242,
Hank Aaron,240,261
Emmett Seery,240,
Jonathan Villar,239,263
Enos Cabell,238,264
Toby Harrah,238,
Ducky Holmes,236,266
Alan Trammell,236,
Home Run Baker,235,268
Ed Daily,235,
Roberto Kelly,235,
Germany Smith,235,
Richie Ashburn,234,272
Benny Kauff,234,
Sammy Sosa,234,
Tony Taylor,234,
Ray Chapman,233,276
Frank Schulte,233,
Roy White,233,
Pee Wee Reese,232,279
Elmer Smith,232,
Joe Carter,231,281
Royce Clayton,231,
Howard Johnson,231,
Shane Victorino,231,
Larry Walker,230,285
Raul Mondesi,229,286
Sam Thompson,229,
Gene DeMontreville,228,288
Reggie Jackson,228,
Rudy Law,228,
Jack Smith,228,
George Tebeau,228,
Sandy Alomar,227,293
Cesar Tovar,226,294
Shano Collins,225,295
Phil Garner,225,
Danny Richardson,225,
Jimmy Wynn,225,
Duff Cooley,224,299
Carney Lansford,224,
Denny Lyons,224,
Gee Walker,223,302
Dave Winfield,223,
Rollie Zeider,223,
Dan Gladden,222,305
Cy Seymour,222,
Darryl Strawberry,221,307
Jack Crooks,220,308
Andrew McCutchen,220,
Jack O'Connor,219,310
Bob Dernier,218,311
Billy Hatcher,218,
Whit Merrifield,218,
Corey Patterson,218,
Terry Puhl,217,315
Christian Yelich,217,
Ryan Braun,216,317
Orlando Cabrera,216,
Sammy Strang,216,
Fred Snodgrass,215,320
Billy Werber,215,
Randy Winn,215,
Milt Thompson,214,323
Mike Trout,214,
Roger Cedeno,213,325
Mike Donlin,213,
Kid Elberfeld,213,
Joe Judge,213,
Roger Bresnahan,212,329
Chad Curtis,212,
Shawon Dunston,212,
Ben Revere,211,332
Jean Segura,211,
Bill Doran,209,334
Brandon Phillips,209,
Solly Hofman,208,336
Jerry Remy,208,
Bill Bruton,207,338
Charlie Hemphill,207,
Davy Jones,207,
Lou Bierbauer,206,341
Harry Lord,206,
Dusty Miller,206,
Ed Andrews,205,344
Minnie Minoso,205,
Roger Peckinpaugh,205,
Hardy Richardson,205,
Rodney Scott,205,
Zack Wheat,205,
Frank Robinson,204,350
Damaso Garcia,203,351
Jim Gilliam,203,
Sam Wise,203,
Jeff Bagwell,202,354
Joe Jackson,202,
Mike Mitchell,202,
George Brett,201,357
Germany Schaefer,201,
Harry Steinfeldt,201,
Bobby Wallace,201,
Don Buford,200,361
Jose Canseco,200,
Max Flack,200,
Ken Griffey,200,
Bill Hallman,200,
Ronald Acuña Jr.,198,366
Francisco Lindor,198,
Julio Lugo,198,
Pete Rose,198,
Cliff Carroll,197,370
Lee Mazzilli,197,
Rube Oldring,197,
Blondie Purcell,197,
Jackie Robinson,197,
Gregg Jefferies,196,375
Brian McRae,196,
Wilbert Robinson,196,
Shannon Stewart,196,
Bump Wills,196,
David Wright,196,
Eddie Foster,195,381
Torii Hunter,195,
Willy Taveras,195,
Bobby Veach,195,
Mookie Betts,194,385
Jimmy Collins,194,
Ivan DeJesus,194,
Bill Greenwood,194,
Fritz Maisel,194,
Ollie Pickering,194,
Danny Murphy,193,391
Bobby Tolan,193,
Danny Green,192,393
Alfredo Griffin,192,
Candy LaChance,192,
Doc Casey,191,396
Cliff Heathcote,191,
Jim O'Rourke,191,
George Browne,190,399
Lorenzo Cain,190,
Dave Fultz,189,401
Jason Kendall,189,
Braggo Roth,189,
Jerry Royster,189,
Chick Stahl,189,
Tom Herr,188,406
Johnny Bates,187,407
Cameron Maybin,187,
Dave Nelson,187,
Jimmy Callahan,186,410
Bill Everitt,186,
Emmet Heidrick,186,
Lee Magee,186,
Deion Sanders,186,
Jimmy Wolf,186,
Danny Hoffman,185,416
Lee Lacy,185,
Howie Shanks,185,
Denard Span,185,
Amos Strunk,185,
"Ken Griffey, Jr.",184,421
Matt Kemp,184,
Freddy Parent,184,
Bill Buckner,183,424
Charlie Dexter,183,
Dave Martinez,183,
Gary Matthews,183,
Bake McBride,183,
Quilvio Veras,183,
Carson Bigbee,182,430
Roy Hartzell,182,
Bill Bradley,181,432
Ellis Burks,181,
Ian Desmond,181,
Charlie Gehringer,181,
Vladimir Guerrero,181,
Heinie Groh,180,437
Charlie Irwin,180,
Luke Appling,179,439
Darin Erstad,179,
Adam Kennedy,179,
Alcides Escobar,178,442
Joe Kuhel,178,
Jake Stahl,178,
Frank White,178,
Dots Miller,177,446
Tony Phillips,177,
Ray Schalk,177,
Bobby Byrne,176,449
Johnny Mostil,176,
Angel Pagan,176,
Kitty Bransfield,175,452
Frank Fennelly,175,
Goose Goslin,175,
Heinie Zimmerman,175,
Mariano Duncan,174,456
Paul Goldschmidt,174,
Bill Madlock,174,
Wally Moses,174,
Jerry Mumphrey,174,
Mike Schmidt,174,
Jim Donnelly,173,462
Mickey Doolin,173,
Dick Hoblitzell,173,
Al Martin,173,
Ralph Garr,172,466
Stuffy McInnis,172,
Jose Offerman,172,
Bill Sweeney,172,
Buck Weaver,172,
Paul Blair,171,471
Armando Marsans,171,
Danny Moeller,171,
Derek Bell,170,474
George Gore,170,
Harry Bay,169,476
Ozzie Guillen,169,
Jimmy Johnston,169,
Oddibe McDowell,169,
Pop Smith,169,
Doug Glanville,168,481
Rick Manning,168,
Carl Yastrzemski,168,
Tommie Agee,167,484
Mark Belanger,167,
Dick Egan,167,
Billy Gilbert,167,
Bucky Harris,167,
Mike Mowrey,167,
Bill Russell,167,
Dickie Thon,167,
Emilio Bonifacio,166,492
Larry Gardner,165,493
Stan Hack,165,
Matt Lawton,165,
Tom Poorman,165,
Bones Ely,164,497
Jack McGeachy,164,
Patsy Tebeau,164,
Darryl Hamilton,163,500
Jeffrey Leonard,163,
Rebel Oakes,163,
Tom Burns,162,503
Shawn Green,162,
Lyn Lary,162,
Farmer Weaver,162,
Eric Young Jr.,162,
Mike Felder,161,508
Dale Murphy,161,
Tip O'Neill,161,
Drew Stubbs,161,
Josh DeVore,160,512
Jim Rivera,160,
Mitch Webster,160,
Bill Coughlin,159,515
Bert Daniels,159,
Art Fletcher,159,
Joe Hornung,159,
Hick Carpenter,158,519
Pete Fox,158,
Pie Traynor,158,
Shin-Soo Choo,157,522
Matty Alou,156,523
Buddy Myer,156,
Shohei Ohtani,156,
Ivy Olson,156,
Lenny Randle,156,
Erick Aybar,155,528
Phil Bradley,155,
Billy Maloney,155,
Claude Ritchey,155,
Milt Stock,155,
Gerald Young,155,
Sparky Adams,154,534
George Burns,154,
John Cangelosi,154,
Dan Driessen,154,
Dave Parker,154,
Chase Utley,154,
Ken Williams,154,
Jack Barry,153,541
Chick Gandil,153,
Curtis Granderson,153,
Eddie Grant,153,
Paul Hines,153,
Mickey Mantle,153,
Ross Youngs,153,
Dante Bichette,152,548
Bob Caruthers,152,
Andruw Jones,152,
Kevin Bass,151,551
Lu Blue,151,
Horace Clarke,151,
Jumbo Davis,151,
Jim Delahanty,151,
Dick Johnston,151,
Bill Kuehne,151,
Justin Upton,151,
Jimmy Williams,151,
Chief Zimmer,151,
Duke Farrell,150,561
Chipper Jones,150,
Perry Werden,150,
Dexter Fowler,149,564
Phil Rizzuto,149,
Charlie Blackmon,148,566
Alex Cole,148,
Cliff Floyd,148,
Jack Graney,148,
Bryce Harper,148,
Tony Lazzeri,148,
Jerry Hairston,147,572
Joe Mulvey,147,
Jack Tobin,147,
Bernie Williams,147,
Pepper Martin,146,576
Dave Bancroft,145,577
Jack Fournier,145,
Ken Landreaux,145,
Jack McCarthy,145,
Eddie Milner,145,
Spike Shannon,145,
Chuck Carr,144,583
Ed Cartwright,144,
Pokey Reese,144,
Heinie Wagner,144,
Jimmy Barrett,143,587
Jiggs Donahue,143,
Ryan Freel,143,
Jackie Jensen,143,
Ruppert Jones,143,
Otto Knabe,143,
Tommy McCraw,143,
Alexei Ramirez,143,
Grady Sizemore,143,
Lou Whitaker,143,
Ed Abbaticchio,142,597
Orlando Cepeda,142,
Chili Davis,142,
Doc Gessler,142,
Bob Meusel,142,
Eduardo Nunez,142,
Gerald Perry,142,
Ruben Sierra,142,
George Stovall,142,
Chris Young,142,
Paul O'Neill,141,607
B.J. Surhoff,141,
Shad Barry,140,609
Ossie Bluege,140,
Trevor Story,140,
Johnny Temple,140,
Derrel Thomas,140,
John Titus,140,
Bill Wambsganss,140,
Miguel Cairo,139,616
Dick Harley,139,
Doc Johnston,139,
Jim Landis,139,
Greasy Neale,139,
Everth Cabrera,138,621
Dustin Pedroia,138,
George Shoch,138,
Billy Southworth,138,
Dusty Baker,137,625
Fred Carroll,137,
Pop Corkhill,137,
Jim Gantner,137,
Al Kaline,137,
Reggie Smith,137,
Mickey Vernon,137,
Al Bridwell,136,632
Tommy Davis,136,
Jason Kipnis,136,
Jose Valentin,136,
Rogers Hornsby,135,636
Julian Javier,135,
Roy Johnson,135,
Tom Jones,135,
Will Venable,135,
Mike Davis,134,641
Nemo Leibold,134,
Kirby Puckett,134,
Marcus Semien,134,
Snuffy Stirnweiss,134,
Dick Allen,133,646
Willie Bloomquist,133,
Red Dooin,133,
Mark Grudzielanek,133,
Damian Jackson,133,
George McBride,133,
Nate McLouth,133,
Adalberto Mondesi,133,
Cedric Mullins,133,
Earl Torgeson,133,
Birdie Cree,132,656
George Grantham,132,
Kevin Kiermaier,132,
Bill McClellan,132,
Hap Myers,132,
Dick Padden,132,
Charlie Reilly,132,
George Stone,132,
U.L. Washington,132,
Rickie Weeks,132,
Jayson Werth,132,
Lenny Harris,131,667
Charlie Jamieson,131,
Bill Keister,131,
Frank Shugart,131,
Casey Stengel,131,
Bobby Witt Jr.,131,
Henry Cotto,130,673
Jerry Denny,130,
Chuck Hinton,130,
Barry McCormick,130,
Beals Becker,129,677
Eric Byrnes,129,
Enzo Hernandez,129,
Henry Larkin,129,
Les Mann,129,
Tommy Pham,129,
Tilly Walker,129,
Bill Almon,128,684
Clyde Engle,128,
Carlton Fisk,128,
Andres Galarraga,128,
Luis Gonzalez,128,
Larry Hisle,128,
Johnny Hopp,128,
Larry Lintz,128,
John Lowenstein,128,
Ward Miller,128,
Juan Encarnacion,127,694
Bud Harrelson,127,
Connie Mack,127,
Bill McKechnie,127,
Bing Miller,127,
Bobby Murcer,127,
Terry Pendleton,127,
Ivan Rodriguez,127,
Michael Taylor,127,
Sonny Jackson,126,703
Willie Kamm,126,
Howie Kendrick,126,
Leonys Martin,126,
Marty McManus,126,
Eric Owens,126,
Jack Boyle,125,709
Michael Brantley,125,
Vic Davalillo,125,
Cristian Guzman,125,
Jason Heyward,125,
Carlos Lee,125,
Wally Pipp,125,
Tony Scott,125,
Felipe Lopez,124,717
Preston Wilson,124,
Jason Bartlett,123,719
Elly De La Cruz,123,
David Eckstein,123,
Augie Galan,123,
Guy Hecker,123,
Johnny Kling,123,
Mickey Morandini,123,
Babe Ruth,123,
Tim Anderson,122,727
Gregor Blanco,122,
Carlos González,122,
AJ Pollock,122,
Heinie Reitz,122,
Alex Sanchez,122,
Adrián Beltré,121,733
Vic Saier,121,
Wally Schang,121,
Ryan Theriot,121,
Greg Vaughn,121,
Dave Cash,120,738
Al Cowens,120,
Harry Lyons,120,
Matty McIntyre,120,
Nyjer Morgan,120,
Hunter Pence,120,
Chris Sabo,120,
Dick Schofield,120,
Mallex Smith,120,
Ed Swartwood,120,
Kolten Wong,120,
Dave Altizer,119,749
Xander Bogaerts,119,
Brian Jordan,119,
Mike Lansing,119,
Doug Baird,118,753
Ender Inciarte,118,
Scott Rolen,118,
Arky Vaughan,118,
Wally Backman,117,757
Joey Cora,117,
John Hummel,117,
Deacon McGuire,117,
Albert Pujols,117,
Luis Salazar,117,
Red Smith,117,
General Stafford,117,
Charley Bassett,116,765
Nico Hoerner,116,
Pat Listach,116,
Tom McCreery,116,
Fernando Vina,116,
Possum Whitted,116,
Ben Zobrist,116,
Tommy Edman,115,772
Bernard Gilkey,115,
Mike Kreevich,115,
Jim Piersall,115,
Cy Williams,115,
Randy Arozarena,114,777
Jim Canavan,114,
Cozy Dolan,114,
Damion Easley,114,
Mike Grady,114,
Austin Jackson,114,
Ernie Johnson,114,
Heinie Manush,114,
Michael Tucker,114,
Ossie Vitt,114,
Tony Bernazard,113,787
Bill Cissell,113,
Frankie Crosetti,113,
José Cruz,113,
Alex Gordon,113,
Harry Heilmann,113,
Alex Johnson,113,
Duffy Lewis,113,
Irish Meusel,113,
Dylan Moore,113,
George Wood,113,
Rich Amaral,112,798
George Decker,112,
Bob Ganley,112,
Baldy Louden,112,
Tony Mullane,112,
Rafael Ramirez,112,
Carl Reynolds,112,
Kyle Tucker,112,
Javier Báez,111,806
Delino DeShields,111,
Eddie Murphy,111,
Al Myers,111,
Kevin Pillar,111,
Bobby Brown,110,811
Charlie Duffee,110,
Cesar Izturis,110,
Harry Lumley,110,
Eddie Murray,110,
Amed Rosario,110,
Elmer Valo,110,
Dick Bartell,109,818
Jazz Chisholm Jr.,109,
Brian Giles,109,
Hal McRae,109,
James Mouton,109,
R.J. Reynolds,109,
George Springer,109,
Vernon Wells,109,
Alan Bannister,108,826
Joe Birmingham,108,
Greg Gagne,108,
Andrés Gimenez,108,
Matt Holliday,108,
Harry Taylor,108,
Wayne Tolleson,108,
Felipe Alou,107,833
Aaron Boone,107,
Carl Everett,107,
Willie Harris,107,
Rex Hudler,107,
Manny Machado,107,
Hy Myers,107,
Wil Myers,107,
Harry Niles,107,
Fernando Tatis Jr.,107,
Moises Alou,106,843
Byron Buxton,106,
Endy Chavez,106,
Bob Dillinger,106,
Leon Durham,106,
Adonis Terry,106,
Bobby Wheelock,106,
Gerald Williams,106,
Marvin Benard,105,851
Jon Berti,105,
Don Blasingame,105,
Ken Boyer,105,
Brian Dozier,105,
Jim Eisenreich,105,
Lonny Frey,105,
Dick Howser,105,
Jorge Mateo,105,
John Wathan,105,
Herm Winningham,105,
Juan Beniquez,104,862
Wilbur Good,104,
Bobby Grich,104,
Travis Jankowski,104,
Derrek Lee,104,
Mitchell Page,104,
Nick Punto,104,
Paul Waner,104,
Matt Alexander,103,870
Craig Counsell,103,
Cecil Espy,103,
Herbie Moran,103,
Victor Robles,103,
Jordan Schafer,103,
Robby Thompson,103,
Bill White,103,
Brad Ausmus,102,878
Cozy Dolan,102,
Lou Gehrig,102,
Felix Jose,102,
Kazuo Matsui,102,
Harrison Bader,101,883
Melky Cabrera,101,
Corbin Carroll,101,
Frank LaPorte,101,
Russell Martin,101,
John Moses,101,
Dave Philley,101,
Joe Sommer,101,
CJ Abrams,100,891
Dom DiMaggio,100,
Charlie Jones,100,
Don Kessinger,100,
Dwayne Murphy,100,
Frank O'Rourke,100,
J.T. Realmuto,100,
Jimmy Bannon,99,898
José Caballero,99,
Scott Fletcher,99,
Joe Foy,99,
Charlie Hollocher,99,
Duke Snider,99,
Marty Sullivan,99,
Norichika Aoki,98,905
Cody Bellinger,98,
Daryl Boston,98,
Billy Clingman,98,
Darrell Evans,98,
Freddie Freeman,98,
Keith Hernandez,98,
Sam Jethroe,98,
Mark Kotsay,98,
Rick Monday,98,
Gregory Polanco,98,
Julio Rodríguez,98,
Billy Sample,98,
John Shelby,98,
Tim Shinnick,98,
Billy Sullivan,98,
Chief Wilson,98,
Jim Busby,97,922
Ivan Calderon,97,
Hughie Critz,97,
Alex Gonzalez,97,
Pedro Guerrero,97,
Adam Jones,97,
Rafael Palmeiro,97,
Gerardo Parra,97,
Bill Spiers,97,
Zoilo Versalles,97,
Mike Bordick,96,932
Al Burch,96,
Earle Combs,96,
Gary Gaetti,96,
Glenallen Hill,96,
Bob Johnson,96,
Manuel Margot,96,
Curt Walker,96,
Walt Weiss,96,
Jason Bay,95,941
Nomar Garciaparra,95,
Don Gutteridge,95,
Desmond Jennings,95,
John Kerins,95,
Gary Matthews,95,
Gus Williams,95,
Harry Wolter,95,
Bret Boone,94,949
Con Daily,94,
Craig Gentry,94,
Babe Herman,94,
Jeff Kent,94,
Isiah Kiner-Falefa,94,
Johnnie LeMaster,94,
Magglio Ordonez,94,
Dave Robertson,94,
Myles Straw,94,
Rondell White,94,
Charlie Abbey,93,960
Jay Faatz,93,
Chase Headley,93,
Arthur Irwin,93,
Maicer Izturis,93,
Spud Johnson,93,
DJ LeMahieu,93,
Kevin McReynolds,93,
Melvin Mora,93,
Joe Orsulak,93,
Dansby Swanson,93,
Neal Ball,92,971
Vin Campbell,92,
Sid Farrar,92,
Buck Freeman,92,
Larry Herndon,92,
Lefty Marr,92,
Johnny Rawlings,92,
Brice Turang,92,
Farmer Vaughn,92,
Jimmy Walsh,92,
Jo-Jo White,92,
Ralph Young,92,
Jay Bell,91,983
Asdrubal Cabrera,91,
Alejandro De Aza,91,
César Hernández,91,
Bobby Higginson,91,
Cleon Jones,91,
Ryan Klesko,91,
Al Newman,91,
Heinie Peitz,91,
Luis Robert Jr.,91,
Benito Santiago,91,
John Stearns,91,
Ozzie Albies,90,995
Bob Bailor,90,
Tony Boeckel,90,
Donn Clendenon,90,
Josh Harrison,90,
Shane Mack,90,1000
Mike Menosky,90,
Chris Taylor,90,
Billy Williams,90,
Michael Young,90,
