Name,GIDP,Rank
Willie Montanez,162,
Tony Fernandez,161,275
Keith Hernandez,161,
Ian Kinsler,161,
Jim Piersall,161,
Danny Cater,160,279
Walker Cooper,160,
Brian Giles,160,
Thurman Munson,160,
Bobby Abreu,159,283
Jim Sundberg,159,
Bobby Thomson,159,
Carlos Baerga,158,286
Dusty Baker,158,
Prince Fielder,158,
Amos Otis,158,
Pete Suder,158,
Mark Teixeira,158,
Ron Fairly,157,292
Bobby Grich,157,
Elston Howard,157,
Aubrey Huff,157,
Mark Loretta,157,
Willie McGee,157,
Ken Reitz,157,
Bruce Bochte,156,299
Xander Bogaerts,156,
Sean Casey,156,
J.J. Hardy,156,
Gregg Jefferies,156,
James Loney,156,
Mike Schmidt,156,
Alan Trammell,156,
Frank White,156,
Lou Boudreau,155,308
Toby Harrah,155,
Charlie Hayes,155,
Rudy York,155,
Travis Fryman,154,312
Mike Hargrove,154,
Dustin Pedroia,154,
Giancarlo Stanton,154,
Juan Uribe,154,
Jeff Cirillo,153,317
Raul Ibanez,153,
Larry Walker,153,
Ken Caminiti,152,320
Carlos Delgado,152,
Steve Finley,152,
Gary Ward,152,
David Wright,152,
Ray Durham,151,325
Ramon Hernandez,151,
Bob Kennedy,151,
Mark Kotsay,151,
Hunter Pence,151,
Craig Biggio,150,330
Cecil Cooper,150,
Scott Rolen,150,
Reggie Smith,150,
Jerry Adair,149,334
Tony Armas,149,
Sal Bando,149,
Fred Lynn,149,
Anthony Rizzo,149,
Pablo Sandoval,149,
Dmitri Young,149,
Jeff Burroughs,148,341
Willie Jones,148,
Marcell Ozuna,148,
Kurt Suzuki,148,
Jose Cardenal,147,345
Greg Luzinski,147,
Mark McGwire,147,
Yogi Berra,146,348
Tom Brunansky,146,
Leo Durocher,146,
Jeffrey Leonard,146,
Felix Millan,146,
Steve Sax,146,
Troy Tulowitzki,146,
Juan Beniquez,145,355
Mike Bordick,145,
Lyle Overbay,145,
Vic Power,145,
Justin Turner,145,
Jose Vidro,145,
Lance Berkman,144,361
Ken Keltner,144,
Manny Sanguillen,144,
Richie Sexson,144,
Jesus Alou,143,365
Roy Campanella,143,
Alex Johnson,143,
Ted Kluszewski,143,
Harvey Kuenn,143,
Jean Segura,143,
Willie Stargell,143,
Manny Trillo,143,
Bill Tuttle,143,
Vic Wertz,143,
Lou Whitaker,143,
Rondell White,143,
