Name,Triples,Rank
Charlie Jamieson,80,
Don Kessinger,80,
Bill Lange,80,
John Morrill,80,
Pee Wee Reese,80,
Dick Allen,79,284
Frank Chance,79,
Ray Durham,79,
Jack Graney,79,
Ned Hanlon,79,
Frank LaPorte,79,
Deacon McGuire,79,
Tony Perez,79,
Jim Rice,79,
Frank Shugart,79,
Carlos Beltran,78,294
Patsy Dougherty,78,
Jim Fregosi,78,
Chick Gandil,78,
Alfredo Griffin,78,
Red Schoendienst,78,
Cecil Travis,78,
Dave Bancroft,77,301
Barry Bonds,77,
Art Fletcher,77,
Ken Griffey,77,
Al Oliver,77,
Dode Paskert,77,
Fred Tenney,77,
Terry Turner,77,
Omar Vizquel,77,
Ken Williams,77,
Jimmy Austin,76,311
Jerry Denny,76,
Larry Herndon,76,
High Pockets Kelly,76,
Barry Larkin,76,
Tom McCreery,76,
Rube Oldring,76,
Ryne Sandberg,76,
Gee Walker,76,
Glenn Wright,76,
Chief Zimmer,76,
Carson Bigbee,75,322
Kitty Bransfield,75,
Patsy Donovan,75,
Pete Fox,75,
Buck Herzog,75,
Jimmy Johnston,75,
Fielder Jones,75,
Al Kaline,75,
Mike Kreevich,75,
Pepper Martin,75,
Dave Parker,75,
Roger Peckinpaugh,75,
Billy Rogell,75,
Bob Bescher,74,335
Donie Bush,74,
Delino DeShields,74,
Augie Galan,74,
Johnny Hopp,74,
Chuck Klein,74,
Freddy Parent,74,
Bobby Thomson,74,
Cy Williams,74,
Johnny Bates,73,344
Dwight Evans,73,
Brett Gardner,73,
Emmet Heidrick,73,
Tommy Henrich,73,
Braggo Roth,73,
Ezra Sutton,73,
Elmer Valo,73,
Deacon White,73,
Ping Bodie,72,353
George Burns,72,
Alvin Dark,72,
Bill Dickey,72,
Max Flack,72,
Tommy Griffith,72,
Rollie Hemsley,72,
Charlie Keller,72,
Mickey Mantle,72,
Dave Martinez,72,
Eddie Mathews,72,
Jose Offerman,72,
Mel Ott,72,
Dave Philley,72,
Frank Robinson,72,
Denard Span,72,
John Titus,72,
Dick Bartell,71,370
Roger Bresnahan,71,
Eddie Foster,71,
Jim Gilliam,71,
Hank Greenberg,71,
Bug Holliday,71,
Dick McAuliffe,71,
Barney McCosky,71,
Roger Metzger,71,
Mickey Rivers,71,
Jack Smith,71,
Jake Stenzel,71,
Tilly Walker,71,
Devon White,71,
Ted Williams,71,
Maury Wills,71,
Mookie Wilson,71,
Johnny Evers,70,387
Harry Lord,70,
John McGraw,70,
Joe Mulvey,70,
Luis Polonia,70,
Joe Quinn,70,
Shane Victorino,70,
Michael Bourn,69,394
Tom Burns,69,
Del Ennis,69,
Lonny Frey,69,
Rafael Furcal,69,
Ozzie Guillen,69,
Bill Hinchman,69,
Ken Keltner,69,
Denny Lyons,69,
Matty McIntyre,69,
Ivy Olson,69,
Ozzie Smith,69,
Claudell Washington,69,
Buck Weaver,69,
Charlie Blackmon,68,408
Ken Boyer,68,
Charlie Comiskey,68,
Al Cowens,68,
Monte Cross,68,
Bones Ely,68,
Luis Gonzalez,68,
Charlie Hemphill,68,
Dick Johnston,68,
Doc Johnston,68,
Duffy Lewis,68,
Fred Mann,68,
Claude Ritchey,68,
Brooks Robinson,68,
Emmett Seery,68,
Joe Sewell,68,
Snuffy Stirnweiss,68,
George Stone,68,
Brady Anderson,67,426
Jay Bell,67,
Charlie Bennett,67,
Ossie Bluege,67,
Steve Evans,67,
Mike Grady,67,
Dick Groat,67,
Chick Hafey,67,
Ray Powell,67,
Red Rolfe,67,
Ron Santo,67,
Hack Wilson,67,
Gus Bell,66,438
Bobby Bonds,66,
Lou Boudreau,66,
Fred Carroll,66,
Rickey Henderson,66,
Orlando Hudson,66,
Derek Jeter,66,
Harry Lumley,66,
Jack McCarthy,66,
Hal McRae,66,
Lloyd Moseby,66,
Jack O'Connor,66,
Amos Otis,66,
Heinie Peitz,66,
Curt Welch,66,
Ripper Collins,65,453
Frankie Crosetti,65,
David DeJesus,65,
Danny Green,65,
Andy High,65,
Willie Randolph,65,
Heinie Reitz,65,
Craig Reynolds,65,
Burt Shotton,65,
Lou Whitaker,65,
Bill White,65,
Mickey Cochrane,64,464
Jack Doyle,64,
Happy Felsch,64,
Ralph Garr,64,
Don Gutteridge,64,
Bucky Harris,64,
Joe Harris,64,
Gabby Hartnett,64,
Chuck Knoblauch,64,
George McQuinn,64,
Ski Melillo,64,
Rick Monday,64,
Pete Runnels,64,
Ellis Burks,63,477
Stephen Drew,63,
Pete Hotaling,63,
Bill Keister,63,
Jorge Orta,63,
Harry Rice,63,
Gene Richards,63,
Alex Rios,63,
Ed Swartwood,63,
Zoilo Versalles,63,
Gene Woodling,63,
Don Blasingame,62,488
Harlond Clift,62,
Birdie Cree,62,
Shawon Dunston,62,
Granny Hamner,62,
Frank Isbell,62,
Garry Maddox,62,
Bill Mazeroski,62,
Andy Pafko,62,
Phil Rizzuto,62,
Elmer Smith,62,
Larry Walker,62,
Whitey Witt,62,
Clyde Barnhart,61,501
Wade Boggs,61,
Bobby Bonilla,61,
Johnny Kling,61,
Chet Lemon,61,
Dale Mitchell,61,
Neifi Perez,61,
Vic Saier,61,
Bobby Byrne,60,509
Cesar Cedeno,60,
Jack Clements,60,
Keith Hernandez,60,
Solly Hofman,60,
Kevin Kiermaier,60,
Wally Moon,60,
Bill Nicholson,60,
Blondie Purcell,60,
Reggie Sanders,60,
George Scott,60,
Stan Spence,60,
Possum Whitted,60,
Michael Young,60,
Bobby Abreu,59,523
Wally Berger,59,
Mike Cameron,59,
Luis Castillo,59,
Jim Delahanty,59,
Bibb Falk,59,
Spike Owen,59,
Mike Schmidt,59,
Ruben Sierra,59,
Joe Torre,59,
Bill Wambsganss,59,
Randy Winn,59,
Tony Womack,59,
Carl Yastrzemski,59,
Alcides Escobar,58,537
Chone Figgins,58,
Elbie Fletcher,58,
Bubbles Hargrave,58,
Walter Holke,58,
Ducky Holmes,58,
Sadie Houck,58,
Red Kress,58,
Brian McRae,58,
Jim McTamany,58,
Bob O'Farrell,58,
Everett Scott,58,
Bob Skinner,58,
Lonnie Smith,58,
Milt Stock,58,
Phil Todt,58,
Hal Trosky,58,
Chase Utley,58,
Frank White,58,
Hank Bauer,57,556
Eddie Burke,57,
Donn Clendenon,57,
Coco Crisp,57,
Art Devlin,57,
Dom DiMaggio,57,
Tony Gonzalez,57,
Richie Hebner,57,
Benny Kauff,57,
Ron LeFlore,57,
Tim McCarver,57,
Doggie Miller,57,
Kirby Puckett,57,
Paul Radford,57,
Bill Russell,57,
Manny Sanguillen,57,
Reggie Smith,57,
Patsy Tebeau,57,
Tom York,57,
Buddy Bell,56,575
Enos Cabell,56,
Dave Cash,56,
John Coleman,56,
Leo Durocher,56,
Kid Elberfeld,56,
Carl Furillo,56,
Marquis Grissom,56,
Harvey Kuenn,56,
Lyn Lary,56,
George Pinkney,56,
Terry Puhl,56,
Jim Rivera,56,
Luke Sewell,56,
Jimmy Slagle,56,
George Stovall,56,
Pinky Whitney,56,
Eddie Yost,56,
Craig Biggio,55,593
Paul Blair,55,
George Browne,55,
Royce Clayton,55,
Jack Farrell,55,
Jim Fogarty,55,
Hod Ford,55,
Brian Giles,55,
Roy Hartzell,55,
Cliff Heathcote,55,
Julian Javier,55,
Billy Jurges,55,
Starling Marte,55,
Bake McBride,55,
Jerry Mumphrey,55,
Angel Pagan,55,
Freddie Patek,55,
Hunter Pence,55,
Willie Stargell,55,
Joe Start,55,
Dee Strange-Gordon,55,
Cesar Tovar,55,
Alan Trammell,55,
Mike Trout,55,
Mitch Webster,55,
Bernie Williams,55,
Taffy Wright,55,
Eddie Ainsmith,54,620
Jack Boyle,54,
Julio Franco,54,
Kirk Gibson,54,
Sammy Hale,54,
Ray Lankford,54,
Fred Luderus,54,
Lee Magee,54,
Mickey Morandini,54,
Mike Mowrey,54,
Jackie Robinson,54,
Fred Schulte,54,
Socks Seybold,54,
Riggs Stephenson,54,
George Tebeau,54,
Adonis Terry,54,
Derrel Thomas,54,
Aaron Ward,54,
Luis Alicea,53,638
Bob Allison,53,
Joe Carter,53,
Fred Dunlap,53,
Sid Farrar,53,
Omar Infante,53,
Austin Jackson,53,
Freddy Leach,53,
Tommy McCarthy,53,
Gene Moore,53,
Jo-Jo Moore,53,
Harold Reynolds,53,
Dave Roberts,53,
Bill Skowron,53,
Jackie Tavener,53,
Roy Thomas,53,
Farmer Vaughn,53,
Harry Wolverton,53,
Dave Brain,52,656
Al Bumbry,52,
Doc Casey,52,
Sam Chapman,52,
Dave Collins,52,
Larry Doby,52,
Woody English,52,
Bob Fothergill,52,
Nomar Garciaparra,52,
Joe Gordon,52,
Danny Hoffman,52,
Jerry Lumpe,52,
Manny Mota,52,
Jim Piersall,52,
Danny Richardson,52,
Orator Shafer,52,
Rudy York,52,
Elvis Andrus,51,673
Frank Baumholtz,51,
Ray Blades,51,
Adam Comorosky,51,
Joe Gerhardt,51,
Carlos Guillen,51,
Odell Hale,51,
Pinky Higgins,51,
Raul Ibanez,51,
John Kerins,51,
Gary Matthews,51,
Gil McDougald,51,
Gary Redus,51,
Lance Richbourg,51,
Wilbert Robinson,51,
Ivan Rodriguez,51,
Jim Russell,51,
Roy White,51,
Matty Alou,50,691
Del Bissonette,50,
Bob Caruthers,50,
Lou Criger,50,
Pat Duncan,50,
Ira Flagstead,50,
Lew Fonseca,50,
Greg Gagne,50,
Ron Gant,50,
John Ganzel,50,
Cesar Geronimo,50,
Doc Gessler,50,
Elston Howard,50,
Miller Huggins,50,
George Kell,50,
Jim Landis,50,
Davey Lopes,50,
Andrew McCutchen,50,
Dusty Miller,50,
Jocko Milligan,50,
Greasy Neale,50,
Johnny Pesky,50,
Tony Phillips,50,
Rip Radcliff,50,
Chris Speier,50,
Jake Virtue,50,
Billy Werber,50,
Bobby Adams,49,718
Felipe Alou,49,
Harold Baines,49,
Charley Bassett,49,
Les Bell,49,
Yogi Berra,49,
Ryan Braun,49,
Bill Buckner,49,
Leo Cardenas,49,
George Decker,49,
George Gibson,49,
Steve Henderson,49,
Reggie Jackson,49,
Mark Koenig,49,
Nemo Leibold,49,
Whitey Lockman,49,
Tom Long,49,
Bris Lord,49,
Ed McFarland,49,
Raul Mondesi,49,
Gary Pettis,49,
Vic Power,49,
Chief Roseman,49,
Ray Schalk,49,
Red Smith,49,
Michael Tucker,49,
Fernando Vina,49,
Sparky Adams,48,745
Jim Canavan,48,
Gino Cimoli,48,
Dave Concepcion,48,
Ivan DeJesus,48,
J.D. Drew,48,
Gil Hodges,48,
Otto Knabe,48,
Mark Kotsay,48,
Johnny Lindell,48,
Al Martin,48,
Tony Oliva,48,
David Peralta,48,
Darrell Porter,48,
Germany Schaefer,48,
Mickey Stanley,48,
Ossie Vitt,48,
Jimmy Barrett,47,762
Shad Barry,47,
Hick Carpenter,47,
Cliff Carroll,47,
Will Clark,47,
Cecil Cooper,47,
Bob Dillinger,47,
Jacoby Ellsbury,47,
Carlton Fisk,47,
Dee Fondy,47,
George Foster,47,
Bobby Grich,47,
Frankie Gustine,47,
Fred Hartman,47,
Guy Hecker,47,
Chuck Hinton,47,
Tommy Holmes,47,
Jeff Kent,47,
George McBride,47,
Mark McLemore,47,
Darby O'Brien,47,
Steve Sax,47,
Jean Segura,47,
Ted Simmons,47,
Grady Sizemore,47,
Rusty Staub,47,
Cub Stricker,47,
Bill Tuttle,47,
Jose Vizcaino,47,
Heinie Wagner,47,
Jimmy Welsh,47,
Charlie Abbey,46,793
Erick Aybar,46,
Ray Boone,46,
Jimmy Callahan,46,
Jose Cardenal,46,
Tony Cuccinello,46,
Joe Dugan,46,
Adam Eaton,46,
Juan Encarnacion,46,
