Name,IBB,Rank
Ray Lankford,68,
Sherm Lollar,68,
Ken Oberkfell,68,
A.J. Pierzynski,68,
Felipe Alou,67,279
Bob Bailey,67,
Julio Franco,67,
Bill Freehan,67,
Adam LaRoche,67,
Kevin McReynolds,67,
Buster Posey,67,
Ivan Rodriguez,67,
Andy Seminick,67,
Alan Ashby,66,288
Tommy Davis,66,
Barry Larkin,66,
Manny Machado,66,
Carlos Santana,66,
Brian Schneider,66,
Roy Sievers,66,
Alfonso Soriano,66,
Roy White,66,
Dmitri Young,66,
Bruce Bochte,65,298
Jeff Burroughs,65,
Rico Carty,65,
Rafael Devers,65,
Milt May,65,
Eddie Miller,65,
Hanley Ramirez,65,
Vinny Castilla,64,305
Joe Ferguson,64,
Rey Ordonez,64,
Dave Rader,64,
Leon Wagner,64,
Steve Yeager,64,
Kevin Bass,63,311
Greg Brock,63,
Jose Canseco,63,
Tony Gonzalez,63,
Todd Hundley,63,
Carlos May,63,
Wes Parker,63,
Tris Speaker,63,
Gene Alley,62,319
Roberto Alomar,62,
Hubie Brooks,62,
Oscar Gamble,62,
Marty Marion,62,
Lance Parrish,62,
Carlos Ruiz,62,
Del Unser,62,
Chase Utley,62,
Rickey Henderson,61,328
Jay Johnstone,61,
Jeff Kent,61,
James Loney,61,
Rico Petrocelli,61,
J.T. Snow,61,
Mike Sweeney,61,
Dwight Evans,60,335
Tommy Helms,60,
Willie Jones,60,
Carlos Lee,60,
Garry Maddox,60,
Ted Sizemore,60,
Brady Anderson,59,341
Billy Butler,59,
Eric Davis,59,
Tito Francona,59,
Gregg Jefferies,59,
Dick McAuliffe,59,
George McQuinn,59,
Thurman Munson,59,
Joe Rudi,59,
Ryne Sandberg,59,
Matt Stairs,59,
Jason Varitek,59,
Jose Bautista,58,353
Rocky Colavito,58,
Darren Daulton,58,
Nick Etten,58,
Doug Flynn,58,
Willie McGee,58,
Jose Oquendo,58,
Aramis Ramirez,58,
Gene Tenace,58,
Mike Tresh,58,
José Abreu,57,363
Cody Bellinger,57,
Dale Berra,57,
Don Buford,57,
Doug DeCinces,57,
Gary Gaetti,57,
Mel Hall,57,
Matt Holliday,57,
Davey Johnson,57,
Mike LaValliere,57,
Roy McMillan,57,
Lyle Overbay,57,
Spike Owen,57,
Adolfo Phillips,57,
Scott Rolen,57,
Christian Yelich,57,
Ryan Braun,56,379
Jordy Mercer,56,
Miguel Montero,56,
Wally Moon,56,
Keith Moreland,56,
Daniel Murphy,56,
Jose Reyes,56,
David Segui,56,
Mike Tyson,56,
Joe Adcock,55,388
Tony Clark,55,
Nate Colbert,55,
Willie Crawford,55,
Brian Downing,55,
Carlos González,55,
Josh Hamilton,55,
Ed Herrmann,55,
Brent Mayne,55,
Hal Morris,55,
Pablo Sandoval,55,
Frank Thomas,55,
Andy Van Slyke,55,
Edwin Encarnacion,54,401
Nomar Garciaparra,54,
Jim Gentile,54,
Deron Johnson,54,
Mike Lum,54,
Mike Matheny,54,
Paul Sorrento,54,
Jose Valentin,54,
Greg Vaughn,54,
Wes Westrum,54,
George Bell,53,411
Pat Burrell,53,
Rich Gedman,53,
Stan Hack,53,
Eric Hosmer,53,
Glenn Hubbard,53,
Cliff Johnson,53,
J.C. Martin,53,
Orlando Merced,53,
Amos Otis,53,
Bob Skinner,53,
Bobby Wine,53,
Gene Woodling,53,
Bernie Allen,52,424
Bob Aspromonte,52,
Dusty Baker,52,
Bruce Benedict,52,
Bill Doran,52,
J.D. Drew,52,
Torii Hunter,52,
Jim Lefebvre,52,
Joe Oliver,52,
Babe Phelps,52,
Jimmy Rollins,52,
Benito Santiago,52,
Richie Zisk,52,
Randy Bush,51,437
Wes Covington,51,
Ken Griffey,51,
Greg Gross,51,
Toby Harrah,51,
Bob Johnson,51,
Mike Jorgensen,51,
Jason Kendall,51,
J.D. Martinez,51,
Carlos Pena,51,
Doug Rader,51,
Dickie Thon,51,
Bernie Carbo,50,449
Chris Davis,50,
Lenny Dykstra,50,
Wayne Garrett,50,
Bobby Grich,50,
Jose Lind,50,
Yadier Molina,50,
Raul Mondesi,50,
Jim Northrup,50,
Mickey Owen,50,
Lee Stevens,50,
Willie Upshaw,50,
Jesse Barfield,49,461
Yogi Berra,49,
Duffy Dyer,49,
Ron Hansen,49,
Jim Ray Hart,49,
Dal Maxvill,49,
Jerry Mumphrey,49,
Gerardo Parra,49,
Terry Puhl,49,
Bill Robinson,49,
Reggie Sanders,49,
Tony Taylor,49,
Gus Triandos,49,
Justin Upton,49,
Jose Altuve,48,475
Ivan DeJesus,48,
Tony Fernandez,48,
Tom Foley,48,
Jeff Francoeur,48,
Jim Fregosi,48,
Alex Gonzalez,48,
Alex Gordon,48,
Bobby Knoop,48,
Mark Lemke,48,
Jerry May,48,
Tommy McCraw,48,
Bill Skowron,48,
Birdie Tebbetts,48,
Alan Trammell,48,
Troy Tulowitzki,48,
Curt Blefary,47,491
Johnny Briggs,47,
Jim Eisenreich,47,
Brad Hawpe,47,
Tom Herr,47,
Art Howe,47,
Dave Martinez,47,
Ken McMullen,47,
Ken Reitz,47,
Steve Sax,47,
Norm Siebern,47,
Roy Smalley,47,
Danny Tartabull,47,
Todd Zeile,47,
Donn Clendenon,46,505
Jeff Conine,46,
Mike Easler,46,
Darin Erstad,46,
Ralph Garr,46,
Chet Lemon,46,
Stan Lopata,46,
Dave Magadan,46,
Russell Martin,46,
Gary Matthews,46,
Lloyd Moseby,46,
Jorge Orta,46,
Mike Pagliarulo,46,
Pete Runnels,46,
Corey Seager,46,
Milt Thompson,46,
Joe Azcue,45,521
Larry Bowa,45,
Sid Bream,45,
Ollie Brown,45,
Ty Cobb,45,
Woodie Held,45,
Corey Koskie,45,
Carney Lansford,45,
Adam Lind,45,
Mike Lowell,45,
John Milner,45,
Don Money,45,
Matt Olson,45,
Buck Rodgers,45,
Tim Salmon,45,
Kyle Schwarber,45,
Kevin Stocker,45,
Pete Alonso,44,538
Eddie Bressoud,44,
Ed Brinkman,44,
Billy Cox,44,
