Name,Hit by Pitch,Rank
Mark Loretta,71,
Bobby Lowe,71,
Rougned Odor,71,
Hanley Ramirez,71,
Reggie Sanders,71,
Roy Thomas,71,
Ernie Banks,70,280
C.J. Cron,70,
Mike Epstein,70,
Derrek Lee,70,
Heinie Manush,70,
Johnny Mostil,70,
Dan Uggla,70,
Brad Ausmus,69,287
Bret Boone,69,
Robinson Chirinos,69,
Michael Conforto,69,
Shea Hillenbrand,69,
Chris Iannetta,69,
Willie McCovey,69,
Mike Napoli,69,
Jim Thome,69,
Asdrubal Cabrera,68,296
Gary Carter,68,
Brandon Inge,68,
Bill Madlock,68,
Jeff Cirillo,67,300
Brett Gardner,67,
Curtis Granderson,67,
Richard Hidalgo,67,
Martín Maldonado,67,
Jurickson Profar,67,
Tim Salmon,67,
Grady Sizemore,67,
Lance Berkman,66,308
Jackie Bradley Jr.,66,
Roger Bresnahan,66,
Buck Freeman,66,
Dave Hollins,66,
Javy Lopez,66,
Rick Reichardt,66,
Cal Ripken Jr.,66,
Robby Thompson,66,
Phil Bradley,65,317
Jim Leyritz,65,
Jean Segura,65,
Fred Snodgrass,65,
Bobby Tolan,65,
Alex Bregman,64,322
Miguel Cairo,64,
Bert Campaneris,64,
Tony Fernandez,64,
Ducky Holmes,64,
Carney Lansford,64,
Ramón Laureano,64,
Connie Mack,64,
George McBride,64,
Mel Ott,64,
Anthony Rendon,64,
Jim Rice,64,
J.T. Snow,64,
Jayson Werth,64,
Mike Bordick,63,336
Cupid Childs,63,
Jermaine Dye,63,
Yan Gomes,63,
Toby Harrah,63,
Chief Meyers,63,
Felix Millan,63,
Kyle Seager,63,
Al Smith,63,
Fred Tenney,63,
Sam Thompson,63,
Dave Valle,63,
Sean Casey,62,348
Ron Cey,62,
Jack Glasscock,62,
Juan Gonzalez,62,
Solly Hemus,62,
Jason Heyward,62,
Sean Rodriguez,62,
Chief Roseman,62,
Willie Wilson,62,
Kevin Young,62,
Derek Bell,61,358
Jack Clements,61,
Lucas Duda,61,
Kirk Gibson,61,
Chase Headley,61,
Howie Kendrick,61,
Jonathan Schoop,61,
Will Smith,61,
Jason Varitek,61,
Clint Barmes,60,367
Ellis Burks,60,
Vinny Castilla,60,
Jeff Francoeur,60,
Charlie Irwin,60,
Mike Moustakas,60,
Charlie O'Brien,60,
Pop Smith,60,
Mike Zunino,60,
Jack Boyle,59,376
Will Clark,59,
Brandon Crawford,59,
Harry Davis,59,
Avisaíl García,59,
Nomar Garciaparra,59,
Ryan Howard,59,
Joe Jackson,59,
Jim Landis,59,
Tino Martinez,59,
Nate McLouth,59,
Tony Oliva,59,
Ray Schalk,59,
Sammy Sosa,59,
Fernando Tatis,59,
Bobby Veach,59,
Chris Davis,58,392
Paul DeJong,58,
Josh Donaldson,58,
Andre Ethier,58,
Duke Farrell,58,
Charlie Hickman,58,
Willie Horton,58,
Paul Lo Duca,58,
Lloyd Moseby,58,
Xavier Nady,58,
Ivan Rodriguez,58,
Buck Weaver,58,
Felipe Alou,57,404
Elvis Andrus,57,
Javier Báez,57,
Jay Bell,57,
Willi Castro,57,
Shano Collins,57,
Wil Cordero,57,
Alcides Escobar,57,
Scott Fletcher,57,
Todd Helton,57,
Herman Long,57,
Roy McMillan,57,
Brian McRae,57,
Pat Meares,57,
Kevin Pillar,57,
George Shoch,57,
Kelly Shoppach,57,
Matt Stairs,57,
Jake Stenzel,57,
Jason Bay,56,423
Jay Buhner,56,
Cesar Cedeno,56,
Kyle Farmer,56,
Woodie Held,56,
Corey Koskie,56,
Mickey Morandini,56,
Dave Parker,56,
Kirby Puckett,56,
Mark Reynolds,56,
Sam Rice,56,
Olmedo Saenz,56,
Frank Schulte,56,
Nick Swisher,56,
Albert Belle,55,437
Xander Bogaerts,55,
Doc Casey,55,
Francisco Cervelli,55,
Glenn Davis,55,
J.D. Drew,55,
Yunel Escobar,55,
Adam Frazier,55,
Ryan Garko,55,
Goose Goslin,55,
Billy Hatcher,55,
Aaron Hill,55,
Al Kaline,55,
Candy LaChance,55,
Barry Larkin,55,
John Mayberry,55,
Daniel Nava,55,
Joe Randa,55,
Ellie Rodriguez,55,
Ramon Santiago,55,
Ichiro Suzuki,55,
Neil Walker,55,
Matt Williams,55,
Gordon Beckham,54,460
Angel Berroa,54,
Brady Clark,54,
Craig Counsell,54,
Alvin Dark,54,
Jake Daubert,54,
Patsy Dougherty,54,
Juan Encarnacion,54,
Red Killefer,54,
Miguel Montero,54,
Matt Olson,54,
Dean Palmer,54,
Vada Pinson,54,
Mike Redmond,54,
Bill Skowron,54,
Farmer Weaver,54,
Ty Wigginton,54,
John Anderson,53,477
Harrison Bader,53,
Bobby Bonds,53,
Nick Castellanos,53,
Matt Chapman,53,
Einar Diaz,53,
Ryan Doumit,53,
Larry Doyle,53,
Dwight Evans,53,
Steve Finley,53,
Ira Flagstead,53,
Mike Hargrove,53,
Lou Johnson,53,
Dave Kingman,53,
Victor Martinez,53,
Stan Musial,53,
Frank O'Rourke,53,
George Pinkney,53,
Brooks Robinson,53,
Edd Roush,53,
