Name,Games,Rank
Ralph Terry,20,264
Bob Veale,20,265
Don Wilson,20,266
Geoff Zahn,20,267
Joaquin Andujar,19,268
Jim Bibby,19,269
Ray Collins,19,270
Bob Ewing,19,271
Ray Fisher,19,272
Mike Flanagan,19,273
Bob Forsch,19,274
Tex Hughson,19,275
Randy Jones,19,276
Matt Kilroy,19,277
Silver King,19,278
Frank Kitson,19,279
Carl Lundgren,19,280
Guy Morton,19,281
J.R. Richard,19,282
Tully Sparks,19,283
Jack Taylor,19,284
Jim Wilson,19,285
Doyle Alexander,18,286
Tim Belcher,18,287
Ed Brandt,18,288
Ernie Broglio,18,289
Joe Coleman,18,290
Dave Davenport,18,291
John Denny,18,292
George Earnshaw,18,293
Ken Forsch,18,294
Ned Garver,18,295
Mudcat Grant,18,296
Ken Heintzelman,18,297
Otto Hess,18,298
Joe Horlen,18,299
Mark Langston,18,300
Charlie Leibrandt,18,301
Danny MacFayden,18,302
Jumbo McGinnis,18,303
Bill Monbouquette,18,304
Jim O'Toole,18,305
Joe Oeschger,18,306
Eddie Rommel,18,307
Dutch Ruether,18,308
Rick Sutcliffe,18,309
Johnny Allen,17,310
Doc Ayers,17,311
George Bell,17,312
Joe Benz,17,313
Nelson Briles,17,314
Kevin Brown,17,315
Don Cardwell,17,316
Hal Carlson,17,317
Bill Dietrich,17,318
Bill Duggleby,17,319
Scott Erickson,17,320
Wes Ferrell,17,321
Denny Galehouse,17,322
Steve Gromek,17,323
Bill Hands,17,324
Steve Hargan,17,325
Billy Hoeft,17,326
Larry Jansen,17,327
Sam Jones,17,328
Pedro Martinez,17,329
Harry McIntire,17,330
George McQuillan,17,331
Case Patten,17,332
Jack Pfiester,17,333
Juan Pizarro,17,334
Rick Rhoden,17,335
Preacher Roe,17,336
Babe Ruth,17,337
Dick Ruthven,17,338
Jim Shaw,17,339
Allen Sothoron,17,340
Paul Splittorff,17,341
Adonis Terry,17,342
Whit Wyatt,17,343
Nick Altrock,16,344
Jim Bagby,16,345
Stan Bahnsen,16,346
Floyd Bannister,16,347
Steve Blass,16,348
Mike Boddicker,16,349
Hank Borowy,16,350
Guy Bush,16,351
Tex Carleton,16,352
Ice Box Chamberlain,16,353
Alvin Crowder,16,354
Pete Donohue,16,355
Jimmy Dygert,16,356
Dave Foutz,16,357
Fred Goldsmith,16,358
Sam Gray,16,359
Mark Gubicza,16,360
Larry Gura,16,361
Earl Hamilton,16,362
Joey Jay,16,363
Johnny Lush,16,364
Doc Medich,16,365
Willie Mitchell,16,366
Mike Moore,16,367
Bob Ojeda,16,368
Frank Owen,16,369
Roy Patterson,16,370
George Pipgras,16,371
Bob Rush,16,372
Bret Saberhagen,16,373
Johnny Sain,16,374
Johnny Schmitz,16,375
Al Smith,16,376
Bob Smith,16,377
Sherry Smith,16,378
Zane Smith,16,379
John Smoltz,16,380
George Suggs,16,381
John Tudor,16,382
Frank Viola,16,383
Earl Whitehill,16,384
Ewell Blackwell,15,385
George Brunet,15,386
John Buzhardt,15,387
Chris Carpenter,15,388
Rip Collins,15,389
Al Demaree,15,390
Chuck Finley,15,391
Russ Ford,15,392
Rube Foster,15,393
Ruben Gomez,15,394
Ross Grimsley,15,395
Bob Harmon,15,396
Guy Hecker,15,397
Danny Jackson,15,398
Al Javery,15,399
Clayton Kershaw,15,400
Dave Koslo,15,401
Jim Lonborg,15,402
Pat Malone,15,403
Al Mamaux,15,404
Walt Masterson,15,405
Vinegar Bend Mizell,15,406
Cy Morgan,15,407
Fred Norman,15,408
Blue Moon Odom,15,409
Gene Packard,15,410
Jim Rooker,15,411
Doc Scanlan,15,412
Tom Seaton,15,413
Bobby Shantz,15,414
Bill Stoneman,15,415
Frank Sullivan,15,416
Tommy Thomas,15,417
Mike Torrez,15,418
Rube Walberg,15,419
Bill Walker,15,420
Carl Weilman,15,421
Bill Wight,15,422
Elden Auker,14,423
Mark Baldwin,14,424
Bill Bernhard,14,425
George Blaeholder,14,426
Cy Blanton,14,427
Max Butcher,14,428
Dan Casey,14,429
Watty Clark,14,430
John Curtis,14,431
Pat Dobson,14,432
Red Ehret,14,433
Dock Ellis,14,434
Carl Erskine,14,435
Lou Fette,14,436
Art Fromme,14,437
Fred Glade,14,438
Vean Gregg,14,439
Kevin Gross,14,440
Don Gullett,14,441
Harry Gumbert,14,442
Bump Hadley,14,443
Bill Hallahan,14,444
Art Houtteman,14,445
Al Jackson,14,446
Jack Kramer,14,447
Ray Kremer,14,448
Cliff Lee,14,449
Thornton Lee,14,450
Denny Lemaster,14,451
Sadie McMahon,14,452
Frank Miller,14,453
Gary Nolan,14,454
Marty Pattin,14,455
Ben Sanders,14,456
Scott Sanderson,14,457
Jack Sanford,14,458
Bob Shaw,14,459
Ed Siever,14,460
Jack Stivetts,14,461
Walt Terrell,14,462
Jim Bagby,13,463
Larry Benton,13,464
Tom Brewer,13,465
Hal Brown,13,466
John Candelaria,13,467
Tony Cloninger,13,468
Bartolo Colon,13,469
Gene Conley,13,470
Harry Coveleski,13,471
Ron Darling,13,472
Charlie Ferguson,13,473
Ned Garvin,13,474
Dave Goltz,13,475
Mickey Haefner,13,476
Ed Halicki,13,477
Ray Herbert,13,478
Charlie Hough,13,479
Tim Hudson,13,480
Fred Hutchinson,13,481
Si Johnson,13,482
Brickyard Kennedy,13,483
Jimmy Key,13,484
Frank Killen,13,485
Elmer Knetzer,13,486
Jack McDowell,13,487
Lynn McGlothen,13,488
Larry McWilliams,13,489
Cliff Melton,13,490
Russ Meyer,13,491
Bob Moose,13,492
Johnny Morrison,13,493
Carl Morton,13,494
Red Munger,13,495
Billy O'Dell,13,496
Bob Purkey,13,497
Pedro Ramos,13,498
Billy Rhines,13,499
Elmer Riddle,13,500
Ed Seward,13,501
Dupee Shaw,13,502
Mario Soto,13,503
Elam Vangilder,13,504
Bill Voiselle,13,505
George Wiedman,13,506
Earl Wilson,13,507
Kevin Appier,12,508
Pedro Astacio,12,509
Ray Benge,12,510
Bud Black,12,511
Ralph Branca,12,512
Theodore Breitenstein,12,513
Tom Browning,12,514
Tommy Byrne,12,515
Reggie Cleveland,12,516
George Derby,12,517
Jean Dubuc,12,518
Frank Dwyer,12,519
Dave Ferriss,12,520
Ed Figueroa,12,521
Luke Hamlin,12,522
Harry Harper,12,523
Jack Harshman,12,524
Teddy Higuera,12,525
Jack Kralick,12,526
Erskine Mayer,12,527
Clarence Mitchell,12,528
Earl Moseley,12,529
Johnny Niggeling,12,530
Wiley Piatt,12,531
Pat Ragan,12,532
Eric Rasmussen,12,533
Vern Ruhle,12,534
CC Sabathia,12,535
Spec Shea,12,536
Ed Stein,12,537
Greg Swindell,12,538
Jim Tobin,12,539
David Wells,12,540
Ed Whitson,12,541
Kaiser Wilhelm,12,542
Ed Willett,12,543
Fred Anderson,11,544
Steve Arlin,11,545
Red Barrett,11,546
Sheriff Blake,11,547
Jim Bouton,11,548
Britt Burns,11,549
Jimmy Callahan,11,550
Tom Candiotti,11,551
Jim Clancy,11,552
Andy Coakley,11,553
Joe Coleman,11,554
Chuck Dobson,11,555
Richard Dotson,11,556
Al Fitzmorris,11,557
Jesse Flores,11,558
Dick Fowler,11,559
Charlie Getzien,11,560
Orval Grove,11,561
Bill Gullickson,11,562
Pete Harnisch,11,563
Pink Hawley,11,564
Felix Hernández,11,565
Kirby Higbe,11,566
Glen Hobbie,11,567
Rick Honeycutt,11,568
Willis Hudlin,11,569
Sid Hudson,11,570
Syl Johnson,11,571
Ray Kolp,11,572
Don Larsen,11,573
Kirk McCaskill,11,574
Mickey McDermott,11,575
Jim McGlothlin,11,576
Win Mercer,11,577
John Montefusco,11,578
Bob Muncrief,11,579
Jim Nash,11,580
Fritz Ostermueller,11,581
Stubby Overmire,11,582
Dan Petry,11,583
Tom Phoebus,11,584
Doug Rau,11,585
Ervin Santana,11,586
Ferdie Schupp,11,587
Herb Score,11,588
Jack Scott,11,589
Bill Sherdel,11,590
Eric Show,11,591
Adam Wainwright,11,592
Carl Willey,11,593
Stan Williams,11,594
Bobby Witt,11,595
Mike Witt,11,596
Hank Wyse,11,597
Frank Allen,10,598
Al Benton,10,599
Bernie Boland,10,600
Bobby Bolin,10,601
Dick Bosman,10,602
Oil Can Boyd,10,603
Henry Boyle,10,604
Tom Bradley,10,605
Buster Brown,10,606
Lloyd Brown,10,607
Mark Buehrle,10,608
A.J. Burnett,10,609
Bill Burns,10,610
Ray Burris,10,611
Leon Cadore,10,612
Frank Corridon,10,613
Hugh Daily,10,614
Dixie Davis,10,615
Dick Drago,10,616
Mal Eason,10,617
Alex Fernandez,10,618
Dana Fillingim,10,619
Fred Frankhouse,10,620
Harry Gaspar,10,621
Milt Gaston,10,622
Kid Gleason,10,623
Tom Griffin,10,624
Jack Harper,10,625
Andy Hawkins,10,626
Jim Hearn,10,627
Pat Hentgen,10,628
Ed Heusser,10,629
Bill Hoffer,10,630
Bert Humphries,10,631
Ellis Kinder,10,632
Harry Krause,10,633
Mike Krukow,10,634
Rick Langford,10,635
Barry Latman,10,636
Jimmy Lavender,10,637
Bill Lee,10,638
Al Leiter,10,639
Joe Magrane,10,640
Bobby Mathews,10,641
Harry McCormick,10,642
Hugh McQuillan,10,643
Al Milnar,10,644
Lew Moren,10,645
Mike Morgan,10,646
Jamie Moyer,10,647
Mark Mulder,10,648
Terry Mulholland,10,649
Jim Pastorius,10,650
Brad Radke,10,651
Johnny Rigney,10,652
Johan Santana,10,653
Pete Schneider,10,654
Charlie Smith,10,655
Lary Sorensen,10,656
Joe Sparma,10,657
Harry Staley,10,658
Scott Stratton,10,659
Elmer Stricklett,10,660
Willie Sudhoff,10,661
Bill Travers,10,662
Rick Waits,10,663
Ray Washburn,10,664
Bob Wicker,10,665
Milt Wilcox,10,666
Lefty Williams,10,667
Hank Aguirre,9,668
Lady Baldwin,9,669
Fred Beebe,9,670
Gary Bell,9,671
Andy Benes,9,672
Vern Bickford,9,673
Joe Boehling,9,674
Chris Bosio,9,675
King Cole,9,676
Doc Crandall,9,677
Nick Cullop,9,678
Nig Cuppy,9,679
Danny Darwin,9,680
Jim Devlin,9,681
Dave Dravecky,9,682
Monk Dubiel,9,683
Hod Eller,9,684
Dick Ellsworth,9,685
John Ewing,9,686
Sid Fernandez,9,687
Jack Fisher,9,688
Dave Giusti,9,689
Mike Hampton,9,690
John Healy,9,691
Livan Hernandez,9,692
Oral Hildebrand,9,693
Tom Hughes,9,694
Johnny Humphries,9,695
Elmer Jacobs,9,696
Bill James,9,697
Chief Johnson,9,698
Ed Karger,9,699
Tony Kaufmann,9,700
Alex Kellner,9,701
Darryl Kile,9,702
Mike LaCoss,9,703
Terry Larkin,9,704
Tim Leary,9,705
Billy Loes,9,706
Bill Lohrman,9,707
Kyle Lohse,9,708
Tom Lovett,9,709
Nick Maddox,9,710
Art Mahaffey,9,711
Rick Mahler,9,712
Al Mattern,9,713
Bill McGee,9,714
Jouett Meekin,9,715
Jim Merritt,9,716
Paul Minner,9,717
Frank Mountain,9,718
Willard Nixon,9,719
Hideo Nomo,9,720
Phil Ortega,9,721
Henry Porter,9,722
Bugs Raymond,9,723
Steve Renko,9,724
Jimmy Ring,9,725
Kenny Rogers,9,726
Saul Rogovin,9,727
Manny Salvo,9,728
Ray Scarborough,9,729
Jason Schmidt,9,730
Aaron Sele,9,731
James Shields,9,732
Ernie Shore,9,733
Elmer Smith,9,734
Gerry Staley,9,735
Ray Starr,9,736
Dave Stewart,9,737
Ed Summers,9,738
Kevin Tapani,9,739
Steve Trout,9,740
Justin Verlander,9,741
Herm Wehmeier,9,742
John Whitehead,9,743
George Winter,9,744
Randy Wolf,9,745
Clyde Wright,9,746
Vic Aldridge,8,747
Bill Bailey,8,748
Huck Betts,8,749
Hi Bithorn,8,750
Ted Blankenship,8,751
Ken Brett,8,752
Buttons Briggs,8,753
Clint Brown,8,754
Jackie Brown,8,755
Harry Byrd,8,756
Tom Cheney,8,757
Dick Coffman,8,758
Jim Colborn,8,759
Johnny Cueto,8,760
Paul Dean,8,761
Gus Dorner,8,762
Jumbo Elliott,8,763
Shawn Estes,8,764
Cecil Ferguson,8,765
Mark Gardner,8,766
Gary Gentry,8,767
Moose Haas,8,768
George Haddock,8,769
Aaron Harang,8,770
Joe Hatten,8,771
Ken Hill,8,772
Derek Holland,8,773
LaMarr Hoyt,8,774
Jay Hughes,8,775
Pat Jarvis,8,776
Connie Johnson,8,777
Percy Jones,8,778
Clay Kirby,8,779
Bruce Kison,8,780
Ron Kline,8,781
Corey Kluber,8,782
Phil Knell,8,783
John Lackey,8,784
Joe Lake,8,785
Charlie Lea,8,786
Tim Lincecum,8,787
Jack Lynch,8,788
Johnny Marcum,8,789
Jake Miller,8,790
Matt Morris,8,791
Don Mossi,8,792
Elmer Myers,8,793
Jaime Navarro,8,794
Doc Newton,8,795
Roy Oswalt,8,796
Carl Pavano,8,797
Carlos Perez,8,798
Ron Reed,8,799
Flint Rhem,8,800
Lee Richmond,8,801
Socks Seibold,8,802
John Smiley,8,803
Bryn Smith,8,804
Eddie Smith,8,805
Vic Sorrell,8,806
Al Spalding,8,807
Lee Stange,8,808
Lefty Stewart,8,809
Charlie Sweeney,8,810
Steve Swetonic,8,811
Sloppy Thurston,8,812
Jim Turner,8,813
Jason Vargas,8,814
Javier Vazquez,8,815
Pete Vuckovich,8,816
Mule Watson,8,817
Jered Weaver,8,818
Brandon Webb,8,819
Dontrelle Willis,8,820
Roger Wolff,8,821
Andy Ashby,7,822
Jersey Bakley,7,823
Len Barker,7,824
Virgil Barnes,7,825
George Baumgardner,7,826
Gene Bearden,7,827
Jim Beattie,7,828
Al Brazle,7,829
Madison Bumgarner,7,830
Steve Busby,7,831
Cliff Chambers,7,832
Bob Chipman,7,833
Bubba Church,7,834
Johnny Cooney,7,835
Roger Craig,7,836
Ed Crane,7,837
Jose DeLeon,7,838
Blix Donnelly,7,839
Slow Joe Doyle,7,840
Karl Drews,7,841
Pete Falcone,7,842
Patsy Flaherty,7,843
Frank Foreman,7,844
