Name,Wins,Rank
Cy Young,511,1
Walter Johnson,417,2
Grover Alexander,373,3
Christy Mathewson,373,4
Warren Spahn,363,5
Pud Galvin,361,6
Kid Nichols,361,7
Greg Maddux,355,8
Roger Clemens,354,9
Tim Keefe,342,10
Steve Carlton,329,11
John Clarkson,328,12
Eddie Plank,326,13
Nolan Ryan,324,14
Don Sutton,324,15
Phil Niekro,318,16
Gaylord Perry,314,17
Tom Seaver,311,18
Old Hoss Radbourn,309,19
Mickey Welch,307,20
Tom Glavine,305,21
Randy Johnson,303,22
Lefty Grove,300,23
Early Wynn,300,24
Tommy John,288,25
Bert Blyleven,287,26
Robin Roberts,286,27
Fergie Jenkins,284,28
Tony Mullane,284,29
Jim Kaat,283,30
Red Ruffing,273,31
Burleigh Grimes,270,32
Mike Mussina,270,33
Jamie Moyer,269,34
Jim Palmer,268,35
Bob Feller,266,36
Eppa Rixey,266,37
Jim McCormick,265,38
Gus Weyhing,264,39
Justin Verlander,262,40
Ted Lyons,260,41
Andy Pettitte,256,42
Red Faber,254,43
Jack Morris,254,44
Carl Hubbell,253,45
Bob Gibson,251,46
CC Sabathia,251,47
Vic Willis,249,48
Bartolo Colon,247,49
Jack Quinn,247,50
Joe McGinnity,246,51
Amos Rusie,246,52
Dennis Martinez,245,53
Jack Powell,245,54
Juan Marichal,243,55
Herb Pennock,240,56
Frank Tanana,240,57
Mordecai Brown,239,58
David Wells,239,59
Clark Griffith,237,60
Waite Hoyt,237,61
Whitey Ford,236,62
Charlie Buffinton,233,63
Sad Sam Jones,229,64
Luis Tiant,229,65
Will White,229,66
George Mullin,228,67
Zack Greinke,225,68
Jim Bunning,224,69
Catfish Hunter,224,70
Paul Derringer,223,71
Mel Harder,223,72
Hooks Dauss,222,73
Tim Hudson,222,74
Jerry Koosman,222,75
Joe Niekro,221,76
Jerry Reuss,220,77
Pedro Martinez,219,78
Kenny Rogers,219,79
Bob Caruthers,218,80
Earl Whitehill,218,81
Freddie Fitzsimmons,217,82
Mickey Lolich,217,83
Wilbur Cooper,216,84
Charlie Hough,216,85
Max Scherzer,216,86
Curt Schilling,216,87
Stan Coveleski,215,88
Clayton Kershaw,215,89
Jim Perry,215,90
Mark Buehrle,214,91
Rick Reuschel,214,92
John Smoltz,213,93
Chief Bender,212,94
Kevin Brown,211,95
Bobo Newsom,211,96
Billy Pierce,211,97
Bob Welch,211,98
Jesse Haines,210,99
Vida Blue,209,100
Don Drysdale,209,101
Milt Pappas,209,102
Eddie Cicotte,208,103
Bob Lemon,207,104
Carl Mays,207,105
Hal Newhouser,207,106
Orel Hershiser,204,107
Al Orth,204,108
Lew Burdette,203,109
Roy Halladay,203,110
Silver King,203,111
Jack Stivetts,203,112
Rube Marquard,201,113
Charlie Root,201,114
Chuck Finley,200,115
Jon Lester,200,116
George Uhle,200,117
Adam Wainwright,200,118
Tim Wakefield,200,119
Jack Chesbro,198,120
Bucky Walters,198,121
Dennis Eckersley,197,122
Larry French,197,123
Bob Friend,197,124
Jesse Tannehill,197,125
Adonis Terry,197,126
Dazzy Vance,197,127
Claude Osteen,196,128
Bullet Joe Bush,195,129
Bob Shawkey,195,130
Ed Walsh,195,131
Babe Adams,194,132
Doyle Alexander,194,133
Tommy Bridges,194,134
David Cone,194,135
Dwight Gooden,194,136
Larry Jackson,194,137
Sam Leever,194,138
Dolf Luque,194,139
Tommy Bond,193,140
Wes Ferrell,193,141
Curt Simmons,193,142
Rube Waddell,193,143
Lon Warneke,192,144
Dutch Leonard,191,145
Jim Whitney,191,146
Lefty Gomez,189,147
Deacon Phillippe,189,148
Doc White,189,149
John Lackey,188,150
Lee Meadows,188,151
Rick Wise,188,152
Brickyard Kennedy,187,153
Urban Shocker,187,154
Bill Donovan,186,155
Jimmy Key,186,156
Tom Zachary,186,157
Mike Cuellar,185,158
Mike Torrez,185,159
Dave McNally,184,160
Art Nehf,184,161
Red Ames,183,162
Bill Hutchison,183,163
Ed Reulbach,182,164
Allie Reynolds,182,165
Mark Langston,179,166
Livan Hernandez,178,167
Hippo Vaughn,178,168
John Candelaria,177,169
Larry Corcoran,177,170
Virgil Trucks,177,171
Guy Bush,176,172
Frank Dwyer,176,173
Derek Lowe,176,174
Dave Stieb,176,175
Frank Viola,176,176
Chick Fraser,175,177
Guy Hecker,175,178
Ken Holtzman,174,179
Camilo Pascual,174,180
Slim Sallee,174,181
Sadie McMahon,173,182
Fernando Valenzuela,173,183
Murry Dickson,172,184
Danny Darwin,171,185
Ed Morris,171,186
Eddie Rommel,171,187
Rick Sutcliffe,171,188
Bill Dinneen,170,189
Ron Guidry,170,190
Dizzy Trout,170,191
Kevin Appier,169,192
Bill Doak,169,193
Felix Hernández,169,194
Bill Lee,169,195
Kevin Millwood,169,196
Bob Forsch,168,197
Dave Stewart,168,198
Alvin Crowder,167,199
Mike Flanagan,167,200
Pink Hawley,167,201
Bret Saberhagen,167,202
Bob Buhl,166,203
John Burkett,166,204
Howard Ehmke,166,205
Ed Lopat,166,206
Bobby Mathews,166,207
Paul Splittorff,166,208
Red Donahue,165,209
Sandy Koufax,165,210
Bill Sherdel,165,211
Javier Vazquez,165,212
