Name,Games,Rank
Ted Power,70,262
Tanner Scott,70,263
David Aardsma,69,264
Jhoan Duran,68,265
Rawly Eastwick,68,266
Dick Hall,68,267
Skip Lockwood,68,268
Tom Wilhelmsen,68,269
Jim Brosnan,67,270
Daniel Bard,66,271
Al Benton,66,272
Doug Corbett,66,273
Luke Gregerson,66,274
Bob Howry,66,275
Ian Kennedy,66,276
Johnny Klippstein,66,277
Derrick Turnbow,65,278
Félix Bautista,64,279
Clint Brown,64,280
Paul Lindblad,64,281
Tom Morgan,64,282
Don Stanhouse,64,283
Don Elston,63,284
Joe Heving,63,285
Bob Lee,63,286
Gary Lucas,63,287
Al McBean,63,288
Andrew Miller,63,289
Bruce Ruffin,63,290
Kerry Wood,63,291
Jon Rauch,62,292
Ed Roebuck,62,293
Kelvin Herrera,61,294
Charlie Hough,61,295
Brandon Kintzler,61,296
Gerry Staley,61,297
Hal Woodeshick,61,298
Jack Baldschun,60,299
Doug Bird,60,300
Al Brazle,60,301
Jason Motte,60,302
Dale Murray,60,303
Bobby Ayala,59,304
Sam Dyson,59,305
Kelvim Escobar,59,306
Terry Fox,59,307
Darren Holmes,59,308
Tom Murphy,59,309
Scott Barlow,58,310
Dick Drago,58,311
Woodie Fryman,58,312
Marv Grissom,58,313
Bill Landrum,58,314
Billy McCool,58,315
Andrés Muñoz,58,316
Ray Narleski,58,317
Robert Suarez,58,318
Rick Camp,57,319
Ryne Duren,57,320
Kyle Farnsworth,57,321
Danny Frisella,57,322
Jack Quinn,57,323
Don Robinson,57,324
Salomon Torres,57,325
Wilbur Wood,57,326
Paul Assenmacher,56,327
Frank DiPino,56,328
Tom Ferrick,56,329
Michael Gonzalez,56,330
Dustin Hermanson,56,331
Mark Littell,56,332
Sid Monge,56,333
George Sherrill,56,334
Hugh Casey,55,335
Moe Drabowsky,55,336
Mike Fornieles,55,337
Lefty Grove,55,338
Curt Leskanic,55,339
Pedro Ramos,55,340
Gregory Soto,55,341
Dick Tidrow,55,342
Scott Williamson,55,343
Greg Harris,54,344
Lerrin LaGrow,54,345
Edwin Nunez,54,346
Juan Acevedo,53,347
Joaquin Benoit,53,348
Mudcat Grant,53,349
Greg McMichael,53,350
Mike DeJean,52,351
Steve Foucault,52,352
Waite Hoyt,52,353
Jeremy Jeffress,52,354
Bob McClure,52,355
Scott Radinsky,52,356
Enrique Romo,52,357
Vicente Romo,52,358
Ken Tatum,52,359
C.J. Wilson,52,360
Gary Bell,51,361
Ken Forsch,51,362
Matt Lindstrom,51,363
Bob Miller,51,364
Emilio Pagán,51,365
Chris Ray,51,366
Pete Richert,51,367
Johnny Sain,51,368
Esteban Yan,51,369
Bobby Bolin,50,370
Don Mossi,50,371
Edward Mujica,50,372
Dave Schmidt,50,373
Dan Spillner,50,374
Arodys Vizcaino,50,375
Ace Adams,49,376
Larry Andersen,49,377
Joe Boever,49,378
Mordecai Brown,49,379
Jerry DiPoto,49,380
Rich Loiselle,49,381
Pete Mikkelsen,49,382
Wilcy Moore,49,383
Allie Reynolds,49,384
Mace Brown,48,385
Scott Garrelts,48,386
Harry Gumbert,48,387
Kerry Ligtenberg,48,388
Billy O'Dell,48,389
Steve Olin,48,390
Bobby Shantz,48,391
Matt Barnes,47,392
Bud Norris,47,393
Rocky Biddle,46,394
Ramon Hernandez,46,395
Dennis Higgins,46,396
Ray Moore,46,397
Adam Ottavino,46,398
Evan Phillips,46,399
Shawn Tolleson,46,400
Ted Wilks,46,401
José Alvarado,45,402
Ernie Camacho,45,403
Bill Castro,45,404
Chuck Crim,45,405
Joe Grahe,45,406
Hal Reniff,45,407
Sammy Stewart,45,408
Luis Arroyo,44,409
Harry Dorish,44,410
Giovanny Gallegos,44,411
Dutch Leonard,44,412
Frank Smith,44,413
Mike Trombley,44,414
Shane Greene,43,415
Daniel Hudson,43,416
Syl Johnson,43,417
Hansel Robles,43,418
Minnie Rojas,43,419
Dan Wheeler,43,420
Stan Williams,43,421
Terry Adams,42,422
Mike Garman,42,423
Tom Gorman,42,424
Steve Hamilton,42,425
Mason Miller,42,426
Steve Mingori,42,427
Seunghwan Oh,42,428
Allen Russell,42,429
Miguel Batista,41,430
Jerry Johnson,41,431
Steve Karsay,41,432
Jose Leclerc,41,433
Hooks Dauss,40,434
Jeanmar Gomez,40,435
Brandon Morrow,40,436
Brett Myers,40,437
Orlando Pena,40,438
Shane Rawley,40,439
Charlie Root,40,440
Bob Smith,40,441
George Zuverink,40,442
George Caster,39,443
Ken Dayley,39,444
Seranthony Domínguez,39,445
Jim Hughes,39,446
Steve Kline,39,447
Pete Ladd,39,448
Lance McCullers,39,449
Dan Miceli,39,450
Akinori Otsuka,39,451
Jeff Robinson,39,452
Sergio Santos,39,453
Fred Scherman,39,454
Rod Scurry,39,455
Jordan Walden,39,456
Jeremy Accardo,38,457
Dick Coffman,38,458
Rick Honeycutt,38,459
Trevor Megill,38,460
Horacio Pina,38,461
Jack Russell,38,462
Victor Cruz,37,463
Hersh Freeman,37,464
Bob Grim,37,465
Bobby Parnell,37,466
Chris Reitsma,37,467
Lou Trivino,37,468
Red Ames,36,469
Dellin Betances,36,470
Shawn Chacon,36,471
Jason Frasor,36,472
Damaso Marte,36,473
Brandon Maurer,36,474
Joey McLaughlin,36,475
A.J. Minter,36,476
Slim Sallee,36,477
Salome Barojas,35,478
Diego Castillo,35,479
Russ Christopher,35,480
Jason Foley,35,481
CeciIio Guante,35,482
Xavier Hernandez,35,483
Dennis Lamp,35,484
Eric Plunk,35,485
Barney Schultz,35,486
Tom Timmermann,35,487
Dizzy Trout,35,488
Chief Bender,34,489
Brad Brach,34,490
Guy Bush,34,491
Tom Buskey,34,492
Manuel Corpas,34,493
Matt Herges,34,494
Roy Lee Jackson,34,495
Walter Johnson,34,496
Blake Parker,34,497
Tyler Walker,34,498
Ed Walsh,34,499
Jim Willoughby,34,500
Hooks Wiltse,34,501
Hank Aguirre,33,502
Curt Davis,33,503
Javy Guerra,33,504
Shigetoshi Hasegawa,33,505
Jordan Hicks,33,506
Billy Hoeft,33,507
Chief Hogsett,33,508
Tom House,33,509
Carl Hubbell,33,510
Ed Klieman,33,511
Gordon Maltzberger,33,512
Trevor May,33,513
Dale Mohorcic,33,514
Jeff Nelson,33,515
Herb Pennock,33,516
Arthur Rhodes,33,517
Doug Sisk,33,518
Turk Wendell,33,519
Grover Alexander,32,520
Juan Berenguer,32,521
Archie Bradley,32,522
Garland Braxton,32,523
Danny Darwin,32,524
Luis DeLeon,32,525
Mark Eichhorn,32,526
Dylan Floro,32,527
Art Fowler,32,528
Joe Gibbon,32,529
Tom Hall,32,530
Billy Loes,32,531
Jorge López,32,532
Satchel Paige,32,533
Billy Pierce,32,534
Al Reyes,32,535
Eduardo Rodriguez,32,536
Bob Shaw,32,537
Pedro Strop,32,538
Rube Walberg,32,539
Tony Watson,32,540
Jeff Zimmerman,32,541
Lew Burdette,31,542
Sarge Connally,31,543
Ike Delock,31,544
Adrian Devine,31,545
Mychal Givens,31,546
Dave Hamilton,31,547
Jim Henderson,31,548
Ken Howell,31,549
Willis Hudlin,31,550
Sad Sam Jones,31,551
Carlos Martínez,31,552
Carl Mays,31,553
Alex Reyes,31,554
Dick Selma,31,555
Mike Stanton,31,556
Chuck Taylor,31,557
Jim Acker,30,558
Dave Beard,30,559
Tex Clevenger,30,560
Dizzy Dean,30,561
Rafael Montero,30,562
Rob Murphy,30,563
Ken Ryan,30,564
Fernando Salas,30,565
Joe Smith,30,566
Hunter Strickland,30,567
Virgil Trucks,30,568
Alfredo Aceves,29,569
Juan Agosto,29,570
Jim Bagby,29,571
Joe Beggs,29,572
Lou Brissie,29,573
Jumbo Brown,29,574
John Candelaria,29,575
Lance Carter,29,576
Paul Derringer,29,577
George Frazier,29,578
Yimi García,29,579
Wayne Gomes,29,580
Chad Green,29,581
Andy Hassler,29,582
Jeff Hoffman,29,583
John Hudek,29,584
Leo Kiely,29,585
Alex Lange,29,586
Will McEnaney,29,587
Phil Niekro,29,588
Eddie Rommel,29,589
Clyde Shoun,29,590
Dave Sisler,29,591
Warren Spahn,29,592
Jeremy Affeldt,28,593
Red Faber,28,594
Steve Frey,28,595
Luke Jackson,28,596
Keone Kela,28,597
Dolf Luque,28,598
Christy Mathewson,28,599
Jenrry Mejia,28,600
Gene Nelson,28,601
Bob Patterson,28,602
