Name,ERA,Raw_ERA,Rank
Ed Walsh,1.82,1.816,1
Addie Joss,1.89,1.887,2
Jim Devlin,1.89,1.89,3
Jack Pfiester,2.02,2.024,4
Joe Wood,2.03,2.03,5
Mordecai Brown,2.06,2.057,6
John Ward,2.1,2.102,7
Christy Mathewson,2.13,2.133,8
Rube Waddell,2.16,2.161,9
Walter Johnson,2.17,2.167,10
Mariano Rivera,2.21,2.209,11
Jake Weimer,2.23,2.231,12
Orval Overall,2.23,2.233,13
Tommy Bond,2.25,2.25,14
Will White,2.28,2.276,15
Babe Ruth,2.28,2.277,16
Ed Reulbach,2.28,2.284,17
Jim Scott,2.3,2.298,18
Reb Russell,2.33,2.334,19
Andy Coakley,2.35,2.35,20
Eddie Plank,2.35,2.35,21
Larry Corcoran,2.36,2.355,22
George McQuillan,2.38,2.381,23
Eddie Cicotte,2.38,2.382,24
Ed Killian,2.38,2.382,25
Doc White,2.39,2.391,26
Harry Coveleski,2.39,2.394,27
Carl Lundgren,2.42,2.417,28
Nap Rucker,2.42,2.421,29
Jeff Tesreau,2.43,2.428,30
Joe Benz,2.43,2.429,31
Jim McCormick,2.43,2.431,32
Terry Larkin,2.43,2.435,33
Chief Bender,2.46,2.455,34
Hooks Wiltse,2.47,2.471,35
Sam Leever,2.47,2.473,36
Lefty Leifield,2.47,2.473,37
Hippo Vaughn,2.49,2.486,38
Bob Ewing,2.49,2.492,39
George Bradley,2.5,2.5,40
Jacob deGrom,2.5,2.505,41
Cy Morgan,2.51,2.509,42
Clayton Kershaw,2.51,2.51,43
Ray Collins,2.51,2.513,44
Hoyt Wilhelm,2.52,2.523,45
Lew Richie,2.54,2.536,46
Noodles Hahn,2.55,2.546,47
Frank Owen,2.55,2.552,48
Grover Alexander,2.56,2.56,49
Slim Sallee,2.56,2.564,50
Deacon Phillippe,2.59,2.586,51
Russ Ford,2.59,2.59,52
Frank Smith,2.59,2.593,53
Ed Siever,2.6,2.598,54
Bob Rhoads,2.61,2.612,55
Fred Glade,2.62,2.618,56
Tim Keefe,2.62,2.624,57
Cy Young,2.63,2.627,58
Vic Willis,2.63,2.628,59
Red Ames,2.63,2.629,60
Barney Pelty,2.63,2.632,61
Claude Hendrix,2.65,2.649,62
Joe McGinnity,2.66,2.657,63
Dick Rudolph,2.66,2.657,64
Jack Taylor,2.66,2.662,65
Pete Schneider,2.66,2.663,66
Carl Weilman,2.67,2.669,67
Nick Altrock,2.67,2.669,68
Charlie Ferguson,2.67,2.674,69
Old Hoss Radbourn,2.67,2.675,70
Johnny Lush,2.68,2.68,71
Cy Falkenberg,2.68,2.682,72
Jack Chesbro,2.68,2.684,73
Fred Toney,2.69,2.689,74
Bill Donovan,2.69,2.69,75
Larry Cheney,2.7,2.698,76
Vean Gregg,2.7,2.701,77
Mickey Welch,2.71,2.712,78
Ned Garvin,2.72,2.718,79
Bob Wicker,2.73,2.726,80
Fred Goldsmith,2.73,2.729,81
Nick Cullop,2.73,2.733,82
Harry Howell,2.74,2.738,83
Whitey Ford,2.75,2.745,84
Dummy Taylor,2.75,2.747,85
Howie Camnitz,2.75,2.749,86
Roy Patterson,2.75,2.749,87
Babe Adams,2.76,2.755,88
Dutch Leonard,2.76,2.759,89
Dan Quisenberry,2.76,2.76,90
Sandy Koufax,2.76,2.761,91
Jeff Pfeffer,2.77,2.774,92
Al Demaree,2.77,2.775,93
Earl Moore,2.78,2.775,94
Jack Coombs,2.78,2.781,95
Ed Karger,2.79,2.787,96
Jesse Tannehill,2.79,2.788,97
Ron Perranoski,2.79,2.789,98
Tully Sparks,2.79,2.794,99
Frank Corridon,2.8,2.798,100
Phil Douglas,2.8,2.803,101
John Clarkson,2.81,2.811,102
Charlie Smith,2.81,2.813,103
Ed Morris,2.82,2.816,104
Ray Fisher,2.82,2.819,105
George Mullin,2.82,2.822,106
Bruce Sutter,2.83,2.832,107
John Hiller,2.83,2.833,108
Bob Caruthers,2.83,2.835,109
Spud Chandler,2.84,2.836,110
Doc Ayers,2.84,2.841,111
Dave Foutz,2.84,2.843,112
Joe Lake,2.85,2.847,113
Lady Baldwin,2.85,2.85,114
George Bell,2.85,2.851,115
Kent Tekulve,2.85,2.851,116
